country;score;rank;process;government;participation;culture;liberties;type
Hungary;6.63;55;8.75;6.07;5.00;6.25;7.06;FlawedD
Poland;6.62;57;9.17;6.07;6.11;4.38;7.35;FlawedD
Peru;6.60;58;9.17;5.00;5.56;5.63;7.65;FlawedD
Croatia;6.57;59;9.17;6.07;5.56;5.00;7.06;FlawedD
Dominican Republic;6.54;60;9.17;5.36;6.11;5.00;7.06;FlawedD
Lesotho;6.54;60;9.17;4.50;6.67;5.63;6.76;FlawedD
Mongolia;6.50;62;9.17;5.71;5.56;5.00;7.06;FlawedD
Romania;6.49;63;9.17;5.71;5.56;4.38;7.65;FlawedD
Indonesia;6.48;64;7.92;7.14;6.11;5.63;5.59;FlawedD
Namibia;6.43;65;6.58;5.36;6.67;5.63;7.94;FlawedD
Serbia;6.41;66;8.25;5.36;6.11;5.00;7.35;FlawedD
Ecuador;6.33;67;8.75;5.36;6.11;4.38;7.06;FlawedD
Thailand;6.32;68;7.42;5.36;6.11;6.25;6.47;FlawedD
Sri Lanka;6.27;69;7.00;6.07;5.56;6.25;6.47;FlawedD
Paraguay;6.24;70;8.75;5.71;5.00;4.38;7.35;FlawedD
El Salvador;6.15;71;9.17;4.64;6.11;3.75;7.06;FlawedD
Guyana;6.15;71;6.92;5.36;6.11;5.00;7.35;FlawedD
Mexico;6.09;73;7.83;6.07;7.22;3.13;6.18;FlawedD
Papua New Guinea;6.03;74;6.92;6.07;3.89;5.63;7.65;FlawedD
Hong Kong;6.02;75;3.58;4.36;6.11;7.50;8.53;FlawedD
Singapore;6.02;75;3.92;7.86;5.00;6.25;7.06;FlawedD
North Macedonia;5.97;77;7.00;5.36;6.67;3.75;7.06;HRegime
Ukraine;5.90;78;7.42;2.71;6.67;6.25;6.47;HRegime
Albania;5.89;79;7.00;5.36;4.44;5.00;7.65;HRegime
Bangladesh;5.88;80;7.83;6.07;6.11;4.38;5.00;HRegime
Fiji;5.85;81;6.58;5.36;6.11;5.63;5.59;HRegime
Senegal;5.81;82;6.08;6.07;4.44;6.25;6.18;HRegime
Moldova;5.75;83;6.58;4.64;6.11;4.38;7.06;HRegime
Montenegro;5.65;84;5.67;5.36;6.11;4.38;6.76;HRegime
Madagascar;5.64;85;7.92;3.57;6.11;5.63;5.00;HRegime
Armenia;5.54;86;7.50;5.36;6.11;3.13;5.59;HRegime
Malawi;5.50;87;6.08;4.29;5.00;6.25;5.88;HRegime
Liberia;5.45;88;7.42;3.07;5.56;5.63;5.59;HRegime
Georgia;5.42;89;7.83;3.21;6.11;4.38;5.59;HRegime
Honduras;5.42;89;7.83;4.29;4.44;4.38;6.18;HRegime
Bhutan;5.30;91;8.75;6.79;2.78;4.38;3.82;HRegime
Nepal;5.28;92;4.83;5.36;5.00;5.63;5.59;HRegime
Guatemala;5.26;93;6.92;4.64;3.89;4.38;6.47;HRegime
Kenya;5.18;94;3.50;5.71;6.67;5.63;4.41;HRegime
Tanzania;5.16;95;5.75;5.00;5.00;5.63;4.41;HRegime
Morocco;5.10;96;5.25;4.64;5.56;5.63;4.41;HRegime
Benin;5.09;97;4.67;5.71;4.44;5.63;5.00;HRegime
Zambia;5.09;97;4.75;2.93;4.44;6.88;6.47;HRegime
Uganda;5.02;99;4.33;3.57;4.44;6.88;5.88;HRegime
Mali;4.92;100;6.42;3.07;3.89;5.63;5.59;HRegime
Kyrgyz Republic;4.89;101;6.08;2.93;6.67;3.75;5.00;HRegime
Bosnia and Hercegovina;4.86;102;6.17;2.93;5.56;3.75;5.88;HRegime
Sierra Leone;4.86;102;6.58;2.86;3.33;6.25;5.29;HRegime
Bolivia;4.84;104;4.75;3.93;5.00;3.75;6.76;HRegime
Haiti;4.57;105;4.75;2.07;3.89;6.25;5.88;HRegime
Lebanon;4.36;106;3.92;1.50;6.67;5.00;4.71;HRegime
Gambia;4.33;107;4.00;4.29;3.33;5.63;4.41;HRegime
Pakistan;4.25;108;6.08;5.71;2.22;2.50;4.71;HRegime
Nigeria;4.12;109;5.17;3.93;3.33;3.75;4.41;HRegime
Turkey;4.09;110;3.08;5.00;5.00;5.00;2.35;HRegime
Côte d’Ivoire;4.05;111;4.33;2.86;3.33;5.63;4.12;HRegime
Burkina Faso;4.04;112;3.92;2.71;4.44;5.00;4.12;HRegime
Algeria;4.01;113;3.08;2.86;5.00;5.00;4.12;HRegime
Jordan;3.93;114;3.58;4.29;3.89;4.38;3.53;ARegime
Kuwait;3.93;114;3.58;4.29;3.89;4.38;3.53;ARegime
Mauritania;3.92;116;3.50;3.57;5.00;3.13;4.41;ARegime
Palestine;3.89;117;3.33;0.14;7.78;4.38;3.82;ARegime
Iraq;3.74;118;5.25;0.00;6.67;5.00;1.76;ARegime
Angola;3.72;119;2.25;2.86;5.56;5.00;2.94;ARegime
Mozambique;3.65;120;2.58;2.14;5.00;5.00;3.53;ARegime
Gabon;3.61;121;2.58;2.21;4.44;5.00;3.82;ARegime
Myanmar;3.55;122;3.08;3.93;2.78;5.63;2.35;ARegime
Nicaragua;3.55;122;1.25;2.86;3.89;5.63;4.12;ARegime
Cambodia;3.53;124;0.83;4.64;3.33;5.63;3.24;ARegime
Ethiopia;3.44;125;0.42;3.57;5.56;5.00;2.65;ARegime
Togo;3.30;126;3.17;1.79;3.33;5.00;3.24;ARegime
Niger;3.29;127;2.92;1.14;3.33;4.38;4.71;ARegime
Qatar;3.19;128;0.00;4.29;2.22;5.63;3.82;ARegime
Rwanda;3.16;129;1.42;4.29;2.78;4.38;2.94;ARegime
Zimbabwe;3.16;129;0.00;2.50;4.44;5.63;3.24;ARegime
Comoros;3.15;131;2.08;2.21;3.89;3.75;3.82;ARegime
eSwatini;3.14;132;0.92;2.86;2.78;5.63;3.53;ARegime
Guinea;3.14;132;3.50;0.43;4.44;4.38;2.94;ARegime
Congo (Brazzaville);3.11;134;2.17;2.50;3.89;3.75;3.24;ARegime
Russia;3.11;134;2.17;1.79;5.00;2.50;4.12;ARegime
Vietnam;3.08;136;0.00;3.21;3.89;5.63;2.65;ARegime
Egypt;3.06;137;2.67;3.21;3.33;3.75;2.35;ARegime
Oman;3.06;137;0.08;3.93;2.78;4.38;4.12;ARegime
Kazakhstan;2.94;139;0.50;2.14;4.44;4.38;3.24;ARegime
Venezuela;2.88;140;0.00;1.79;5.00;4.38;3.24;ARegime
Afghanistan;2.85;141;3.42;0.64;3.89;2.50;3.82;ARegime
Cameroon;2.85;141;1.67;2.50;3.33;4.38;2.35;ARegime
Cuba;2.84;143;0.00;3.57;3.33;4.38;2.94;ARegime
Djibouti;2.77;144;0.42;1.29;3.89;5.63;2.65;ARegime
United Arab Emirates;2.76;145;0.00;3.93;2.22;5.00;2.65;ARegime
Azerbaijan;2.75;146;0.50;3.21;2.78;3.75;3.53;ARegime
Sudan;2.70;147;0.00;1.79;5.56;5.00;1.18;ARegime
Guinea-Bissau;2.63;148;4.92;0.00;2.78;3.13;2.35;ARegime
Bahrain;2.55;149;0.83;2.71;2.78;4.38;2.06;ARegime
Belarus;2.48;150;0.92;2.00;2.78;4.38;2.35;ARegime
Iran;2.38;151;0.00;2.86;4.44;3.13;1.47;ARegime
Eritrea;2.37;152;0.00;2.14;1.67;6.88;1.18;ARegime
China;2.26;153;0.00;4.29;3.33;2.50;1.18;ARegime
Burundi;2.15;154;0.00;0.07;3.33;5.00;2.35;ARegime
Laos;2.14;155;0.00;2.86;1.67;5.00;1.18;ARegime
Libya;2.02;156;0.00;0.00;2.78;4.38;2.94;ARegime
Uzbekistan;2.01;157;0.08;1.86;2.22;5.00;0.88;ARegime
Yemen;1.95;158;0.00;0.00;3.89;5.00;0.88;ARegime
Saudi Arabia;1.93;159;0.00;2.86;2.22;3.13;1.47;ARegime
Tajikistan;1.93;159;0.08;0.79;1.67;6.25;0.88;ARegime
Equatorial Guinea;1.92;161;0.00;0.43;3.33;4.38;1.47;ARegime
Turkmenistan;1.72;162;0.00;0.79;2.22;5.00;0.59;ARegime
Chad;1.61;163;0.00;0.00;1.67;3.75;2.65;ARegime
Syria;1.43;164;0.00;0.00;2.78;4.38;0.00;ARegime
Central African Republic;1.32;165;1.25;0.00;1.11;1.88;2.35;ARegime
Democratic Republic of Congo;1.13;166;0.00;0.00;1.67;3.13;0.88;ARegime
North Korea;1.08;167;0.00;2.50;1.67;1.25;0.00;ARegime
