Bronisława Bajor;1939-09-19;Dobra;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;30 Przemyśl;;F
Jerzy Ciemniewski;1939-08-02;Warszawa;Klub Parlamentarny Unia Demokratyczna;13 Jelenia Góra;;M
Józef Pawelec;1934-05-20;Kleśniska;Klub Parlamentarny Konfederacji Polski Niepodległej;01 Warszawa;;M
Marek Jurek;1960-06-28;Gorzów Wielkopolski;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;14 Zielona Góra;;M
Wiesław Kaczmarek;1958-01-01;Wrocław;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;02 Legionowo;;M
Marek Moszczyński;1962-05-23;Wrocław;Klub Polski Program Liberalny;13 Jelenia Góra;;M
Zbigniew Galek;1947-03-29;Malechowo;Parlamentarny Klub Polskiego Stronnictwa Ludowego;21 Koszalin;;M
Ireneusz Niewiarowski;1953-03-23;Przedecz;Klub Parlamentarny Konwencja Polska;06 Konin;;M
Marek Lasota;1960-05-14;Olkusz;poseł niezrzeszony;35 Sosnowiec;;M
Tomasz Holc;1947-06-04;Warszawa;Klub Polski Program Liberalny;22 Gdańsk;;M
Paweł Kotlarski;1961-04-14;Leszno;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;06 Konin
Cezary Urbaniak;1954-02-19;Wieluń;Klub Polski Program Liberalny;18 Poznań;;M
Paweł Łączkowski;1942-07-31;Kielce;Klub Parlamentarny Konwencja Polska;18 Poznań;;M
Halina Strębska;1949-09-01;Siemiatycze;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;25 Białystok;;F
Jarosław Wartak;1962-10-05;Czeladź;Klub Parlamentarny Konfederacji Polski Niepodległej;35 Sosnowiec;;M
Antoni Kost;1934-02-16;Brzezie;Parlamentarne Koło Mniejszości Niemieckiej;10 Opole;;M
Włodzimierz Blajerski;1950-01-31;Lublin;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;28 Lublin;;M
Piotr Aszyk;1960-03-09;Starogard Gdański;Klub Parlamentarny Konfederacji Polski Niepodległej;22 Gdańsk;;M
Jan Rokita;1959-06-18;Kraków;Klub Parlamentarny Unia Demokratyczna;33 Kraków;;M
Tadeusz Górczyk;1961-10-16;Jasło;Parlamentarny Klub Porozumienia Centrum;30 Przemyśl;;M
Ludwik Turko;1944-02-17;Akmolińsk - ZSSR;Klub Parlamentarny Unia Demokratyczna;11 Wrocław;;M
Andrzej Wielowieyski;1927-12-16;Warszawa;Klub Parlamentarny Unia Demokratyczna;01 Warszawa;;M
Jerzy Kropiwnicki;1945-07-05;Częstochowa;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;04 Łódź;;M
Leszek Golba;1959-06-06;Tarnów;Klub Parlamentarny Konfederacji Polski Niepodległej;31 Tarnów;;M
Stefan Król;1953-03-15;Sępólno Kraj;Klub Parlamentarny Porozumienie Ludowe;17 Bydgoszcz;;M
Jan Piskorski;1957-11-24;Płońsk;Klub Parlamentarny Unia Demokratyczna;24 Ostrołęka;;M
Feliks Pieczka;1935-05-18;Lubiewo;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;22 Gdańsk;;M
Piotr Mochnaczewski;1965-10-28;Szczecin;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;20 Szczecin;;M
Joanna Staręga-Piasek;1939-10-23;Warszawa;Klub Parlamentarny Unia Demokratyczna;06 Konin;;F
Waldemar Modzelewski;1967-01-11;Zambrów;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;24 Ostrołęka;;M
Stanisław Stańdo;1945-03-29;Tomaszów Mazowiecki;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;05 Piotrków Trybunalski;;M
Jerzy Pilarczyk;1949-03-18;Pudłówek;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;10 Opole;;M
Józefa Hennelowa;1925-04-01;Wilno - Litwa;Klub Parlamentarny Unia Demokratyczna;33 Kraków;;F
Bogumiła Boba;1945-08-09;Kraków;poseł niezrzeszony;34 Bielsko-Biała;;F
Lech Kaczyński;1949-06-18;Warszawa;Parlamentarny Klub Porozumienia Centrum;32 Nowy Sącz;;M
Andrzej Potocki;1964-08-25;Gliwice;Klub Parlamentarny Unia Demokratyczna;37 Gliwice;;M
Stanisław Baran;1947-05-19;Jaworzno;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;30 Przemyśl
Andrzej Kern;1937-05-18;Łęczyca;Parlamentarny Klub Porozumienia Centrum;;;M
Andrzej Anusz;1965-08-27;Warszawa;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;01 Warszawa
Adam Ziemiński;1956-10-11;Resko;Klub Parlamentarny Konfederacji Polski Niepodległej;12 Wałbrzych;;M
Mirosław Sośnicki;1953-01-13;Giżycko;Klub Polski Program Liberalny;12 Wałbrzych;;M
Kazimierz Iwaniec;1936-03-26;Rożdżałow;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;21 Koszalin;;M
Jerzy Hrybacz;1927-03-07;Wilno - Litwa;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;19 Gorzów;;M
Józef Łochowski;1941-01-08;Zagórze;Parlamentarny Klub Polskiego Stronnictwa Ludowego;07 Radom;;M
Stanisław Sienkiewicz;1951-10-03;Knyszyn;Parlamentarny Klub Polskiego Stronnictwa Ludowego;25 Białystok;;M
Anna Knysok;1951-07-19;Chorzów;Klub Parlamentarny Konwencja Polska;36 Katowice;;F
Piotr Fogler;1953-12-22;Legionowo;Klub Parlamentarny Konwencja Polska;02 Legionowo;;M
Sławomir Hardej;1956-04-27;Sokołów Podlaski;Klub Parlamentarny Porozumienie Ludowe;26 Siedlce;;M
Wiesław Klisiewicz;1950-12-05;Tarnów;Klub Parlamentarny Konwencja Polska;31 Tarnów;;M
Wiesław Janowski;1956-08-27;Przasnysz;Klub Parlamentarny Porozumienie Ludowe;24 Ostrołęka;;M
Jan Majewski;1942-06-03;Bartłomiejów;Parlamentarny Klub Polskiego Stronnictwa Ludowego;29 Rzeszów;;M
Anna Urbanowicz;1942-09-03;Częstochowa;Klub Parlamentarny Unia Demokratyczna;03 Płock;;F
Cezary Piasecki;1953-05-22;Gorzów Wielkopolski;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;27 Zamość
Ryszard Setnik;1948-01-20;Lublin;Klub Parlamentarny Unia Demokratyczna;28 Lublin;;M
Piotr Barciński;1941-03-11;Cumino;Parlamentarny Klub Polskiego Stronnictwa Ludowego;24 Ostrołęka;;M
Jan Fabian;1938-07-07;Krzanowice;Parlamentarne Koło Mniejszości Niemieckiej;37 Gliwice;;M
Jan Wyrowiński;1947-08-27;Brusy;Klub Parlamentarny Unia Demokratyczna;16 Toruń;;M
Władysław Reichelt;1950-05-01;Poznań;Klub Polski Program Liberalny;18 Poznań;;M
Andrzej Terlecki;1952-11-02;Łódź;Klub Parlamentarny Konfederacji Polski Niepodległej;04 Łódź;;M
Jan Piątkowski;1935-10-04;Gnieszowiec;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;10 Opole;;M
Henryk Goryszewski;1941-01-20;Drążewo;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;02 Legionowo;;M
Henryk Siedlecki;1943-10-04;Mgoszcz;Parlamentarny Klub Polskiego Stronnictwa Ludowego;23 Olsztyn;;M
Jan Rzymełka;1952-06-07;Katowice;Klub Polski Program Liberalny;36 Katowice;;M
Henryk Rospara;1930-12-15;Wólka Mińska;Koło Poselskie &quot;Chrześcijańska Demokracja&quot;;29 Rzeszów
Andrzej Czernecki;1939-05-21;Kielce;Klub Parlamentarny Unia Demokratyczna;36 Katowice;;M
Barbara Czyż;1947-11-28;Mysłowice;Klub Parlamentarny Konfederacji Polski Niepodległej;36 Katowice;;F
Janusz Zemke;1949-02-24;Kowalewo Pomorskie;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;17 Bydgoszcz;;M
Bogdan Borusewicz;1949-01-11;Lidzbark Warmiński;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;22 Gdańsk
Aleksander Krawczuk;1922-06-07;Kraków;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;33 Kraków;;M
Janusz Rewiński;1949-09-16;Żary;Klub Polski Program Liberalny;01 Warszawa;;M
Gabriel Janowski;1947-04-22;Konstantów;Klub Parlamentarny Porozumienie Ludowe;26 Siedlce;;M
Andrzej Sielańczyk;1950-12-17;Warszawa;Koło Poselskie Unii Polityki Realnej;36 Katowice;;M
Józef Meisel;1935-07-04;Katowice;Klub Parlamentarny Unia Demokratyczna;37 Gliwice;;M
Jan Krzysztof Bielecki;1951-05-03;Bydgoszcz;Klub Polski Program Liberalny;01 Warszawa;;M
Stefan Niesiołowski;1944-02-04;Kałęczew;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;04 Łódź;;M
Marek Boral;1947-03-07;Wola Mokrzeska;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;09 Częstochowa;;M
Bogumił Szreder;1956-07-31;Gdańsk;Parlamentarny Klub Polskiego Stronnictwa Ludowego;22 Gdańsk;;M
Barbara Blida;1949-12-03;Siemianowice Śląskie;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;36 Katowice;;F
Wojciech Mojzesowicz;1954-06-25;Bydgoszcz;Parlamentarny Klub Polskiego Stronnictwa Ludowego;17 Bydgoszcz;;M
Zbigniew Brzycki;1923-11-11;Grudziądz;Klub Parlamentarny Konfederacji Polski Niepodległej;20 Szczecin;;M
Tomasz Karwowski;1960-01-01;Orneta;Klub Parlamentarny Konfederacji Polski Niepodległej;35 Sosnowiec;;M
Jerzy Zdrada;1936-11-26;Częstochowa;Klub Parlamentarny Unia Demokratyczna;35 Sosnowiec;;M
Marek Michalik;1960-02-06;Łódź;Klub Parlamentarny Konfederacji Polski Niepodległej;06 Konin;;M
Andrzej Gąsienica-Makowski;1952-02-15;Zakopane;Klub Parlamentarny Konwencja Polska;32 Nowy Sącz;;M
Anna Bańkowska;1946-04-30;Żnin;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;17 Bydgoszcz;;F
Michał Chałoński;1943-11-03;Kielce;Klub Parlamentarny Konwencja Polska;08 Kielce;;M
Jacek Taylor;1939-09-25;Poznań;Klub Parlamentarny Unia Demokratyczna;22 Gdańsk;;M
Halina Nowina-Konopka;1938-05-27;Tarnów;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;23 Olsztyn;;F
Stanisław Handzlik;1943-01-21;Marcyporęba;Klub Parlamentarny Unia Demokratyczna;33 Kraków;;M
Iwona Śledzińska-Katarasińska;1941-01-03;Komorniki;Klub Parlamentarny Unia Demokratyczna;04 Łódź;;F
Ewa Spychalska;1949-08-17;Warszawa;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;34 Bielsko-Biała;;F
Mariusz Grabowski;1966-05-02;Tarnów;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;31 Tarnów;;M
Brunon Kozak;1936-06-16;Brzeźnica;Parlamentarne Koło Mniejszości Niemieckiej;10 Opole;;M
Bohdan Pilarski;1931-09-24;Brzozowiec - ZSRR;Klub Parlamentarny Konwencja Polska;15 Kalisz;;M
Artur Then;1966-09-21;Wadowice;Klub Parlamentarny Konfederacji Polski Niepodległej;33 Kraków;;M
Wiesław Wójcik;1953-11-03;Koszalin;Klub Polski Program Liberalny;21 Koszalin;;M
Wincenty Pycak;1944-01-22;Wola Batorska;Klub Parlamentarny Konfederacji Polski Niepodległej;11 Wrocław;;M
Zbigniew Sobotka;1952-08-27;Lidzbark Welski;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;01 Warszawa;;M
Andrzej Bober;1950-07-16;Boguchwały;Klub Parlamentarny Unia Demokratyczna;23 Olsztyn;;M
Jan Kisiliczyk;1955-09-22;Lubomierz;Klub Parlamentarny Unia Demokratyczna;13 Jelenia Góra;;M
Jan Rulewski;1944-04-18;Bydgoszcz;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;17 Bydgoszcz
Adam Łukomski;1943-06-02;Ubyszów;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;08 Kielce;;M
Stanisław Węglarz;1948-07-25;Kamienna Góra;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;28 Lublin
Ryszard Ulicki;1943-07-20;Łódź;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;21 Koszalin;;M
Marek Markiewicz;1952-03-16;Łódź;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;04 Łódź
Jan Świtka;1936-06-23;Majdan Górny;poseł niezrzeszony;29 Rzeszów;;M
Antoni Tokarczuk;1951-04-14;Nowa Wieś Lęborska;Parlamentarny Klub Porozumienia Centrum;17 Bydgoszcz;;M
Danuta Wierzbicka;1930-06-12;Kiwerce - ZSRR;Klub Parlamentarny &quot;Ruch dla Rzeczypospolitej&quot;;37 Gliwice
Hanna Suchocka;1946-04-03;Pleszew;Klub Parlamentarny Unia Demokratyczna;18 Poznań;;F
Henryk Opilo;1952-11-29;Muszyna;Klub Parlamentarny Konfederacji Polski Niepodległej;32 Nowy Sącz;;M
Artur Balazs;1952-01-03;Ełk;Klub Parlamentarny Konwencja Polska;20 Szczecin;;M
Jan Król;1950-06-24;Mielec;Klub Parlamentarny Unia Demokratyczna;21 Koszalin;;M
Stanisław Zając;1949-05-01;Święcany;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;30 Przemyśl;;M
Jan Bury;1963-10-01;Przeworsk;Parlamentarny Klub Polskiego Stronnictwa Ludowego;29 Rzeszów;;M
Tadeusz Godlewski;1937-01-04;Czaje;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;24 Ostrołęka;;M
Robert Tromski;1948-04-06;Sokołowo;Klub Parlamentarny Konfederacji Polski Niepodległej;19 Gorzów;;M
Janusz Steinhoff;1946-09-24;Gliwice;Klub Parlamentarny Konwencja Polska;37 Gliwice;;M
Wojciech Pęgiel;1955-04-01;Kraków;Klub Parlamentarny Konfederacji Polski Niepodległej;18 Poznań;;M
Andrzej Mazurkiewicz;1963-05-11;Jarosław;Klub Parlamentarny Konfederacji Polski Niepodległej;30 Przemyśl;;M
Helena Góralska;1947-10-20;Warszawa;Klub Parlamentarny Unia Demokratyczna;09 Częstochowa;;F
Edward Muller;1958-10-13;Gdańsk;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;21 Koszalin
Kazimierz Nowak;1952-01-16;Włocławek;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;16 Toruń;;M
Marek Borowski;1946-01-04;Warszawa;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;19 Gorzów;;M
Leszek Biały;1940-03-22;Srebrna;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;07 Radom;;M
Tadeusz Pokrywka;1947-07-17;Strupice;Klub Parlamentarny Unia Demokratyczna;13 Jelenia Góra;;M
Krzysztof Król;1963-10-05;Warszawa;Klub Parlamentarny Konfederacji Polski Niepodległej;01 Warszawa;;M
Zbigniew Eysmont;1949-12-04;Warszawa;Klub Polski Program Liberalny;11 Wrocław;;M
Stanisław Rakoczy;1948-09-13;Mordarka k/Limanowej;Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego;32 Nowy Sącz;;M
Krzysztof Putra;1957-07-04;Józefowo;Parlamentarny Klub Porozumienia Centrum;25 Białystok;;M
Józef Oleksy;1946-06-22;Nowy Sącz;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;26 Siedlce;;M
Józef Bąk;1946-03-21;Wielołęka;Klub Parlamentarny Konwencja Polska;14 Zielona Góra;;M
Marian Starownik;1954-03-02;Maśluchy;Parlamentarny Klub Polskiego Stronnictwa Ludowego;28 Lublin;;M
Krystyna Łybacka;1946-02-10;Jutrosin;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;18 Poznań;;F
Paweł Piskorski;1968-02-25;Warszawa;Klub Polski Program Liberalny;01 Warszawa;;M
Dariusz Kołodziejczyk;1967-11-13;Częstochowa;Klub Polski Program Liberalny;09 Częstochowa;;M
Andrzej Urbański;1954-05-18;Warszawa;Klub Polski Program Liberalny;01 Warszawa;;M
Bronisław Komorowski;1952-06-04;Oborniki Śląskie;Klub Parlamentarny Unia Demokratyczna;36 Katowice;;M
Ryszard Bartosz;1953-08-23;Tyszowce;poseł niezrzeszony;27 Zamość;;M
Feliks Klimczak;1949-08-28;Sopot;Klub Parlamentarny Porozumienie Ludowe;16 Toruń;;M
Henryk Wujec;1941-01-01;Podlesie k. Biłgoraja;Klub Parlamentarny Unia Demokratyczna;27 Zamość;;M
Maria Dmochowska;1930-07-18;Warszawa;Klub Parlamentarny Unia Demokratyczna;04 Łódź;;F
Bogdan Łukasiewicz;1950-01-07;Łódź;Parlamentarny Klub Polskiego Stronnictwa Ludowego;04 Łódź;;M
Longin Pastusiak;1935-08-22;Łódź;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;22 Gdańsk;;M
Stanisław Sobański;1951-09-20;Głubczyn;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;19 Gorzów
Janusz Piechociński;1960-03-15;Studzianki Pancerne;Parlamentarny Klub Polskiego Stronnictwa Ludowego;02 Legionowo;;M
Tadeusz Iwiński;1944-10-28;Piastów k/Warszawy;Sojusz Lewicy Demokratycznej - Klub Parlamentarny;23 Olsztyn;;M
Antoni Bielewicz;1946-04-09;Prokopowicze - ZSRR;Parlamentarny Klub Porozumienia Centrum;02 Legionowo;;M
Józef Zbigniew Woroszczak;1940-03-13;Tłumacz - Stanisławów ZSRR;Parlamentarny Klub Polskiego Stronnictwa Ludowego;20 Szczecin;;M
Jerzy Orłowski;1938-03-15;Łódź;Klub Polski Program Liberalny;05 Piotrków Trybunalski;;M
Stanisław Żelichowski;1944-04-09;Księżostany;Parlamentarny Klub Polskiego Stronnictwa Ludowego;24 Ostrołęka;;M
Tomasz Bańkowski;1947-12-02;Łódź;Klub Polski Program Liberalny;37 Gliwice;;M
Bronisław Geremek;1932-03-06;Warszawa;Klub Parlamentarny Unia Demokratyczna;01 Warszawa;;M
Paweł Kowalczyk;1938-10-30;Aleksandrynów;Klub Parlamentarny NSZZ &quot;Solidarność&quot;;20 Szczecin
