id;imnz;dat_ur;mce_ur;partia;log;zawod;nrokregu;nzokregu
065;Zofia Czernow;30-09-1950;Wola Obszańska,Polska;PO;7740;ekonomista;1;Legnica
066;Andrzej Czerwiński;08-11-1954;Nowy Sącz,Polska;PO;16723;inżynier elektryk;14;Nowy
067;Edward Czesak;22-02-1951;Tarnów,Polska;PiS;18787;parlamentarzysta;15;Tarnów
068;Eugeniusz Czykwin;12-09-1949;Orla,Polska;SLD;14286;dziennikarz;24;Białystok
069;Alicja Dąbrowska;28-06-1956;Ostrowiec Świętokrzyski,Polska;PO;4622;lekarz;19;Warszawa
070;Andrzej Dera;10-09-1961;Ostrów Wielkopolski,Polska;SP;17606;prawnik;36;Kalisz
071;Artur Dębski;26-12-1969;Siestrzeń,Polska;RP;15269;przedsiębiorca;20;Warszawa
072;Leszek Dobrzyński;05-06-1967;Szczecin,Polska;PiS;6107;politolog;41;Szczecin
073;Zbigniew Dolata;01-12-1965;Koźmin,Polska;PiS;11939;nauczyciel;37;Konin
074;Marek Domaracki;11-10-1964;Piotrków Trybunalski,Polska;RP;9986;przedsiębiorca;10;Piotrków
075;Ludwik Dorn;05-06-1954;Warszawa,Polska;SP;18683;socjolog;20;Warszawa
076;Ewa Drozd;08-10-1963;Stąporów,Polska;PO;14205;nauczyciel;1;Legnica
077;Andrzej Duda;16-05-1972;Kraków,Polska;PiS;79981;nauczyciel akademicki;13;Kraków
078;Artur Dunin;10-03-1969;Lublin,Polska;PO;9595;geodeta;11;Sieradz
079;Zenon Durka;21-10-1958;Legionowo,Polska;PO;7988;prawnik;20;Warszawa
080;Dariusz Cezar Dziadzio;25-02-1975;Rzeszów,Polska;RP;11091;fizjoterapeuta;23;Rzeszów
081;Jan Dziedziczak;03-08-1981;Warszawa,Polska;PiS;15954;politolog;36;Kalisz
082;Janusz Dzięcioł;11-12-1953;Dąbrowa Chełmińska,Polska;PO;13907;poseł na Sejm;5;Toruń
083;Waldy Dzikowski;23-07-1959;Wschowa,Polska;PO;54647;poseł na Sejm RP;39;Poznań
084;Tadeusz Dziuba;17-12-1948;Poznań,Polska;PiS;28508;inżynier technolog drewna;39;Poznań
085;Wincenty Elsner;03-01-1955;Radom,Polska;RP;15969;informatyk;3;Wrocław
086;Joanna Fabisiak;07-07-1950;Warszawa,Polska;PO;6739;nauczyciel akademicki;19;Warszawa
087;Jacek Falfus;01-02-1951;Siemianowice Śląskie,Polska;PiS;11391;Poseł na Sejm RP;27;Bielsko-Biała
088;Jerzy Fedorowicz;29-10-1947;Polanica-Zdrój,Polska;PO;28383;aktor;13;Kraków
089;Arkady Fiedler;23-03-1945;Londyn,Wielka Brytania;PO;17467;poseł na Sejm RP;39;Poznań
090;Anna Fotyga;12-01-1957;Lębork,Polska;PiS;24662;ekonomistka;25;Gdańsk
091;Krzysztof Gadowski;14-08-1962;Bochnia,Polska;PO;15326;inżynier transportu;30;Rybnik
092;Ryszard Galla;22-07-1956;Wrocław,Polska;niez.;11794;inżynier mechanik;21;Opole
093;Andrzej Gałażewski;20-04-1944;Kraków,Polska;PO;11746;inż. mechanik;29;Gliwice
094;Elżbieta Gapińska;03-10-1960;Płock,Polska;PO;10794;pedagog;16;Płock
095;Tomasz Garbowski;07-01-1979;Kluczbork,Polska;SLD;6828;historyk;21;Opole
096;Stanisław Gawłowski;27-11-1968;Brzeg,Polska;PO;27047;ekonomista;40;Koszalin
097;Lidia Gądek;11-01-1967;Wolbrom,Polska;PO;7191;lekarz medycyny;13;Kraków
098;Magdalena Gąsior-Marek;17-12-1983;Lublin,Polska;PO;14676;ekonomista;6;Lublin
099;Elżbieta Gelert;22-04-1955;Gdańsk,Polska;PO;15901;menadżer;34;Elbląg
100;Łukasz Gibała;10-09-1977;Kraków,Polska;PO;18583;poseł;13;Kraków
101;Artur Gierada;21-04-1979;Kielce,Polska;PO;11679;politolog;33;Kielce
102;Zbigniew Girzyński;17-03-1973;Sierpc,Polska;PiS;24907;wykładowca akademicki;5;Toruń
103;Szymon Giżyński;08-03-1956;Częstochowa,Polska;PiS;9146;poseł;28;Częstochowa
104;Czesław Gluza;11-06-1956;Wisła,Polska;PO;13334;socjolog;27;Bielsko-Biała
105;Tomasz Głogowski;30-12-1974;Tarnowskie Góry,Polska;PO;15649;nauczyciel akademicki;29;Gliwice
106;John Abraham Godson;25-11-1970;Umuahia,Nigeria;PO;29832;nauczyciel akademicki;9;Łódź
107;Mieczysław Golba;24-04-1966;Jarosław,Polska;SP;12332;przedsiębiorca;22;Krosno
108;Kazimierz Gołojuch;05-02-1964;Łańcut,Polska;PiS;12311;inżynier mechanizacji rolnictwa;23;Rzeszów
109;Małgorzata Gosiewska;22-07-1966;Gdańsk,Polska;PiS;8129;urzędnik;19;Warszawa
110;Jarosław Gowin;04-12-1961;Kraków,Polska;PO;62570;nauczyciel akademicki;13;Kraków
111;Artur Górczyński;23-12-1972;Pińczów,Polska;RP;9980;pracownik socjalny;27;Bielsko-Biała
112;Jarosław Górczyński;09-02-1971;Ostrowiec Świętokrzyski,Polska;PSL;4814;urzędnik samorządowy;33;Kielce
113;Artur Górski;30-01-1970;Warszawa,Polska;PiS;4762;nauczyciel akademicki;19;Warszawa
114;Tomasz Górski;15-08-1973;Poznań,Polska;PiS;9197;przedsiębiorca;39;Poznań
115;Cezary Grabarczyk;26-04-1960;Łódź,Polska;PO;24582;adwokat;9;Łódź
116;Aleksander Grad;01-05-1962;Łosiniec,Polska;PO;23671;inżynier geodeta;15;Tarnów
117;Mariusz Grad;18-05-1973;Tomaszów Lubelski,Polska;PO;9962;ekonomista;7;Chełm
118;Paweł Graś;23-02-1964;Kęty,Polska;PO;36992;politolog;12;Chrzanów
119;Anna Grodzka;16-03-1954;Otwock,Polska;RP;19451;przedsiębiorca;13;Kraków
120;Rafał Grupiński;26-09-1952;Wronki,Polska;PO;40510;poseł na Sejm RP;39;Poznań
121;Eugeniusz Tomasz Grzeszczak;29-12-1954;Kowalewo Opactwo,Polska;PSL;9648;magister inżynier rolnik;37;Konin
122;Andrzej Gut-Mostowy;30-10-1960;Zakopane,Polska;PO;15345;ekonomista;14;Nowy
123;Iwona Guzowska;07-02-1974;Gdańsk,Polska;PO;22616;parlamentarzysta;25;Gdańsk
124;Andrzej Halicki;26-11-1961;Warszawa,Polska;PO;40002;ekonomista;20;Warszawa
125;Katarzyna Hall;15-03-1957;Gdańsk,Polska;PO;9898;nauczyciel;25;Gdańsk
126;Agnieszka Hanajczyk;12-01-1963;Zgierz,Polska;PO;16484;prawnik;11;Sieradz
128;Czesław Hoc;22-02-1954;Jelenin,Polska;PiS;19942;lekarz medycyny;40;Koszalin
129;Adam Hofman;23-05-1980;Kalisz,Polska;PiS;24047;politolog;37;Konin
130;Marek Hok;15-06-1953;Koszalin,Polska;PO;16364;lekarz;40;Koszalin
131;Teresa Hoppe;13-09-1947;Kowalewo,Polska;PO;7552;inżynier ogrodnik;26;Gdynia
132;Józefa Hrynkiewicz;07-10-1945;Daniuszewo,Polska;PiS;17039;nauczyciel akademicki;23;Rzeszów
133;Stanisław Huskowski;24-04-1953;Wrocław,Polska;PO;7164;fizyk;3;Wrocław
134;Tadeusz Iwiński;28-10-1944;Piastów,Polska;SLD;11025;nauczyciel akademicki;35;Olsztyn
135;Michał Jach;23-09-1951;Łomża,Polska;PiS;4383;ekonomista;41;Szczecin
136;Dawid Jackiewicz;18-03-1973;Wrocław,Polska;PiS;26648;politolog;3;Wrocław
137;Patryk Jaki;11-05-1985;Opole,Polska;SP;8911;politolog;21;Opole
138;Wiesław Stanisław Janczyk;07-04-1964;Chomranice,Polska;PiS;13993;parlamentarzysta;14;Nowy
139;Maria Małgorzata Janyska;16-01-1962;Wyrzysk,Polska;PO;12132;ekonomista;38;Piła
140;Tadeusz Jarmuziewicz;21-09-1957;Piława Górna,Polska;PO;14022;parlamentarzysta;21;Opole
141;Michał Jaros;26-01-1981;Aleksandrów Kujawski,Polska;PO;9635;ekonomista;3;Wrocław
143;Wojciech Jasiński;01-04-1948;Gostynin,Polska;PiS;26125;prawnik;16;Płock
144;Leszek Jastrzębski;20-08-1976;Warszawa,Polska;PO;3075;dziennikarz;19;Warszawa
145;Andrzej Jaworski;16-12-1970;Włocławek,Polska;PiS;22770;menadżer;25;Gdańsk
146;Mariusz Orion Jędrysek;28-04-1962;Głubczyce,Polska;SP;22381;nauczyciel akademicki;3;Wrocław
147;Dariusz Joński;12-01-1979;Łódź,Polska;SLD;15164;ekonomista;9;Łódź
148;Krzysztof Jurgiel;18-11-1953;Ogrodniki,Polska;PiS;35763;inżynier geodeta;24;Białystok
149;Michał Kabaciński;05-04-1988;Lublin,Polska;RP;6984;student;6;Lublin
150;Tomasz Kaczmarek;15-08-1976;Wrocław,Polska;PiS;4332;socjolog;33;Kielce
151;Roman Kaczor;03-09-1956;Oława,Polska;PO;5302;parlamentarzysta;3;Wrocław
152;Jarosław Kaczyński;18-06-1949;Warszawa,Polska;PiS;202297;poseł na sejm RP;19;Warszawa
153;Stanisław Kalemba;25-10-1947;Piekary,Polska;PSL;10597;inż. rolnik;38;Piła
154;Ryszard Kalisz;26-02-1957;Warszawa,Polska;SLD;53451;adwokat;19;Warszawa
155;Bożena Kamińska;27-08-1965;Gołdap,Polska;PO;10019;ekonomista;24;Białystok
156;Mariusz Kamiński;25-09-1965;Sochaczew,Polska;PiS;17535;historyk;19;Warszawa
157;Mariusz Antoni Kamiński;30-03-1978;Łapy,Polska;PiS;22675;prawnik;24;Białystok
158;Tomasz Kamiński;27-10-1979;Rzeszów,Polska;SLD;8410;socjolog;23;Rzeszów
159;Andrzej Kania;04-05-1963;Przasnysz,Polska;PO;5212;przedsiębiorca;18;Siedlce
160;Włodzimierz Karpiński;16-11-1961;Puławy,Polska;PO;16498;chemik;6;Lublin
161;Mieczysław Kasprzak;30-03-1953;Jarosław,Polska;PSL;6854;ekonomista;22;Krosno
162;Jarosław Katulski;16-10-1961;Koronowo,Polska;PO;5872;lekarz;4;Bydgoszcz
163;Jan Kaźmierczak;04-04-1950;Katowice,Polska;PO;8155;nauczyciel akademicki;29;Gliwice
164;Beata Kempa;11-02-1966;Syców,Polska;SP;70127;prawnik;33;Kielce
165;Adam Kępiński;05-12-1975;Ozimek,Polska;RP;11175;przedsiębiorca;21;Opole
166;Małgorzata Kidawa-Błońska;05-05-1957;Warszawa,Polska;PO;45027;producent filmowy;19;Warszawa
167;Marcin Kierwiński;22-08-1976;Warszawa,Polska;PO;3580;mgr inż. elektronik;19;Warszawa
168;Witold Klepacz;07-07-1953;Kłobuck,Polska;SLD;6817;inżynier budownictwa;32;Sosnowiec
169;Izabela Kloc;08-05-1963;Mikołów,Polska;PiS;12833;ekspert ds. funduszy europejskich;30;Rybnik
170;Joanna Kluzik-Rostkowska;14-12-1963;Katowice,Polska;PO;22418;dziennikarka;30;Rybnik
171;Eugeniusz Kłopotek;15-11-1953;Chojnice,Polska;PSL;13287;poseł na Sejm RP;4;Bydgoszcz
172;Krystyna Kłosin;14-07-1954;Minkowice,Polska;PO;16187;ekonomista;26;Gdynia
173;Krzysztof Kłosowski;14-12-1975;Mogilno,Polska;RP;13080;ekonomista;36;Kalisz
174;Sławomir Kłosowski;21-02-1964;Wambierzyce,Polska;PiS;14165;nauczyciel;21;Opole
175;Henryk Kmiecik;01-12-1953;Lubawka,Polska;RP;13015;mechanik;1;Legnica
176;Magdalena Kochan;28-01-1950;Szczecin,Polska;PO;14198;mgr sztuki;41;Szczecin
177;Brygida Kolenda-Łabuś;12-05-1950;Polanica Zdrój,Polska;PO;10411;prawnik;21;Opole
178;Agnieszka Kołacz-Leszczyńska;19-10-1972;Wałbrzych,Polska;PO;6762;pracownik samorządowy;2;Wałbrzych
179;Lech Kołakowski;13-06-1963;Zambrów,Polska;PiS;13502;przedsiębiorca;24;Białystok
180;Robert Kołakowski;15-03-1963;Ciechanów,Polska;PiS;9314;historyk;16;Płock
181;Ewa Kołodziej;02-09-1978;Katowice,Polska;PO;14149;politolog;31;Katowice
182;Zbigniew Konwiński;24-03-1974;Słupsk,Polska;PO;18548;menadżer;26;Gdynia
183;Ewa Kopacz;03-12-1956;Skaryszew,Polska;PO;41554;lekarz;17;Radom
184;Domicela Kopaczewska;04-10-1958;Aleksandrów Kujawski,Polska;PO;16992;pedagog;5;Toruń
185;Sławomir Kopyciński;29-12-1975;Kielce,Polska;RP;7003;ekonomista;33;Kielce
186;Leszek Korzeniowski;01-01-1955;Warszawa,Polska;PO;30454;parlamentarzysta;21;Opole
187;Roman Jacek Kosecki;15-02-1966;Piaseczno,Polska;PO;4603;trener piłkarski;19;Warszawa
188;Roman Kotliński;15-03-1967;Koło,Polska;RP;17720;dziennikarz;9;Łódź
189;Henryk Kowalczyk;15-07-1956;Żabianka,Polska;PiS;13713;urzędnik;18;Siedlce
190;Sławomir Kowalski;14-04-1961;Katowice,Polska;PO;13389;nauczyciel;27;Bielsko-Biała
191;Bartosz Kownacki;11-08-1979;Warszawa,Polska;SP;7735;adwokat;4;Bydgoszcz
192;Jacek Kozaczyński;31-01-1968;Siedlce,Polska;PO;6804;samorządowiec;18;Siedlce
193;Jerzy Kozdroń;23-10-1950;Mrągowo,Polska;PO;9913;prawnik;25;Gdańsk
194;Iwona Kozłowska;11-08-1963;Więcbork,Polska;PO;4668;nauczyciel;4;Bydgoszcz
195;Agnieszka Kozłowska-Rajewicz;04-12-1969;Kętrzyn,Polska;PO;27807;nauczyciel akademicki;39;Poznań
196;Mirosław Koźlakiewicz;11-06-1957;Kunki,Polska;PO;11000;ekonomista;16;Płock
197;Maks Kraczkowski;09-03-1979;Warszawa,Polska;PiS;10389;prawnik;38;Piła
198;Ligia Krajewska;12-02-1949;Usza Mała,Polska;PO;3590;psycholog;19;Warszawa
199;Leonard Krasulski;08-11-1950;Sopot,Polska;PiS;12790;poseł na Sejm Rzeczypospolitej Polskiej;34;Elbląg
200;Robert Kropiwnicki;23-07-1974;Legnica,Polska;PO;6029;nauczyciel akademicki;1;Legnica
201;Elżbieta Kruk;19-11-1959;Lublin,Polska;PiS;30048;historyk;6;Lublin
202;Łukasz Krupa;20-04-1981;Bydgoszcz,Polska;RP;18401;ekonomista;4;Bydgoszcz
203;Marek Krząkała;22-10-1967;Rybnik,Polska;PO;25938;nauczyciel;30;Rybnik
204;Cezary Kucharski;17-02-1972;Łuków,Polska;PO;7910;przedsiębiorca;6;Lublin
205;Marek Kuchciński;09-08-1955;Przemyśl,Polska;PiS;23128;parlamentarzysta;22;Krosno
206;Barbara Kudrycka;22-01-1956;Kolno,Polska;PO;41047;prawnik;24;Białystok
207;Zbigniew Kuźmiuk;19-09-1956;Komorowo,Polska;PiS;29223;nauczyciel akademicki;17;Radom
208;Adam Kwiatkowski;07-12-1972;Warszawa,Polska;PiS;6284;urzędnik;19;Warszawa
209;Jacek Kwiatkowski;26-04-1970;Konin,Polska;RP;13380;technik elektromechanik;37;Konin
210;Krzysztof Kwiatkowski;14-05-1971;Zgierz,Polska;PO;68814;prawnik;9;Łódź
211;Stanisław Lamczyk;12-08-1957;Brusy,Polska;PO;12664;politolog;26;Gdynia
212;Józef Lassota;24-10-1943;Siedliska,Polska;PO;10241;inżynier;13;Kraków
213;Tomasz Latos;08-03-1964;Poznań,Polska;PiS;20308;lekarz;4;Bydgoszcz
214;Tomasz Lenz;08-12-1968;Mogilno,Polska;PO;28998;historyk;5;Toruń
215;Izabela Leszczyna;03-09-1962;Częstochowa,Polska;PO;18737;nauczyciel konsultant;28;Częstochowa
216;Andrzej Lewandowski;18-04-1954;Darłowo,Polska;RP;11128;mechanik;40;Koszalin
217;Krzysztof Lipiec;11-10-1959;Starachowice,Polska;PiS;6774;nauczyciel;33;Kielce
218;Adam Lipiński;11-09-1956;Głubczyce,Polska;PiS;25523;parlamentarzysta;1;Legnica
219;Arkadiusz Litwiński;31-07-1970;Szczecin,Polska;PO;9396;mgr administracji;41;Szczecin
220;Marek Łapiński;19-07-1971;Trzebnica,Polska;PO;6357;nauczyciel;3;Wrocław
221;Marek Łatas;20-04-1960;Myślenice,Polska;PiS;12466;nauczyciel;12;Chrzanów
222;Zofia Ławrynowicz;26-04-1964;Stargard Szczeciński,Polska;PO;5057;nauczyciel;41;Szczecin
223;Jan Łopata;16-08-1954;Motycz,Polska;PSL;8725;inż rolnik;6;Lublin
224;Maciej Łopiński;19-08-1947;Gdańsk,Polska;PiS;15794;filolog;25;Gdańsk
225;Mieczysław Marcin Łuczak;09-07-1955;Wieluń,Polska;PSL;9373;pracownik administracji samorządowej;11;Sieradz
226;Krystyna Łybacka;10-02-1946;Jutrosin,Polska;SLD;16616;nauczyciel akademicki;39;Poznań
227;Marzena Machałek;29-08-1960;Wrocław,Polska;PiS;11812;parlamentarzysta;1;Legnica
228;Antoni Macierewicz;03-08-1948;Warszawa,Polska;PiS;41871;historyk;10;Piotrków
229;Tomasz Makowski;01-03-1973;Ełk,Polska;RP;7980;ekonomista;35;Olsztyn
230;Ewa Malik;11-01-1961;Sosnowiec,Polska;PiS;25214;parlamentarzysta;32;Sosnowiec
231;Mirosław Maliszewski;28-02-1968;Warszawa,Polska;PSL;9815;rolnik/ogrodnik;17;Radom
232;Beata Małecka-Libera;17-05-1954;Dąbrowa Górnicza,Polska;PO;23822;parlamentarzysta;32;Sosnowiec
233;Maciej Małecki;09-10-1974;Warszawa,Polska;PiS;9757;historyk;16;Płock
234;Małgorzata Marcinkiewicz;26-01-1962;Przemyśl,Polska;RP;10058;chemik;22;Krosno
235;Jagna Marczułajtis-Walczak;15-12-1978;Zakopane,Polska;PO;7289;nauczyciel akademicki;13;Kraków
236;Gabriela Masłowska;27-06-1950;Batorz,Polska;PiS;17777;nauczyciel akademicki;6;Lublin
237;Marcin Mastalerek;15-09-1984;Szczecin,Polska;PiS;8509;samorządowiec;11;Sieradz
238;Jerzy Materna;25-03-1956;Zielona Góra,Polska;PiS;12868;inż. budownictwa lądowego;8;Zielona
239;Grzegorz Matusiak;24-02-1961;Jaworzno,Polska;PiS;6889;inżynier energetyk;30;Rybnik
240;Katarzyna Matusik-Lipiec;29-06-1975;Gorlice,Polska;PO;22178;poseł;13;Kraków
241;Zbigniew Matuszczak;21-09-1962;Biłgoraj,Polska;SLD;8017;prawnik;7;Chełm
242;Marek Matuszewski;14-08-1959;Zgierz,Polska;PiS;16207;przedsiębiorca;11;Sieradz
243;Beata Mazurek;19-10-1967;Ostrów Mazowiecka,Polska;PiS;22249;socjolog;7;Chełm
244;Antoni Mężydło;23-08-1954;Lubawa,Polska;PO;17077;poseł na Sejm;5;Toruń
245;Krzysztof Michałkiewicz;26-09-1953;Oborniki Śląskie,Polska;PiS;11816;socjolog;6;Lublin
246;Leszek Miller;03-07-1946;Zyrardów,Polska;SLD;18038;politolog;26;Gdynia
247;Rajmund Miller;16-07-1954;Kielce,Polska;PO;8901;lekarz medycyny;21;Opole
248;Konstanty Miodowicz;09-01-1951;Gniewkowo,Polska;PO;14202;etnograf;33;Kielce
249;Kazimierz Moskal;02-02-1962;Żyraków,Polska;PiS;14234;nauczyciel;23;Rzeszów
250;Czesław Mroczek;20-07-1964;Kałuszyn,Polska;PO;22985;prawnik;18;Siedlce
251;Maciej Mroczek;01-04-1973;Zielona Góra,Polska;RP;15335;ekonomista;8;Zielona
252;Izabela Katarzyna Mrzygłocka;20-05-1959;Wałbrzych,Polska;PO;31697;ekonomista;2;Wałbrzych
253;Joanna Mucha;12-04-1976;Płońsk,Polska;PO;45568;nauczyciel akademicki;6;Lublin
254;Arkadiusz Mularczyk;04-02-1971;Racibórz,Polska;SP;45801;parlamentarzysta;14;Nowy
255;Killion Munyama;10-07-1961;Makala,Polska;PO;7925;nauczyciel akademicki;38;Piła
256;Piotr Naimski;02-02-1951;Warszawa,Polska;PiS;5388;biochemik;14;Nowy
257;Jacek Najder;20-03-1978;Wągrowiec,Polska;RP;11701;przedsiębiorca;38;Piła
258;Grzegorz Napieralski;18-03-1974;Szczecin,Polska;SLD;23940;politolog;41;Szczecin
259;Anna Nemś;19-03-1964;Ogrodzieniec,Polska;PO;9086;pracownik samorządowy;32;Sosnowiec
260;Sławomir Neumann;30-04-1968;Starogard Gdański,Polska;PO;14346;ekonomista;25;Gdańsk
261;Dorota Niedziela;20-08-1964;Oświęcim,Polska;PO;6166;lekarz weterynarii;12;Chrzanów
262;Małgorzata Niemczyk;25-10-1969;Łódź,Polska;PO;10959;ekonomista;9;Łódź
263;Stefan Niesiołowski;04-02-1944;Kałęczew,Polska;PO;36993;biolog;8;Zielona
264;Maria Nowak;31-03-1950;Chorzów,Polska;PiS;10820;matematyk;31;Katowice
265;Sławomir Nowak;11-12-1974;Gdańsk,Polska;PO;65629;politolog;25;Gdańsk
266;Tomasz Piotr Nowak;22-12-1956;Kwidzyn,Polska;PO;24346;poseł na Sejm RP;37;Konin
267;Wanda Nowicka;21-11-1956;Lublin,Polska;RP;7065;filolog klasyczny;19;Warszawa
268;Mirosława Nykiel;23-09-1953;Wańkowa,Polska;PO;43329;przedsiębiorca;27;Bielsko-Biała
269;Marzena Okła-Drewnowicz;20-05-1972;Skarżysko-Kamienna,Polska;PO;34745;poseł na Sejm RP;33;Kielce
