Stanisław Kazimierz Wiąckowski;1929.10.01;Przemyśl;Parlamentarny Klub Ekologiczny;042 Kielce;M
Barbara Blida;1949.12.03;Siemianowice Śl.;Parlamentarny Klub Lewicy Demokratycznej;;F
Miron Andrzej Pomirski;1941.03.26;Dzierzęga;Klub Poselski Polskiego Stronnictwa Ludowego;066 Biskupiec;M
Henryk Komar;1940.01.02;Dzięciary gm. Rozprza;Poselski Klub Pracy;073 Piotrków Trybunalski;M
Jacek Szymanderski;1945.02.21;Radom;Obywatelski Klub Parlamentarny;008 Biała Podlaska;M
Wiesław Kowalski;1947.06.12;Pabianice;Obywatelski Klub Parlamentarny;062 Łódź-Górna;M
Andrzej Łapicki;1924.11.11;Ryga;Klub Parlamentarny-Unia Demokratyczna;001 Warszawa-Śródmieście;M
Wincenty Leszczyński;1936.08.05;Płońsk;Klub Poselski Polskiego Stronnictwa Ludowego;092 Świnoujście;M
Jan Zając;1934.09.02;Mirzec woj. kieleckie;Parlamentarny Klub Lewicy Demokratycznej;023 Tczew;M
Grażyna Ewa Sołtyk;1941.03.11;Łubnice woj. Tarnobrzeg;Parlamentarny Klub Chrześcijańsko-Ludowy;094 Tarnobrzeg;F
Andrzej Borowski;1950.10.13;Wałbrzych;Klub Poselski Polskiego Stronnictwa Ludowego;068 Opole;M
Mirosława Kazimiera Grabarkiewicz;1944.09.13;Pleszew;Klub Poselski Stronnictwa Demokratycznego;014 Chojnice;F
Władysław Serafin;1950.07.24;Piaseczno;Parlamentarny Klub Lewicy Demokratycznej;019 Lubliniec;M
Józef Wlekliński;1928.03.08;Miłosław;Parlamentarny Klub Chrześcijańsko-Ludowy;077 Poznań-Grunwald;M
Henryk Janasek;1952.02.12;Nietków;Poselski Klub Pracy;045 Konin;M
Adam Zimnicki;1932.11.07;Szydłowiec woj. radomskie;Klub Poselski Polskiego Stronnictwa Ludowego;081 Radom;M
Andrzej Feliks Bajołek;1945.11.20;Kraków;Klub Poselski Polskiego Stronnictwa Ludowego;048 Kraków-Śródmieście;M
Henryk Adam Sienkiewicz;1931.11.17;Lublin;Obywatelski Klub Parlamentarny;041 Wodzisław Śląski;M
Antoni Kazimierz Pieniążek;1940.03.03;Studzian woj. przemyskie;Parlamentarny Klub Lewicy Demokratycznej;056 Kraśnik;M
Bernard Kasprzak;1950.05.12;Inowrocław;Poselski Klub Pracy;006 Warszawa-Praga Północ;M
Józef Jerzy Pilarczyk;1949.03.18;Pudłówek;Parlamentarny Klub Lewicy Demokratycznej;070 Brzeg;M
Jan Wnuk;1938.06.21;Bilew;Poselski Klub Pracy;011 Bielsko-Biała;M
Waldemar January Komorowski;1940.09.19;Radom;Poselski Klub Pracy;043 Skarżysko-Kamienna;M
Adam Michnik;1946.10.17;Warszawa;Klub Parlamentarny-Unia Demokratyczna;036 Bytom;M
Adam Mitura;1922.06.29;Ciszyca Kolonia gm. Tarłów;Obywatelski Klub Parlamentarny;043 Skarżysko-Kamienna;M
Stanisław Duda;1945.04.22;Wara-Nozdrzec woj.krośnieńskie;Parlamentarny Klub Lewicy Demokratycznej;080 Przemyśl;M
Jan Władysław Król;1950.06.24;Mielec;Klub Parlamentarny-Unia Demokratyczna;089 Słupsk;M
Zenon Włodzimierz Witt;1931.06.09;Parkowo;Klub Poselski Polskiego Stronnictwa Ludowego;072 Piła;M
Stanisław Bibrzycki;1954.11.22;Rajsko;poseł niezrzeszony;012 Andrychów;M
Ryszard Kosowski;1952.11.01;Chrzanów;Parlamentarny Klub Lewicy Demokratycznej;034 Jaworzno;M
Lucjan Śliwa;1940.07.20;Bruśnik woj. tarnowskie;poseł niezrzeszony;084 Mielec;M
Wojciech Solarewicz;1953.05.06;Zielona Góra;Obywatelski Klub Parlamentarny;070 Brzeg;M
Józef Zych;1938.03.23;Giedlarowa woj. rzeszowskie;Klub Poselski Polskiego Stronnictwa Ludowego;107 Zielona Góra;M
Paweł Maria Chrupek;1955.02.04;Gliwice;Obywatelski Klub Parlamentarny;051 Krosno;M
Aleksander Piotr Łuczak;1943.09.10;Legionowo;Klub Poselski Polskiego Stronnictwa Ludowego;071 Ostrołęka;M
Zenon Kułaga;1940.12.30;Turbia;Klub Posłów Wojskowych;072 Piła;M
Stanisław Gabrielski;1944.03.27;Wilczewo;Parlamentarny Klub Lewicy Demokratycznej;059 Łomża;M
Mikołaj Kozakiewicz;1923.12.24;Albertyn pow. Słonim;Klub Poselski Polskiego Stronnictwa Ludowego;;M
Marian Dojka;1945.04.20;Bogoria Gm. Łoniów;Obywatelski Klub Parlamentarny;094 Tarnobrzeg;M
Jerzy Antoni Żurawiecki;1953.06.17;Bukówek gm. Środa Śl.;Obywatelski Klub Parlamentarny;045 Konin;M
Edmund Jagiełło;1946.11.14;Sadowiec gm. Działoszyn;Poselski Klub Pracy;087 Sieradz;M
Wiesław Chmielarski;1937.02.08;Kuźniczka;Parlamentarny Klub Lewicy Demokratycznej;053 Lubin;M
Jan Wacław Kisiliczyk;1955.09.22;Lubomierz woj. jeleniogórskie;Klub Parlamentarny-Unia Demokratyczna;028 Bolesławiec;M
Ignacy Marian Guenther;1937.02.01;Nowy Dwór gm. Chojnice;Obywatelski Klub Parlamentarny;014 Chojnice;M
Andrzej Wiesław Wybrański;1943.12.03;Radom;Obywatelski Klub Parlamentarny;015 Inowrocław;M
Jerzy Rosiak;1946.10.20;Łódź;Klub Poselski Polskiego Stronnictwa Ludowego;093 Stargard Szczeciński;M
Bronisław Geremek;1932.03.06;Warszawa;Klub Parlamentarny-Unia Demokratyczna;090 Suwałki;M
Ryszard Gajewski;1947.09.06;Średniawieś;Klub Poselski Polskiego Związku Katolicko-Społecznego;018 Częstochowa;M
Jerzy Marian Zimowski;1941.08.08;Kraków;Klub Parlamentarny-Unia Demokratyczna;091 Szczecin;M
Elżbieta Maria Seferowicz;1935.06.05;Warszawa;Obywatelski Klub Parlamentarny;037 Gliwice;F
Andrzej Burski;1939.10.26;Radom;Parlamentarny Klub Lewicy Demokratycznej;081 Radom;M
Stanisław Stasiak;1934.06.10;Śmiłowice;Klub Poselski Polskiego Stronnictwa Ludowego;102 Włocławek;M
Krzysztof Grzebyk;1957.11.20;Ostróda;Parlamentarny Klub Lewicy Demokratycznej;;M
Tadeusz Franciszek Nowacki;1951.03.15;Ścinawa Mała woj. opolskie;Klub Poselski Unii Chrześcijańsko-Społecznej;069 Kędzierzyn-Koźle;M
Anna Elżbieta Brzozowska;1950.09.27;Wójcin k/Opoczna;Parlamentarny Klub Lewicy Demokratycznej;094 Tarnobrzeg;F
Waldemar Feliks Tokarz;1948.04.21;Bielawa;Parlamentarny Klub Lewicy Demokratycznej;040 Rybnik;M
Adam Babul;1955.09.01;Białystok;Klub Poselski Polskiego Stronnictwa Ludowego;009 Białystok;M
Aleksander Małachowski;1924.11.23;Lwów;Parlamentarny Klub &quot;Solidarność Pracy&quot;;071 Ostrołęka;M
Zbigniew Puzewicz;1930.02.14;Wilno;Klub Posłów Wojskowych;046 Koszalin;M
Bolesław Twaróg;1948.09.13;Siemianowice Śląskie;Obywatelski Klub Parlamentarny;039 Tychy;M
Marcin Święcicki;1947.04.17;Warszawa;Klub Parlamentarny-Unia Demokratyczna;002 Warszawa-Mokotów;M
Tadeusz Kaszubski;1927.07.20;Włocławek;Klub Poselski Polskiego Stronnictwa Ludowego;102 Włocławek;M
Aleksander Jurewicz;1940.03.07;Wilno ZSRR;Parlamentarny Klub Lewicy Demokratycznej;023 Tczew;M
Jerzy Józef Susek;1947.02.27;Rychlik;Parlamentarny Klub Lewicy Demokratycznej;072 Piła;M
Andrzej Marek Zawiślak;1937.03.15;Warszawa;Obywatelski Klub Parlamentarny;073 Piotrków Trybunalski;M
Zygmunt Adam Karczewski;1952.09.14;Kraśnik Lubelski;Klub Poselski Polskiego Stronnictwa Ludowego;016 Chełm;M
Henryk Mikołaj Chmielewski;1934.09.10;Myszyniec;Klub Posłów Wojskowych;007 Warszawa-Praga Południe;M
Ryszard Kraszewski;1937.07.11;Świąck Wielki  gm Wys-Maz.;Obywatelski Klub Parlamentarny;059 Łomża;M
Stanisław Żurowski;1943.08.24;Lwów;Klub Parlamentarny-Unia Demokratyczna;065 Nowy Targ;M
Radosław Gawlik;1957.08.23;Wrocław;Klub Parlamentarny-Unia Demokratyczna;;M
Janusz Okrzesik;1964.06.27;Bielsko-Biała;Klub Parlamentarny-Unia Demokratyczna;011 Bielsko-Biała;M
Grażyna Mirosława Langowska;1946.10.14;Rzeszotary-Chwały;Obywatelski Klub Parlamentarny;067 Olsztyn;F
Zbigniew Drela;1931.01.25;Kleczkowice pow. Kowel ZSRR;Obywatelski Klub Parlamentarny;034 Jaworzno;M
Ryszard Kazimierz Helak;1940.03.04;Grudziądz;Klub Parlamentarny-Unia Demokratyczna;013 Bydgoszcz;M
Ryszard Wojciechowski;1931.06.06;Bełchatów;Parlamentarny Klub Lewicy Demokratycznej;007 Warszawa-Praga Południe;M
Zbigniew Bronisław Bobak;1931.01.24;Zuszyce;Klub Parlamentarny-Unia Demokratyczna;028 Bolesławiec;M
Maria Teresa Sielicka-Gracka;1937.05.02;Łódź;Klub Parlamentarny-Unia Demokratyczna;007 Warszawa-Praga Południe;F
Włodzimierz Cimoszewicz;1950.09.13;Warszawa;Parlamentarny Klub Lewicy Demokratycznej;010 Bielsk Podlaski;M
Jan Czaja;1945.02.25;Sztombergi woj. tarnobrzeskie;Klub Poselski Polskiego Stronnictwa Ludowego;098 Toruń;M
Michał Zbylut;1938.04.21;Jodłówka Tuchowska woj. tarn.;Parlamentarny Klub Lewicy Demokratycznej;034 Jaworzno;M
Włodzimierz Mokry;1949.04.18;Drawa Bartoszyce;Obywatelski Klub Parlamentarny;026 Choszczno;M
Jan Goczoł;1934.05.13;Rozmierz woj. opolskie;Parlamentarny Klub Lewicy Demokratycznej;068 Opole;M
Stanisław Jasiński;1953.10.17;Radomsko;Klub Poselski Polskiego Stronnictwa Ludowego;074 Bełchatów;M
Antoni Maciej Żelazny;1937.09.22;Lwów;Parlamentarny Klub Lewicy Demokratycznej;069 Kędzierzyn-Koźle;M
Adam Grabowiecki;1963.06.03;Legnica;Klub Poselski Polskiego Stronnictwa Ludowego;;M
Józef Jungiewicz;1936.02.07;Połaniec k/ Sandomierza;Obywatelski Klub Parlamentarny;064 Nowy Sącz;M
Jacek Zbigniew Andrzejewski;1953.05.10;Żychlin;Klub Niezależnych Posłów;088 Skierniewice;M
Anna Szymańska-Kwiatkowska;1946.08.04;Grodzisk Maz.;Poselski Klub Pracy;003 Warszawa-Ochota;F
Sławomir Marian Kopański;1939.04.04;Zapusta woj. radomskie;Parlamentarny Klub Lewicy Demokratycznej;043 Skarżysko-Kamienna;M
Anna Maria Urbanowicz;1942.09.03;Częstochowa;Klub Parlamentarny-Unia Demokratyczna;088 Skierniewice;F
Jerzy Mieczysław Dyner;1951.09.14;Warszawa;Obywatelski Klub Parlamentarny;004 Warszawa-Wola;M
Herbert Leopold Gabryś;1942.11.07;Mysłowice;Poselski Klub Pracy;032 Katowice;M
Zdzisław Kazimierz Domański;1943.06.06;Kłodawa woj.  konińskie;Klub Poselski Polskiego Stronnictwa Ludowego;045 Konin;M
Jan Beszta-Borowski;1936.12.14;Borowskie Olki;Obywatelski Klub Parlamentarny;010 Bielsk Podlaski;M
Edward Horoszkiewicz;1938.12.06;Balarka woj. wołyńskie;Poselski Klub Pracy;029 Kalisz;M
Marek Jurek;1960.06.28;Gorzów Wlkp.;Obywatelski Klub Parlamentarny;054 Leszno;M
Janusz Wojciech Steinhoff;1946.09.24;Gliwice;Obywatelski Klub Parlamentarny;037 Gliwice;M
Jacek Jan Piechota;1959.04.28;Szczecin;Parlamentarny Klub Lewicy Demokratycznej;;M
Jan Żukowski;1946.05.27;Domasłów woj. kaliskie;Klub Poselski Polskiego Stronnictwa Ludowego;105 Wrocław-Krzyki;M
Paweł Julian Łączkowski;1942.07.31;Kielce;Obywatelski Klub Parlamentarny;078 Poznań-Nowe Miasto;M
Jerzy Józef Wuttke;1945.08.29;Chorzów;Obywatelski Klub Parlamentarny;040 Rybnik;M
Jerzy Epaminondas Osiatyński;1941.11.02;Ryga;Klub Parlamentarny-Unia Demokratyczna;051 Krosno;M
Kazimierz Błaszczyk;1935.01.15;Podkłokock;Parlamentarny Klub &quot;Solidarność Pracy&quot;;072 Piła;M
Tadeusz Bolesław Kijonka;1936.11.10;Radlin-Wodzisław;poseł niezrzeszony;036 Bytom;M
Juliusz Jan Braun;1948.08.29;Milechowy woj. kieleckie;Klub Parlamentarny-Unia Demokratyczna;042 Kielce;M
Henryk Kaczmarek;1942.08.27;Bydgoszcz;Parlamentarny Klub Lewicy Demokratycznej;013 Bydgoszcz;M
Antoni Jan Furtak;1944.06.12;Chrząchówek woj. lubelskie;Obywatelski Klub Parlamentarny;024 Wejherowo;M
Bogdan Derwich;1946.02.08;Gdańsk;Parlamentarny Klub Lewicy Demokratycznej;099 Grudziądz;M
Michał Kurek;1944.04.30;Lipka woj. ostrołęckie;Klub Poselski Polskiego Stronnictwa Ludowego;071 Ostrołęka;M
Czesław Kosiński;1940.10.21;Szewnia Dolna;Poselski Klub Pracy;057 Puławy;M
Bogumił Edward Szreder;1956.07.31;Tczew;Klub Poselski Polskiego Stronnictwa Ludowego;023 Tczew;M
Tadeusz Sytek;1946.04.06;Biskupin;Klub Poselski Polskiego Stronnictwa Ludowego;030 Ostrów Wielkopolski;M
Maria Czenczek;1952.04.28;Modlikowice woj. legnickie;Parlamentarny Klub Lewicy Demokratycznej;051 Krosno;F
Eugeniusz Czykwin;1949.09.12;Orla;Klub Poselski Unii Chrześcijańsko-Społecznej;010 Bielsk Podlaski;M
Tadeusz Stanisław Mańka;1944.11.28;Lublin;Obywatelski Klub Parlamentarny;055 Lublin;M
Kazimierz Edward Modzelewski;1934.11.07;Ląd-Sochaczew;Klub Poselski Stronnictwa Demokratycznego;082 Białobrzegi;M
Sławomir Zdzisław Wiatr;1953.01.04;Warszawa;Parlamentarny Klub Lewicy Demokratycznej;041 Wodzisław Śląski;M
Zbigniew Józef Grugel;1953.04.10;Tuchola;Parlamentarny Klub Lewicy Demokratycznej;014 Chojnice;M
Marian Wawrzyn Zawadzki;1933.11.07;Szamotuły;Poselski Klub Pracy;079 Poznań-Stare Miasto;M
Wiesław Władysław Kaczmarek;1958.01.01;Wrocław;Parlamentarny Klub Lewicy Demokratycznej;003 Warszawa-Ochota;M
Wilhelm Wolnik;1935.11.17;Zabełków;Parlamentarny Klub Lewicy Demokratycznej;041 Wodzisław Śląski;M
Ludwik Jan Bernacki;1937.11.24;Kraków;Parlamentarny Klub Lewicy Demokratycznej;048 Kraków-Śródmieście;M
Teresa Halina Woźniak;1941.07.12;Dokudów;Poselski Klub Pracy;090 Suwałki;F
Jacek Franciszek Kasprzyk;1960.08.21;Częstochowa;Parlamentarny Klub Lewicy Demokratycznej;018 Częstochowa;M
Janusz Szymborski;1945.11.08;Ostróda;poseł niezrzeszony;100 Wałbrzych;M
Dorota Maria Kempka;1935.01.04;Piotrkowice;Parlamentarny Klub Lewicy Demokratycznej;013 Bydgoszcz;F
Jerzy Bartnicki;1951.12.26;Olsztyn;Klub Poselski Stronnictwa Demokratycznego;020 Elbląg;M
Anna Jolanta Kwietniewska;1939.08.10;Łódź;Parlamentarny Klub Lewicy Demokratycznej;061 Łódź-Śródmieście;F
Ryszard Dyrak;1950.05.18;Środa Śląska;Poselski Klub Pracy;025 Gorzów Wielkopolski;M
Stanisław Węgłowski;1938.12.02;Dzierżenin;Obywatelski Klub Parlamentarny;017 Ciechanów;M
Hanna Suchocka;1946.04.03;Pleszew;Klub Parlamentarny-Unia Demokratyczna;079 Poznań-Stare Miasto;F
Grażyna Ewa Staniszewska;1949.11.02;Bielsko-Biała;Klub Parlamentarny-Unia Demokratyczna;011 Bielsko-Biała;F
Marian Kowal;1946.10.30;Sieniawa woj. nowosądeckie;Obywatelski Klub Parlamentarny;101 Świdnica;M
Adam Zieliński;1931.06.28;Pruszków;poseł niezrzeszony;;M
Ryszard Pidek;1946.09.02;Kiełczewice;Poselski Klub Pracy;017 Ciechanów;M
Janusz Józef Byliński;1952.03.10;Zakroczym;Obywatelski Klub Parlamentarny;006 Warszawa-Praga Północ;M
Andrzej Wojciech Bratkowski;1936.11.10;Warszawa;Poselski Klub Pracy;001 Warszawa-Śródmieście;M
Ireneusz Skubis;1946.06.07;Witeradów k/ Olkusza;Klub Poselski Polskiego Stronnictwa Ludowego;019 Lubliniec;M
Bożenna Maria Urbańska;1938.01.06;Bystrzyca;Parlamentarny Klub Lewicy Demokratycznej;078 Poznań-Nowe Miasto;F
Wiesława Joanna Ziółkowska;1950.05.21;Poznań;Poselski Klub Pracy;077 Poznań-Grunwald;F
Ludomir Karol Goździkiewicz;1935.03.13;Łowicz;Klub Poselski Polskiego Stronnictwa Ludowego;088 Skierniewice;M
Aniela Bukała;1943.02.21;Ochotnica Górna woj. nowosąd.;Klub Poselski Polskiego Stronnictwa Ludowego;069 Kędzierzyn-Koźle;F
Józef Wójcik;1929.02.10;Ryglice;Klub Poselski Stowarzyszenia PAX;002 Warszawa-Mokotów;M
Czesław Kazimierz Kurzajewski;1944.05.19;Kalisz;Obywatelski Klub Parlamentarny;029 Kalisz;M
Andrzej Stanisław Wieczorkiewicz;1942.05.25;Chynów stoł. warszawskie;Parlamentarny Klub Lewicy Demokratycznej;005 Warszawa-Żoliborz;M
Janusz Onyszkiewicz;1937.12.18;Lwów;Klub Parlamentarny-Unia Demokratyczna;080 Przemyśl;M
Maciej Andrzej Półtorak;1950.02.26;Warszawa;Obywatelski Klub Parlamentarny;;M
Bohdan Kopczyński;1935.10.22;Włodzimierz Wołyński;Obywatelski Klub Parlamentarny;092 Świnoujście;M
Tomasz Romańczuk;1933.12.12;Roś - ZSRR;Parlamentarny Klub Lewicy Demokratycznej;090 Suwałki;M
Sebastian Czypionka;1944.07.11;Tychy-Gostyń;poseł niezrzeszony;039 Tychy;M
Stanisław Rogowski;1946.05.01;Wschowa;Klub Poselski Unii Chrześcijańsko-Społecznej;104 Wrocław-Fabryczna;M
Tadeusz Rudolf Fiszbach;1935.11.04;Dobraczyn woj. lwowskie;poseł niezrzeszony;;M
Edmund Marek Krasowski;1955.08.30;Elbląg;Obywatelski Klub Parlamentarny;020 Elbląg;M
Jacek Stanisław Krzekotowski;1940.11.11;Przyborów;Klub Poselski Stowarzyszenia PAX;060 Łódź-Bałuty;M
Józef Karol Kowalczyk;1948.12.04;Oleszno Kieleckie;Klub Parlamentarny-Unia Demokratyczna;091 Szczecin;M
Edward Edmund Nowak;1950.11.16;Kraków;Obywatelski Klub Parlamentarny;049 Kraków-Nowa Huta;M
Tadeusz Ścieszko;1940.10.22;Rawa Mazowiecka;Obywatelski Klub Parlamentarny;075 Płock;M
Barbara Czyż;1947.01.10;Przewodowo-Pułtusk;Klub Poselski Polskiego Stronnictwa Ludowego;020 Elbląg;F
Stanisław Majdański;1949.03.19;Typin;Parlamentarny Klub Chrześcijańsko-Ludowy;106 Zamość;M
Jerzy Dłużniewski;1945.04.02;Łódź;Obywatelski Klub Parlamentarny;060 Łódź-Bałuty;M
Anna Danuta Bańkowska;1946.04.30;Żnin;Parlamentarny Klub Lewicy Demokratycznej;015 Inowrocław;F
Jan Eugeniusz Świtka;1936.06.23;Majdan Górny, pow. Tomaszów L.;Klub Poselski Stronnictwa Demokratycznego;083 Rzeszów;M
Ryszard Brzuzy;1961.01.02;Bogatynia;poseł niezrzeszony;074 Bełchatów;M
Włodzimierz Wiertek;1948.10.26;Topola;Klub Poselski Polskiego Stronnictwa Ludowego;044 Pińczów;M
Henryk Jużykiewicz;1937.04.22;Wilno;Parlamentarny Klub Lewicy Demokratycznej;103 Wrocław-Psie Pole;M
Kazimierz Andrzej Rostek;1945.03.16;Pysznica;Obywatelski Klub Parlamentarny;095 Stalowa Wola;M
Ziemowit Dionizy Gawski;1949.02.09;Sierpc;Klub Poselski Stowarzyszenia PAX;;M
Jerzy Hubert Modrzejewski;1942.11.03;Wilno;Klub Parlamentarny-Unia Demokratyczna;027 Jelenia Góra;M
Stanisław Bonifacy Mazur;1940.01.02;Chorążyce 45 woj. krakowskie;Klub Poselski Polskiego Stronnictwa Ludowego;049 Kraków-Nowa Huta;M
Urszula Wanda Jarosz;1946.07.24;Gorczenica;Klub Poselski Unii Chrześcijańsko-Społecznej;017 Ciechanów;F
Krzysztof Władysław Komornicki;1942.03.20;Kraków;Poselski Klub Pracy;100 Wałbrzych;M
Artur Krzysztof Balazs;1952.01.03;Ełk;Klub Parlamentarny-Unia Demokratyczna;093 Stargard Szczeciński;M
Marianna Borawska;1937.11.01;Bielicha woj. radomskie;Poselski Klub Pracy;089 Słupsk;F
Irena Stanisława Chojnacka;1943.07.22;Bieżuń woj. ciechanowskie;Poselski Klub Pracy;017 Ciechanów;F
Iwona Barbara Lubowska;1941.04.21;Bełżec;Parlamentarny Klub Lewicy Demokratycznej;030 Ostrów Wielkopolski;F
Jan Marian Warjan;1957.02.05;Szubin;Parlamentarny Klub Chrześcijańsko-Ludowy;015 Inowrocław;M
Bożenna Marianna Kuc;1939.11.29;Czerwonka;Klub Poselski Polskiego Stronnictwa Ludowego;086 Siedlce;F
Ryszard Zieliński;1926.04.03;Kraków;Klub Poselski Unii Chrześcijańsko-Społecznej;064 Nowy Sącz;M
Janusz Florian Maćkowiak;1950.05.04;Zakrzewo gm. Miejska Górka;Klub Poselski Polskiego Stronnictwa Ludowego;054 Leszno;M
Czesław Marian Kawecki;1941.05.30;Zawiercie;Klub Niezależnych Posłów;035 Dąbrowa Górnicza;M
Jan Józef Wróbel;1937.10.22;Dąbrówka woj. gdańskie;Poselski Klub Pracy;004 Warszawa-Wola;M
Janusz Henryk Szymański;1958.07.15;Łowicz;Parlamentarny Klub Lewicy Demokratycznej;009 Białystok;M
Stefan Konstanty Myszkiewicz-Niesiołowski;1944.02.04;Kałęczew;Obywatelski Klub Parlamentarny;063 Łódź-Widzew;M
Edward Baścik;1948.10.11;Osiek k/Oświęcimia;Klub Poselski Polskiego Stronnictwa Ludowego;012 Andrychów;M
Zbigniew Władysław Mackiewicz;1947.02.04;Tarnawa woj. kieleckie;Obywatelski Klub Parlamentarny;052 Legnica;M
Waldemar Henryk Grzywacz;1932.03.24;Grudziądz;Parlamentarny Klub Lewicy Demokratycznej;091 Szczecin;M
Jerzy Marian Józefiak;1937.12.01;Bydgoszcz;Poselski Klub Pracy;020 Elbląg;M
Alicja Józefa Kornasiewicz;1951.03.19;Kańczuga;Klub Parlamentarny-Unia Demokratyczna;075 Płock;F
Marian Szatybełko;1928.08.04;Józicha woj. wileńskie;Klub Poselski Polskiego Związku Katolicko-Społecznego;022 Gdynia;M
Henryk Stanisław Michalak;1947.01.19;Karsznice;Klub Parlamentarny-Unia Demokratyczna;087 Sieradz;M
Teresa Anna Zalewska;1942.09.20;Opoczno;Obywatelski Klub Parlamentarny;073 Piotrków Trybunalski;F
Jan Szczygielski;1943.06.08;Świdry k/Łukowa;Klub Poselski Polskiego Stronnictwa Ludowego;085 Garwolin;M
Ryszard Jastrzębski;1956.06.15;Nowa Ruda woj. wałbrzyskie;Klub Poselski Polskiego Stronnictwa Ludowego;100 Wałbrzych;M
Władysław Krzyżanowski;1942.08.08;Pieczyski;poseł niezrzeszony;071 Ostrołęka;M
Wojciech Szczęsny Zarzycki;1942.06.24;Warszawa;Klub Poselski Polskiego Stronnictwa Ludowego;087 Sieradz;M
Zbigniew Rudnicki;1928.12.01;Stanisławów;poseł niezrzeszony;024 Wejherowo;M
Maria Joanna Stolzman;1929.08.02;Suserz;Klub Parlamentarny-Unia Demokratyczna;044 Pińczów;F
Marian Jeż;1941.06.01;Drobnice woj. Sieradz;Parlamentarny Klub Lewicy Demokratycznej;092 Świnoujście;M
Stanisława Popiela;1941.11.11;Mszalnica;Klub Poselski Polskiego Stronnictwa Ludowego;064 Nowy Sącz;F
Jan Alfred Dudziak;1930.06.23;Jabłoń;Parlamentarny Klub Lewicy Demokratycznej;033 Sosnowiec;M
Jan Wyrowiński;1947.08.27;Brusy woj. bydgoskie;Klub Parlamentarny-Unia Demokratyczna;098 Toruń;M
Krzysztof Jan Żabiński;1953.02.07;Toruń;Obywatelski Klub Parlamentarny;098 Toruń;M
Jacek Merkel;1954.11.20;Toruń;Obywatelski Klub Parlamentarny;021 Gdańsk;M
Marian Józef Janicki;1954.05.24;Odolanów woj. kaliskie;Poselski Klub Pracy;030 Ostrów Wielkopolski;M
Ryszard Józef Iwan;1955.08.25;Wrocław;Obywatelski Klub Parlamentarny;019 Lubliniec;M
Mieczysław Władysław Gil;1944.01.09;Gace Słupieckie;Obywatelski Klub Parlamentarny;049 Kraków-Nowa Huta;M
Andrzej Jan Arendarski;1949.11.15;Warszawa;Obywatelski Klub Parlamentarny;045 Konin;M
Eugeniusz Ujas;1936.09.20;Dąbrowka Wisłocka;Obywatelski Klub Parlamentarny;016 Chełm;M
Krzysztof Dowgiałło;1938.06.30;Nowomalin woj. wołyńskie;Klub Parlamentarny-Unia Demokratyczna;022 Gdynia;M
Franciszek Rusnarczyk;1944.01.21;Kamienica woj. nowosądeckie;Parlamentarny Klub Lewicy Demokratycznej;064 Nowy Sącz;M
Bronisław Wilk;1948.04.20;Wroniniec;Obywatelski Klub Parlamentarny;068 Opole;M
Jan Kowalik;1948.02.13;Wronów woj. lubelskie;Klub Poselski Polskiego Stronnictwa Ludowego;106 Zamość;M
Franciszek Sak;1940.02.10;Nowa Wieś woj. suwalskie;Obywatelski Klub Parlamentarny;046 Koszalin;M
Maciej Józef Bednarkiewicz;1940.02.22;Warszawa;Obywatelski Klub Parlamentarny;088 Skierniewice;M
