NumerRSPO;Typ;Nazwa;Ulica;numerBudynku;numerLokalu;kodPocztowy;miejscowosc;kodterytorialnyUlica;kodterytorialnyMiejscowosc;kodterytorialnyGmina;Telefon;Faks;E-mail;stronaWww;wojewodztwo;powiat;gmina;REGON;NIP;publicznoscStatus;Kategoriauczniów;Specyfikaplacówki;Dyrektor;organProwadzący;TypOrganuProwadzącego;WojewództwoOrganuProwadzącego;PowiatOrganuProwadzącego;GminaOrganuProwadzącego;DataZałożenia;DataLikwidacji
103964;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA NR 2 IM. FRYDERYKA CHOPINA;ul. Rafała Krajewskiego;1;;51-690;Wrocław-Śródmieście;09782;0986952;0264069;717986906;;sekretariat.zs09@wroclawskaedukacja.pl;;DOLNOŚLĄSKIE;Wrocław;Wrocław-Śródmieście - delegatura;020114580;8982070749;publiczna;Bez kategorii;brak specyfiki;;WROCŁAW MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto;2005-09-01;
31880;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA NR 3 IM. PROFESOR MARII ZDUNIAK;ul. Kłodnicka;36;;54-218;Wrocław-Fabryczna;08619;0986290;0264029;713519932;713519932;zsnr20wroc@interia.pl;www.zs20.pl;DOLNOŚLĄSKIE;Wrocław;Wrocław-Fabryczna - delegatura;020351280;8942878882;publiczna;Bez kategorii;brak specyfiki;;WROCŁAW MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto;2006-09-01;
72674;OSM1;KATEDRALNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W POZNANIU;ul. Filipińska;4;;61-123;Poznań-Nowe Miasto;05005;0969770;3064049;618773395;618773395;dyrektor@szkolakatedralna.pl;szkolakatedralna.pl;WIELKOPOLSKIE;Poznań;Poznań-Nowe Miasto - delegatura;302258800;;publiczna;Bez kategorii;brak specyfiki;Szymon Daszkiewicz;ARCHIDIECEZJA POZNAŃSKA;Organizacje Wyznaniowe;WIELKOPOLSKIE;Poznań;Poznań;2006-04-24;
83666;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA IM. PROF. MARKA JASIŃSKIEGO;ul. Bolesława Śmiałego;42;43;70-351;Szczecin;01755;0977976;3262011;914844324;914847917;osmis@miasto.szczecin.pl;www.osm.szczecin.pl;ZACHODNIOPOMORSKIE;Szczecin;Szczecin - gmina miejska;812004127;;publiczna;Bez kategorii;brak specyfiki;JOLANTA SAPIECHA;GMINA MIASTO SZCZECIN;Miasto na prawach powiatu;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;2008-09-01;
106443;OSM1;SPOŁECZNA NIEPUBLICZNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W SŁUBICACH;ul. Wojska Polskiego;142;;69-100;Słubice;24628;0935736;0805054;957584970;;dyrektor@snosm.stmslubice.edu.pl;www.snosm.stmslubice.edu.pl;LUBUSKIE;słubicki;Słubice - miasto;081104972;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;ANNA SZURKO;SŁUBICKIE TOWARZYSTWO MUZYCZNE;Stowarzyszenia;LUBUSKIE;słubicki;Słubice;2011-04-11;
24767;OSM1;JASNOGÓRSKA PUBLICZNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W CZĘSTOCHOWIE;al. Aleja Jana Pawła II;126;130;42-200;Częstochowa;37675;0930868;2464011;343440590;343440590;sekretariat@jsm.edu.pl;jsm.edu.pl;ŚLĄSKIE;Częstochowa;Częstochowa - gmina miejska;243060910;5732823620;publiczna;Bez kategorii;brak specyfiki;JOLANTA SOSIŃSKA;JASNOGÓRSKA SZKOŁA CHÓRALNA;Stowarzyszenia;ŚLĄSKIE;Częstochowa;Częstochowa;2011-03-01;
13421;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;ul. Chojnowska;2;;59-220;Legnica;02828;0954047;0262011;768622636;768565466;zsmuz@wp.pl;www.zsmuz.cal.pl;DOLNOŚLĄSKIE;Legnica;Legnica - gmina miejska;391023127;6911073320;publiczna;Bez kategorii;brak specyfiki;;GMINA LEGNICA;Miasto na prawach powiatu;DOLNOŚLĄSKIE;Legnica;Legnica;1996-04-29;
17966;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA W ZESPOLE SZKÓŁ MUZYCZNYCH IM. IGNACEGO JANA PADEREWSKIEGO W TARNOWIE;ul. Norberta Lippóczy'ego;4;;33-100;Tarnów;30793;0981570;1263011;146210408;;sekretzsmuz@umt.tarnow.pl;http://www.zsmuz.tarnow.pl/;MAŁOPOLSKIE;Tarnów;Tarnów - gmina miejska;852622791;;publiczna;Bez kategorii;brak specyfiki;;TARNÓW - MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;MAŁOPOLSKIE;Tarnów;Tarnów;1989-09-01;
68545;OSM1;KATOLICKA NIEPUBLICZNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W NOWYM SĄCZU;ul. św. Ducha;4;;33-300;Nowy Sącz;04346;0959435;1262011;184422600;184444628;knosm@sacz.pl;ksp.nowy.sacz.pl/ksm;MAŁOPOLSKIE;Nowy Sącz;Nowy Sącz - gmina miejska;122702590;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;Paweł Kochaniewicz;DANE DO UZUPEŁNIENIA;Spółki Handlowe;MAZOWIECKIE;Warszawa;Śródmieście;2009-11-18;
75612;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W PISZU;ul. Jagodna;4;;12-200;Pisz;07055;0977835;2816034;874234928;874234928;sekretariat@osmpisz.pl;http://www.muzycznapisz.szkolnastrona.pl/;WARMIŃSKO-MAZURSKIE;piski;Pisz - miasto;790127728;;publiczna;Bez kategorii;brak specyfiki;Isabel GONZALEZ SZYMCZYK;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1993-01-04;
83418;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA W KIELCACH;ul. Wojewódzka;12;;25-538;Kielce;24601;0945930;2661011;413426017;;;;ŚWIĘTOKRZYSKIE;Kielce;Kielce - gmina miejska;260517836;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;2011-09-01;
86863;OSM1;OGÓLNOKSZTAŁCACA SZKOŁA MUZYCZNA I STOPNIA W RADOMIU;ul. 25 Czerwca;70;;26-600;Radom;03407;0972750;1463011;483626665;483627683;sekretariat@muzycznaradom.pl;www.muzycznaradom.pl;MAZOWIECKIE;Radom;Radom - gmina miejska;140102338;9482111440;publiczna;Bez kategorii;brak specyfiki;;GMINA MIASTA RADOMIA;Miasto na prawach powiatu;MAZOWIECKIE;Radom;Radom;1999-03-08;
90364;OSM1;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. EMILA MŁYNARSKIEGO W WARSZAWIE;ul. Miodowa;22;c-d;00-246;Śródmieście;12991;0919810;1465108;228312175;;;;MAZOWIECKIE;Warszawa;Śródmieście - dzielnica;146445803;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-02-03;
90367;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W LUBLINIE;ul. Muzyczna;10;;20-620;Lublin;13521;0954700;0663011;815326921;;;;LUBELSKIE;Lublin;Lublin - gmina miejska;060021691;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1946-02-01;
91984;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W BYTOMIU;ul. Stanisława Moniuszki;17;;41-902;Bytom;13246;0938670;2462011;322812211;;;;ŚLĄSKIE;Bytom;Bytom - gmina miejska;240068779;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1945-03-01;
92004;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W KOSZALINIE;ul. Juliana Fałata;32;;75-434;Koszalin;04889;0949448;3261011;943478020;;;;ZACHODNIOPOMORSKIE;Koszalin;Koszalin - gmina miejska;331415934;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1981-09-01;
92733;OSM1;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. STANISŁAWA MONIUSZKI W KATOWICACH;ul. Dąbrówki;9;;40-081;Katowice;03701;0937474;2469011;322589410;;;;ŚLĄSKIE;Katowice;Katowice - gmina miejska;000283268;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1946-01-01;
92844;OSM1;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. STANISŁAWA MONIUSZKI W BIELSKU-BIAŁEJ;ul. Stanisława Wyspiańskiego;5a;;43-300;Bielsko-Biała;25084;0923584;2461011;334988410;;;;ŚLĄSKIE;Bielsko-Biała;Bielsko-Biała - gmina miejska;240065120;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
92917;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W ELBLĄGU;ul. Romualda Traugutta;91;;82-300;Elbląg;22965;0932703;2861011;556114040;;;;WARMIŃSKO-MAZURSKIE;Elbląg;Elbląg - gmina miejska;280014686;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1947-09-01;
93187;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. KAROLA SZYMANOWSKIEGO WE WROCŁAWIU;ul. marsz. Józefa Piłsudskiego;25;;50-044;Wrocław-Stare Miasto;16274;0986946;0264059;717366000;;;;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto - delegatura;932057731;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
93191;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W ŁODZI;ul. Rojna;20;;91-134;Łódź-Bałuty;18791;0957666;1061029;426110169;;;;ŁÓDZKIE;Łódź;Łódź-Bałuty - delegatura;472897970;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1991-09-01;
103572;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W WAŁBRZYCHU;ul. Piętnastolecia;24;;58-309;Wałbrzych;16197;0983681;0265011;748415730;;;;DOLNOŚLĄSKIE;Wałbrzych;Wałbrzych - gmina miejska;891422610;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1980-08-01;
103582;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W WARSZAWIE;ul. Zygmunta Krasińskiego;1;;01-530;Żoliborz;09848;0920048;1465198;228391878;228391879;sekretariat@szymanowski.edu.pl;www.szymanowski.edu.pl;MAZOWIECKIE;Warszawa;Żoliborz - dzielnica;140096490;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1951-04-01;
103585;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. STANISŁAWA MONIUSZKI W WARSZAWIE;ul. Kawęczyńska;23;25;03-775;Praga-Północ;08227;0919298;1465088;226190464;;zsm.moniuszko@gmail.com;;MAZOWIECKIE;Warszawa;Praga-Północ - dzielnica;000276765;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1951-01-01;
103643;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W KROŚNIE;ul. Ignacego Paderewskiego;7;;38-400;Krosno;15529;0952410;1861011;134320072;;sekretariat@zsmkrosno.pl;zsmkrosno.pl;PODKARPACKIE;Krosno;Krosno - gmina miejska;180032405;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1979-08-01;
103752;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W GDAŃSKU;ul. Gnilna;3;;80-847;Gdańsk;05672;0933016;2261011;583011272;;;;POMORSKIE;Gdańsk;Gdańsk - gmina miejska;220035040;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
104258;OSM1;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. IM. GRAŻYNY BACEWICZ W WARSZAWIE;ul. Eustachego Tyszkiewicza;42;;01-172;Wola;23277;0919884;1465188;226321009;;;;MAZOWIECKIE;Warszawa;Wola - dzielnica;000814553;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1978-09-01;
104318;OSM1;OGÓLNOKSZTAŁCACA SZKOŁA MUZYCZNA I ST. W KRAKOWIE;os. Centrum E;2;;31-934;Kraków-Nowa Huta;02623;0950718;1261039;126448835;;sekretariat@zpsmuz.pl;;MAŁOPOLSKIE;Kraków;Kraków-Nowa Huta - delegatura;122742359;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1978-09-01;
104429;OSM1;PAŃSTWOWA OGÓLNOKSZTAŁCĄCA SZKOŁA ARTYSTYCZNA W ZAKOPANEM;ul. Henryka Sienkiewicza;12;;34-500;Zakopane;19834;0963773;1217011;182012619;;;;MAŁOPOLSKIE;tatrzański;Zakopane - gmina miejska;120016732;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1996-09-01;
114221;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. W ŁODZI;ul. Sosnowa;9;;93-102;Łódź-Górna;20598;0957985;1061039;426846384;;sekretariat@muzyczna.sosnowa.pl;muzyczna-sosnowa.pl;ŁÓDZKIE;Łódź;Łódź-Górna - delegatura;100021039;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
130585;OSM1;NIEPUBLICZNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. ELEMENTARZ W KATOWICACH;ul. Studencka;18;;40-743;Katowice;21410;0937474;2469011;323231235;;sekretariat@muzyczna.pl;muzyczna.pl;ŚLĄSKIE;Katowice;Katowice - gmina miejska;364208359;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;;MUZYCZNY ELEMENTARZ SPÓŁKA Z O.O.;Spółki Handlowe;ŚLĄSKIE;Katowice;Katowice;2016-03-16;
264084;OSM1;NIEPUBLICZNA OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I ST. PROMYK W SZCZECINIE;ul. Teofila Starzyńskiego;3-4;;70-506;Szczecin;21048;0977976;3262011;914341591;;ps@promyk.szczecin.pl;szkolapromyk.szczecin.pl;ZACHODNIOPOMORSKIE;Szczecin;Szczecin - gmina miejska;368260948;;niepubliczna o uprawnieniach szkoły publicznej;Bez kategorii;brak specyfiki;;HELENA GRZYWACZ;Osoba fizyczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;2017-03-20;
268374;OSM1;OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA;ul. Popiela;2;;73-110;Stargard;17134;0979596;3214011;915776765;;sekretariat@osm.stargard.pl;;ZACHODNIOPOMORSKIE;stargardzki;Stargard - gmina miejska;381124089;;publiczna;Bez kategorii;brak specyfiki;MONIKA KUNA;MIASTO STARGARD;Gmina;ZACHODNIOPOMORSKIE;stargardzki;Stargard;2018-08-28;
