urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center
Wójt Gminy Kamionka;060805;2;0;44.00;0;0;0;0;0;2;060805;2;Kamionka;11169;112;6455;58;1190;1390;gw;51.369904,22.356854 51.520076,22.539418;51.44499,22.448136
Wójt Gminy Księżpol;060208;3;0;54.00;0;0;0;0;0;3;060208;2;Księżpol;14128;141;6956;49;769;1287;gw;50.346406,22.665099 50.488385,22.886989;50.4173955,22.776044
Burmistrz Ostrowa Lubelskiego;060810;3;0;46.33;1;0;0;0;0;2;060810;3;Ostrów Lubelski;12158;122;5248;43;1033;1668;gmw;51.381698,22.728538 51.531389,22.908526;51.4565435,22.818532
Burmistrz Józefowa;060207;3;0;48.33;0;1;0;0;0;2;060207;3;Józefów;12646;126;6817;54;965;1319;gmw;50.421570,22.948322 50.566017,23.187963;50.4937935,23.0681425
Wójt Gminy Łukowa;060209;3;0;46.00;0;1;0;0;0;2;060209;2;Łukowa;14872;149;4279;29;689;1917;gw;50.343396,22.829664 50.461032,23.117983;50.402214,22.9738235
Burmistrz Miasta Kock;060806;1;0;56.00;0;0;0;0;0;1;060806;3;Kock;10107;101;6477;64;1371;1387;gmw;51.589883,22.324593 51.713811,22.539794;51.651847,22.4321935
Burmistrz Tarnogrodu;060212;3;1;46.33;0;0;0;0;0;3;060212;3;Tarnogród;11425;114;6744;59;1141;1334;gmw;50.291158,22.606575 50.385864,22.879439;50.338511,22.743007
Wójt Gminy Potok Górny;060211;3;0;47.67;0;1;0;0;0;2;060211;2;Potok Górny;11116;111;5449;49;1199;1617;gw;50.343615,22.402945 50.465696,22.623200;50.4046555,22.5130725
Wójt Gminy Niedźwiada;060809;2;0;48.50;1;1;0;0;0;0;060809;2;Niedźwiada;9576;96;6246;65;1459;1434;gw;51.469336,22.620978 51.583280,22.786512;51.526308,22.703745
Wójt Gminy Turobin;060214;3;0;48.33;0;1;0;0;0;2;060214;2;Turobin;16219;162;6215;38;578;1442;gw;50.755238,22.578176 50.884387,22.898100;50.8198125,22.738138
Wójt Gminy Serniki;060812;2;0;51.00;0;0;0;0;0;2;060812;2;Serniki;7560;76;4925;65;1763;1747;gw;51.385799,22.627846 51.485024,22.809526;51.4354115,22.718686
Wójt Gminy Tereszpol;060213;1;0;39.00;0;1;0;0;0;0;060213;2;Tereszpol;14401;144;3931;27;745;1999;gw;50.487761,22.786874 50.644472,23.001933;50.5661165,22.8944035
Wójt Gminy Ostrówek;060811;2;0;46.50;0;0;0;0;0;2;060811;2;Ostrówek;8985;90;3913;44;1537;2005;gw;51.531431,22.507147 51.660373,22.707422;51.595902,22.6072845
Burmistrz Miasta Rejowiec Fabryczny;060301;3;0;54.67;1;1;0;0;0;1;060301;1;Rejowiec Fabryczny;1428;15;4396;308;2282;1884;gm;51.101081,23.203562 51.137335,23.296126;51.119208,23.249844
Wójt Gminy Dołhobyczów;060402;3;1;47.67;1;1;0;0;0;1;060402;2;Dołhobyczów (c);21261;213;5541;26;282;1592;gw;50.412140,23.875710 50.651335,24.098657;50.5317375,23.9871835
Wójt Gminy Hrubieszów;060404;4;1;41.75;0;1;0;0;0;3;060404;2;Hrubieszów;25921;259;10107;39;156;849;gw;50.688348,23.781904 50.941897,24.073015;50.8151225,23.9274595
Wójt Gminy Uchanie;060407;4;1;59.00;1;0;0;0;0;3;060407;2;Uchanie;12063;121;4621;38;1046;1828;gw;50.846873,23.580418 50.952159,23.808809;50.899516,23.6946135
Wójt Gminy Trzeszczany;060406;4;1;54.00;1;0;0;0;0;3;060406;2;Trzeszczany;9029;90;4215;47;1530;1929;gw;50.773880,23.621925 50.870256,23.830005;50.822068,23.725965
Wójt Gminy Werbkowice;060408;4;1;46.00;1;1;0;0;0;2;060408;2;Werbkowice;18715;187;9509;51;409;912;gw;50.636130,23.614806 50.804671,23.866427;50.7204005,23.7406165
Burmistrz Modliborzyc;060506;2;0;60.50;0;1;0;0;0;1;060506;3;Modliborzyce;15257;153;7037;46;652;1271;gmw;50.652659,22.213929 50.839705,22.460912;50.746182,22.3374205
Wójt Gminy Godziszów;060504;3;0;52.33;0;1;0;0;0;2;060504;2;Godziszów;10167;102;5860;58;1362;1525;gw;50.710623,22.385412 50.844871,22.562274;50.777747,22.473843
Wójt Gminy Chrzanów;060502;2;0;47.00;1;1;0;0;0;0;060502;2;Chrzanów;7169;72;2934;41;1826;2195;gw;50.713070,22.537567 50.839911,22.676479;50.7764905,22.607023
Wójt Gminy Międzyrzec Podlaski;060110;2;0;53.50;0;1;0;0;0;1;060110;2;Międzyrzec Podlaski;26092;262;10526;40;153;819;gw;51.918600,22.617522 52.117769,22.928717;52.0181845,22.7731195
Wójt Gminy Batorz;060501;2;0;54.00;1;1;0;0;0;0;060501;2;Batorz;7084;71;3332;47;1838;2134;gw;50.811830,22.397155 50.915657,22.547762;50.8637435,22.4724585
Burmistrz Miasta Terespol;060102;3;1;47.00;0;0;0;0;0;3;060102;1;Terespol (c);1011;10;5594;553;2319;1578;gm;52.057369,23.584172 52.096328,23.653784;52.0768485,23.618978
Wójt Gminy Dzwola;060503;5;0;49.60;1;1;0;0;0;3;060503;2;Dzwola;20037;199;6358;32;342;1417;gw;50.584489,22.407418 50.762940,22.681174;50.6737145,22.544296
Burmistrz Miasta Międzyrzec Podlaski;060101;2;0;47.00;0;1;0;0;0;1;060101;1;Międzyrzec Podlaski;2003;21;16925;845;2237;433;gm;51.960453,22.724189 52.001570,22.829590;51.9810115,22.7768895
Burmistrz Janowa Lubelskiego;060505;1;0;52.00;0;1;0;0;0;0;060505;3;Janów Lubelski;17870;179;16057;90;460;467;gmw;50.575503,22.232796 50.747958,22.551368;50.6617305,22.392082
Wójt Gminy Kodeń;060106;1;0;55.00;0;0;0;0;0;1;060106;2;Kodeń;15104;151;3598;24;664;2086;gw;51.815974,23.496690 52.015328,23.689023;51.915651,23.5928565
Wójt Gminy Potok Wielki;060507;2;0;57.50;0;1;0;0;0;1;060507;2;Potok Wielki;9944;99;4728;48;1401;1800;gw;50.662099,22.141485 50.842546,22.292051;50.7523225,22.216768
Wójt Gminy Kraśniczyn;060606;3;2;52.67;1;0;0;0;0;2;060606;2;Kraśniczyn;11009;110;3740;34;1226;2050;gw;50.876134,23.229503 50.974112,23.479518;50.925123,23.3545105
Wójt Gminy Fajsławice;060602;2;0;53.50;0;1;0;0;0;1;060602;2;Fajsławice;7065;71;4591;65;1842;1835;gw;51.021075,22.877368 51.122814,23.036745;51.0719445,22.9570565
Burmistrz Miasta Krasnystaw;060601;4;0;58.00;0;0;0;0;0;4;060601;1;Krasnystaw;4213;42;18912;449;2076;374;gm;50.953660,23.095310 51.030174,23.244508;50.991917,23.169909
Burmistrz Tyszowiec;061812;4;0;47.00;0;1;0;0;0;3;061812;3;Tyszowce;12831;128;5665;44;940;1558;gmw;50.565774,23.575576 50.704265,23.774134;50.6350195,23.674855
Prezydent Miasta Biała Podlaska;066101;4;0;49.25;0;1;1;0;0;2;066101;1;Biała Podlaska;4940;49;57545;1165;2025;80;mm;51.996385,23.065108 52.061684,23.211503;52.0290345,23.1383055
Wójt Gminy Wola Uhruska;061907;2;1;48.50;1;0;0;0;0;1;061907;2;Wola Uhruska;15407;154;3878;25;639;2013;gw;51.264760,23.448732 51.430848,23.709312;51.347804,23.579022
Wójt Gminy Hańsk;061903;2;0;51.00;1;0;0;0;0;1;061903;2;Hańsk;17627;176;3766;21;476;2045;gw;51.347802,23.272086 51.498483,23.574996;51.4231425,23.423541
Burmistrz Miasta Radzyń Podlaski;061501;4;1;51.50;0;1;0;0;0;3;061501;1;Radzyń Podlaski;1931;19;15808;819;2243;482;gm;51.746608,22.584412 51.807067,22.668327;51.7768375,22.6263695
Burmistrz Miasta Włodawy;061901;3;0;48.33;0;1;0;0;0;2;061901;1;Włodawa;1797;18;13350;743;2252;599;gm;51.515487,23.489497 51.567085,23.577895;51.541286,23.533696
Wójt Gminy Borki;061502;3;0;37.33;0;1;0;0;0;2;061502;2;Borki;11182;112;6030;54;1183;1483;gw;51.660061,22.396855 51.797151,22.600024;51.728606,22.4984395
Wójt Gminy Ulan-Majorat;061507;2;0;56.00;0;0;0;0;0;2;061507;2;Ulan-Majorat;10778;108;6030;56;1262;1483;gw;51.788107,22.352517 51.890208,22.578660;51.8391575,22.4655885
Wójt Gminy Urszulin;061905;2;1;38.50;0;1;0;0;0;1;061905;2;Urszulin;17214;172;4135;24;498;1945;gw;51.326983,23.056401 51.467517,23.291507;51.39725,23.173954
Wójt Gminy Komarówka Podlaska;061505;3;0;46.00;0;1;0;0;0;2;061505;2;Komarówka Podlaska;13797;138;4295;31;805;1912;gw;51.763879,22.832418 51.895344,23.062555;51.8296115,22.9474865
Wójt Gminy Stary Brus;061904;3;1;48.33;1;1;0;0;0;1;061904;2;Stary Brus;13167;132;2113;16;889;2271;gw;51.410557,23.146903 51.577326,23.382648;51.4939415,23.2647755
Wójt Gminy Kąkolewnica;061504;4;1;41.00;0;1;0;0;0;3;061504;2;Kąkolewnica;14753;148;8209;56;701;1081;gw;51.824395,22.549859 51.974018,22.779828;51.8992065,22.6648435
Wójt Gminy Radzyń Podlaski;061506;4;0;44.25;0;1;0;0;0;3;061506;2;Radzyń Podlaski;15499;155;8099;52;630;1098;gw;51.700775,22.475281 51.880450,22.743386;51.7906125,22.6093335
Wójt Gminy Wyryki;061908;2;0;43.50;1;0;0;0;0;1;061908;2;Wyryki;21998;220;2612;12;257;2234;gw;51.474700,23.171298 51.659388,23.497176;51.567044,23.334237
Wójt Gminy Wohyń;061508;3;0;57.67;0;1;0;0;0;2;061508;2;Wohyń;17817;178;6775;38;465;1327;gw;51.661001,22.674286 51.862565,22.925180;51.761783,22.799733
Wójt Gminy Sułów;062012;3;0;59.67;0;1;0;0;0;2;062012;2;Sułów;9324;93;4560;49;1500;1841;gw;50.710625,22.873202 50.810042,23.078334;50.7603335,22.975768
Wójt Gminy Kłoczew;061602;2;0;45.50;0;0;0;0;1;1;061602;2;Kłoczew;14306;143;7245;51;752;1241;gw;51.682554,21.835390 51.795049,22.095438;51.7388015,21.965414
Wójt Gminy Radecznica;062008;3;1;49.33;0;1;0;0;0;2;062008;2;Radecznica;10995;110;5801;53;1230;1535;gw;50.593958,22.753689 50.792665,22.905700;50.6933115,22.8296945
Burmistrz Miasta Dęblin;061601;4;1;50.00;0;0;0;0;0;4;061601;1;Dęblin;3833;38;16398;428;2102;451;gm;51.529227,21.814096 51.605340,21.934581;51.5672835,21.8743385
Wójt Gminy Miączyn;062006;2;0;50.50;1;1;0;0;0;0;062006;2;Miączyn;15607;156;5874;38;626;1521;gw;50.675983,23.433463 50.802796,23.671353;50.7393895,23.552408
Burmistrz Ryk;061604;5;1;48.00;1;1;0;0;0;3;061604;3;Ryki;16176;162;20510;127;582;327;gmw;51.533244,21.840549 51.700593,22.073420;51.6169185,21.9569845
Wójt Gminy Łabunie;062005;5;1;45.00;0;1;0;0;0;4;062005;2;Łabunie;8731;87;6292;72;1575;1429;gw;50.607896,23.280145 50.710164,23.433672;50.65903,23.3569085
Wójt Gminy Nowodwór;061603;2;0;54.00;0;0;0;1;0;1;061603;2;Nowodwór;7187;72;4158;58;1820;1940;gw;51.608715,22.023809 51.723400,22.182052;51.6660575,22.1029305
Wójt Gminy Nielisz;062007;2;0;37.00;0;1;0;0;0;1;062007;2;Nielisz;11226;112;5540;49;1173;1593;gw;50.751964,22.934358 50.869116,23.180063;50.81054,23.0572105
Wójt Gminy Ułęż;061606;6;3;44.50;0;1;0;1;0;4;061606;2;Ułęż;8347;84;3233;39;1647;2149;gw;51.565301,21.978774 51.662336,22.243063;51.6138185,22.1109185
Wójt Gminy Skierbieszów;062010;2;0;42.00;0;0;0;0;0;2;062010;2;Skierbieszów;13921;139;5229;38;794;1674;gw;50.780569,23.241151 50.909207,23.481337;50.844888,23.361244
Wójt Gminy Stężyca;061605;1;0;63.00;0;0;0;0;0;1;061605;2;Stężyca;11604;116;5221;45;1115;1679;gw;51.560393,21.615543 51.660307,21.866990;51.61035,21.7412665
Wójt Gminy Sitno;062009;3;0;48.33;0;1;0;0;0;2;062009;2;Sitno;11174;112;6766;61;1187;1330;gw;50.678991,23.298209 50.808014,23.478822;50.7435025,23.3885155
Burmistrz Miasta Świdnik;061701;3;0;55.33;0;0;1;0;0;2;061701;1;Świdnik (a);2035;20;39732;1952;2233;129;gm;51.189456,22.638796 51.243969,22.731077;51.2167125,22.6849365
Burmistrz Piask;061703;2;1;39.00;1;1;0;0;0;0;061703;3;Piaski;16986;170;10580;62;521;813;gmw;51.069435,22.681100 51.191511,22.929504;51.130473,22.805302
Wójt Gminy Mełgiew;061702;4;2;43.75;0;1;0;0;0;3;061702;2;Mełgiew;9485;95;9640;102;1475;900;gw;51.169236,22.687918 51.284745,22.864832;51.2269905,22.776375
Wójt Gminy Brzeźnica;081003;2;0;46.00;0;0;0;0;0;2;081003;2;Brzeźnica;12218;122;3728;31;1025;2051;gw;51.642743,15.288391 51.781668,15.519365;51.7122055,15.403878
Burmistrz Miasta Żagań;081002;5;0;43.20;0;1;0;0;0;4;081002;1;Żagań;4038;40;26148;648;2093;227;gm;51.574961,15.260251 51.655008,15.371084;51.6149845,15.3156675
Burmistrz Iłowej;081004;1;0;37.00;0;0;0;0;0;1;081004;3;Iłowa;15303;153;6931;45;648;1293;gmw;51.429797,15.065788 51.614671,15.296710;51.522234,15.181249
Wójt Gminy Niegosławice;081006;3;1;49.00;0;0;0;0;0;3;081006;2;Niegosławice;13641;136;4457;33;820;1866;gw;51.552134,15.611901 51.672189,15.857189;51.6121615,15.734545
Burmistrz Kargowej;080904;2;0;56.50;0;0;0;0;0;2;080904;3;Kargowa;12853;129;5851;46;936;1527;gmw;52.001317,15.734818 52.128796,16.005527;52.0650565,15.8701725
Burmistrz Czerwieńska;080903;1;0;60.00;0;0;0;0;0;1;080903;3;Czerwieńsk;19459;195;10055;52;373;855;gmw;51.949560,15.256627 52.131314,15.537299;52.040437,15.396963
Burmistrz Nowogrodu Bobrzańskiego;080905;4;0;55.50;0;0;0;0;0;4;080905;3;Nowogród Bobrzański;25969;260;9454;36;155;914;gmw;51.736514,15.077711 51.899983,15.468341;51.8182485,15.273026
Wójt Gminy Trzebiechów;080908;2;1;58.00;0;0;0;0;0;2;080908;2;Trzebiechów;8096;81;3446;43;1688;2109;gw;51.970385,15.633465 52.069813,15.799917;52.020099,15.716691
Burmistrz Sulechowa;080906;6;1;53.83;0;1;0;0;0;5;080906;3;Sulechów;23666;237;26498;112;211;222;gmw;52.006263,15.403577 52.182680,15.747460;52.0944715,15.5755185
Wójt Gminy Świdnica;080907;2;0;56.50;0;0;0;0;0;2;080907;2;Świdnica;16090;160;6573;41;589;1364;gw;51.833425,15.232134 51.986173,15.476628;51.909799,15.354381
Wójt Gminy Zabór;080909;2;0;50.50;0;0;0;0;0;2;080909;2;Zabór;9338;93;4211;45;1498;1930;gw;51.892049,15.603532 52.006930,15.795184;51.9494895,15.699358
Wójt Gminy Żagań;081009;4;1;49.25;0;0;0;0;0;4;081009;2;Żagań;28069;281;7243;26;127;1242;gw;51.408415,15.232969 51.760931,15.519434;51.584673,15.3762015
Burmistrz Szprotawy;081007;5;1;49.80;0;1;0;0;0;4;081007;3;Szprotawa;23253;233;20925;90;222;322;gmw;51.445674,15.476992 51.694339,15.714032;51.5700065,15.595512
Wójt Gminy Wymiarki;081008;7;1;52.43;0;1;0;0;0;6;081008;2;Wymiarki;6309;63;2321;37;1922;2261;gw;51.481710,14.987576 51.561679,15.169602;51.5216945,15.078589
Burmistrz Lubniewic;080702;4;1;55.00;0;0;0;0;0;4;080702;3;Lubniewice;12969;130;3116;24;915;2174;gmw;52.447158,15.135117 52.590066,15.310233;52.518612,15.222675
Wójt Gminy Bogdaniec;080102;2;1;51.50;0;0;0;0;0;2;080102;2;Bogdaniec;11173;112;7109;64;1188;1261;gw;52.617229,15.004455 52.758045,15.190974;52.687637,15.0977145
Burmistrz Miasta Gozdnica;081001;1;0;54.00;0;0;0;0;0;1;081001;1;Gozdnica;2392;24;3100;130;2201;2176;gm;51.425389,15.047322 51.481963,15.124071;51.453676,15.0856965
Wójt Gminy Lubiszyn;080105;3;1;46.33;0;0;0;0;0;3;080105;2;Lubiszyn;20526;205;6907;34;314;1299;gw;52.727857,14.810218 52.889669,15.149209;52.808763,14.9797135
Burmistrz Małomic;081005;2;1;43.50;0;0;0;0;0;2;081005;3;Małomice;7959;80;5261;66;1707;1663;gmw;51.471052,15.389567 51.646823,15.600178;51.5589375,15.4948725
Burmistrz Sulęcina;080704;3;0;47.00;0;1;0;0;0;2;080704;3;Sulęcin;32008;320;15912;50;77;477;gmw;52.341568,14.969338 52.532195,15.450605;52.4368815,15.2099715
Wójt Gminy Kłodawa;080104;1;1;57.00;0;0;0;0;0;1;080104;2;Kłodawa;23472;235;8506;36;218;1037;gw;52.759025,15.067061 52.905105,15.446457;52.832065,15.256759
Burmistrz Torzymia;080705;3;1;44.00;0;0;0;0;0;3;080705;3;Torzym;37520;375;6848;18;33;1310;gmw;52.206763,14.868632 52.409615,15.242660;52.308189,15.055646
Wójt Gminy Santok;080106;4;1;42.50;0;0;0;0;0;4;080106;2;Santok;16939;169;8382;49;527;1052;gw;52.693347,15.276002 52.818170,15.605472;52.7557585,15.440737
Wójt Gminy Lubrza;080801;2;0;49.00;0;0;0;0;0;2;080801;2;Lubrza;12225;122;3549;29;1023;2091;gw;52.213624,15.304745 52.375885,15.501787;52.2947545,15.403266
Burmistrz Miasta i Gminy Witnica;080107;3;2;37.67;0;0;0;0;0;3;080107;3;Witnica;27868;279;12957;46;130;630;gmw;52.594154,14.667270 52.784522,15.052697;52.689338,14.8599835
Wójt Gminy Skąpe;080803;2;0;53.00;0;1;0;0;0;1;080803;2;Skąpe;18136;182;5115;28;440;1703;gw;52.095019,15.291706 52.224295,15.582295;52.159657,15.4370005
Wójt Gminy Gubin;080205;4;2;51.50;1;1;0;0;0;2;080205;2;Gubin;37960;379;7239;19;29;1244;gw;51.785026,14.590146 52.081081,14.962716;51.9330535,14.776431
Wójt Gminy Łagów;080802;3;0;58.00;0;0;0;0;0;3;080802;2;Łagów;19914;200;5010;25;347;1724;gw;52.194590,15.089010 52.378690,15.408069;52.28664,15.2485395
Burmistrz Miasta Gubina;080201;2;0;51.00;0;0;0;0;0;2;080201;1;Gubin;2068;21;16740;809;2230;444;gm;51.918394,14.704880 51.996127,14.793220;51.9572605,14.74905
Wójt Gminy Szczaniec;080804;3;1;57.00;1;1;0;0;0;1;080804;2;Szczaniec;11333;113;3872;34;1158;2016;gw;52.161022,15.605051 52.323437,15.782266;52.2422295,15.6936585
Burmistrz Międzyrzecza;080302;5;1;51.40;0;1;0;0;0;4;080302;3;Międzyrzecz;31532;315;25148;80;83;245;gmw;52.342141,15.395796 52.536830,15.768649;52.4394855,15.5822225
Wójt Gminy Bytnica;080203;2;0;36.00;0;0;0;0;0;2;080203;2;Bytnica;20873;209;2523;12;292;2242;gw;52.092273,15.008965 52.234736,15.314395;52.1635045,15.16168
Burmistrz Świebodzina;080805;4;1;54.00;0;1;0;0;0;3;080805;3;Świebodzin;22641;226;30198;133;243;189;gmw;52.126586,15.394454 52.359113,15.662390;52.2428495,15.528422
Wójt Gminy Pszczew;080304;4;1;54.75;0;0;0;0;0;4;080304;2;Pszczew;17767;178;4295;24;468;1912;gw;52.401186,15.645575 52.567918,15.898168;52.484552,15.7718715
Wójt Gminy Bobrowice;080202;3;0;47.33;0;0;0;0;0;3;080202;2;Bobrowice;18493;185;3210;17;420;2156;gw;51.860865,14.917668 52.010794,15.200062;51.9358295,15.058865
Burmistrz Zbąszynka;080806;1;0;61.00;0;0;0;0;0;1;080806;3;Zbąszynek;9408;94;8351;89;1489;1058;gmw;52.191808,15.711160 52.320482,15.881414;52.256145,15.796287
Burmistrz Skwierzyny;080305;1;0;59.00;0;0;0;0;0;1;080305;3;Skwierzyna;28481;285;12201;43;122;675;gmw;52.556003,15.363829 52.714117,15.813962;52.63506,15.5888955
Wójt Gminy Dąbie;080204;2;1;46.00;0;0;0;0;0;2;080204;2;Dąbie;17091;171;4989;29;507;1734;gw;51.892204,15.052742 52.065363,15.293292;51.9787835,15.173017
Wójt Gminy Bojadła;080902;3;2;54.67;0;0;0;0;0;3;080902;2;Bojadła;10227;102;3280;32;1354;2142;gw;51.885797,15.737082 52.030859,15.933578;51.958328,15.83533
Burmistrz Babimostu;080901;2;1;53.50;0;0;0;0;0;2;080901;3;Babimost;9277;93;6190;67;1505;1448;gmw;52.092426,15.719701 52.215122,15.883561;52.153774,15.801631
Burmistrz Trzciela;080306;3;0;56.00;1;0;0;0;0;2;080306;3;Trzciel;17751;178;6516;37;469;1380;gmw;52.283694,15.618519 52.437294,15.900608;52.360494,15.7595635
Wójt Gminy Maszewo;080207;2;0;55.00;0;0;0;0;0;2;080207;2;Maszewo;21400;214;2831;13;274;2208;gw;52.028523,14.789871 52.218880,15.059446;52.1237015,14.9246585
Burmistrz Bytomia Odrzańskiego;080402;1;0;57.00;0;0;0;0;0;1;080402;3;Bytom Odrzański;5238;52;5465;104;2002;1612;gmw;51.668587,15.741561 51.766432,15.871824;51.7175095,15.8066925
Burmistrz Krosna Odrzańskiego;080206;2;0;52.50;0;1;0;0;0;1;080206;3;Krosno Odrzańskie;21240;212;17980;85;283;398;gmw;51.968317,14.901169 52.140200,15.295965;52.0542585,15.098567
Burmistrz Cybinki;080501;3;0;47.67;0;0;0;0;0;3;080501;3;Cybinka;27967;280;6506;23;128;1383;gmw;52.070025,14.679138 52.307222,14.917147;52.1886235,14.7981425
Wójt Gminy Kolsko;080403;5;0;50.00;0;0;0;0;1;4;080403;2;Kolsko;8070;81;3306;41;1694;2138;gw;51.902618,15.843435 52.039448,16.011745;51.971033,15.92759
Wójt Gminy Bledzew;080301;3;1;47.00;0;0;0;0;0;3;080301;2;Bledzew;24748;247;4427;18;185;1877;gw;52.415749,15.265066 52.621393,15.560933;52.518571,15.4129995
Wójt Gminy Górzyca;080502;1;0;47.00;0;0;0;0;0;1;080502;2;Górzyca;14542;144;4249;29;727;1925;gw;52.422423,14.603923 52.575708,14.817711;52.4990655,14.710817
Wójt Gminy Siedlisko;080408;3;2;46.33;0;0;0;0;0;3;080408;2;Siedlisko;9216;92;3653;40;1513;2076;gw;51.718946,15.768720 51.811913,16.008571;51.7654295,15.8886455
Wójt Gminy Przytoczna;080303;1;0;37.00;0;0;0;0;0;1;080303;2;Przytoczna;18482;185;5662;31;423;1559;gw;52.520144,15.537215 52.642055,15.836004;52.5810995,15.6866095
Burmistrz Rzepina;080504;2;1;51.50;0;0;0;0;0;2;080504;3;Rzepin;19099;191;9809;51;386;885;gmw;52.288454,14.666280 52.452854,14.920477;52.370654,14.7933785
Burmistrz Kożuchowa;080404;4;0;38.75;0;1;0;0;0;3;080404;3;Kożuchów;17918;179;16085;90;456;464;gmw;51.683273,15.442233 51.846363,15.720581;51.764818,15.581407
Burmistrz Słubic;080505;4;1;44.75;0;0;0;0;0;4;080505;3;Słubice;18557;186;20077;108;419;338;gmw;52.255745,14.534207 52.464590,14.741374;52.3601675,14.6377905
Wójt Gminy Nowa Sól;080405;2;2;37.50;0;0;0;0;0;2;080405;2;Nowa Sól;17596;176;6944;39;479;1291;gw;51.733015,15.578151 51.921705,15.992740;51.82736,15.7854455
Burmistrz Dobiegniewa;080601;3;1;50.67;0;1;0;0;0;2;080601;3;Dobiegniew;35127;351;6664;19;47;1348;gmw;52.892594,15.607236 53.123972,15.998250;53.008283,15.802743
Burmistrz Gminy i Miasta Nowe Miasteczko;080406;3;1;47.67;0;0;0;0;0;3;080406;3;Nowe Miasteczko;7686;77;5445;71;1746;1619;gmw;51.645001,15.588034 51.734667,15.819623;51.689834,15.7038285
Burmistrz Miasta i Gminy Wschowa;081203;5;1;45.60;0;1;0;0;0;4;081203;3;Wschowa;19746;197;21428;109;360;312;gmw;51.731555,16.162455 51.901855,16.416840;51.816705,16.2896475
Wójt Gminy Stare Kurowo;080603;2;1;44.50;0;0;0;0;0;2;080603;2;Stare Kurowo;7757;78;4083;53;1741;1958;gw;52.786793,15.602374 52.896993,15.780255;52.841893,15.6913145
Burmistrz Otynia;080407;2;2;51.00;0;0;0;0;0;2;080407;3;Otyń;9169;92;6953;76;1516;1288;gmw;51.808742,15.566766 51.905117,15.788731;51.8569295,15.6777485
Prezydent Miasta Zielona Góra;086201;5;1;45.20;0;1;1;1;0;2;086201;1;Zielona Góra (a);27832;277;139819;502;131;24;mm;51.820346,15.390737 52.035079,15.652424;51.9277125,15.5215805
Burmistrz Drezdenka;080602;4;1;42.75;0;0;0;0;0;4;080602;3;Drezdenko;39991;400;17381;43;25;418;gmw;52.700437,15.577971 52.957083,15.979758;52.82876,15.7788645
Prezydent Miasta Nowa Sól;080401;4;0;48.75;0;1;0;1;0;2;080401;1;Nowa Sól;2180;22;39098;1793;2217;131;gm;51.765483,15.677300 51.841325,15.746403;51.803404,15.7118515
Prezydent Miasta Gorzowa Wielkopolskiego;086101;5;1;44.80;0;1;1;0;0;3;086101;1;Gorzów Wielkopolski;8572;86;124295;1450;1607;29;mm;52.684163,15.123392 52.776949,15.310920;52.730556,15.217156
Wójt Gminy Przewóz;081107;2;0;54.00;0;0;0;0;0;2;081107;2;Przewóz;17832;178;3200;18;463;2157;gw;51.363405,14.784004 51.574792,15.088864;51.4690985,14.936434
Wójt Gminy Zwierzyn;080605;3;0;45.67;0;0;0;0;0;3;080605;2;Zwierzyn;10013;100;4360;44;1390;1894;gw;52.751268,15.445945 52.853856,15.693917;52.802562,15.569931
Burmistrz Ośna Lubuskiego;080503;3;0;53.33;0;0;0;0;0;3;080503;3;Ośno Lubuskie;19764;198;6427;33;356;1399;gmw;52.370380,14.746988 52.529983,15.044048;52.4501815,14.895518
Wójt Gminy Deszczno;080103;1;0;39.00;0;0;0;0;0;1;080103;2;Deszczno;16831;168;9659;57;530;897;gw;52.584398,15.157721 52.734960,15.421386;52.659679,15.2895535
Wójt Gminy Lipinki Łużycie;081105;2;0;49.50;0;0;0;0;0;2;081105;2;Lipinki Łużyckie;8869;89;3359;38;1553;2129;gw;51.568816,14.911837 51.694978,15.070781;51.631897,14.991309
Burmistrz Strzelec Krajeńskich;080604;1;0;31.00;0;0;0;0;0;1;080604;3;Strzelce Krajeńskie;31898;319;17213;54;79;425;gmw;52.794377,15.282887 53.014461,15.689067;52.904419,15.485977
Burmistrz Miasta Kostrzyn nad Odrą;080101;4;0;48.50;0;1;0;1;0;2;080101;1;Kostrzyn nad Odrą;4614;46;17918;388;2054;401;gm;52.572151,14.564034 52.660408,14.716271;52.6162795,14.6401525
Burmistrz Jasienia;081104;4;2;59.50;1;0;0;0;0;3;081104;3;Jasień;12679;127;7102;56;963;1262;gmw;51.680208,14.914465 51.846499,15.170312;51.7633535,15.0423885
Wójt Gminy Słońsk;080703;4;1;50.00;0;0;0;0;0;4;080703;2;Słońsk;15864;159;4737;30;610;1798;gw;52.507158,14.647312 52.622271,14.965402;52.5647145,14.806357
Burmistrz Lubska;081106;2;0;49.00;0;0;0;0;0;2;081106;3;Lubsko;18267;183;18771;103;435;377;gmw;51.740148,14.851649 51.893732,15.106396;51.81694,14.9790225
Wójt Gminy Krzeszyce;080701;3;0;43.33;1;0;0;0;0;2;080701;2;Krzeszyce;19419;194;4738;24;375;1797;gw;52.509465,14.930513 52.652082,15.214116;52.5807735,15.0723145
Wójt Gminy Tuplice;081109;1;1;37.00;0;0;0;0;0;1;081109;2;Tuplice;6575;66;3117;47;1896;2173;gw;51.635616,14.807411 51.753027,14.976624;51.6943215,14.8920175
