tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
R1;020603;2;KAMIŃSKI Jacek Ryszard;55;wyższe;Piechowice,;421;15.02;-1;Nie
R1;020603;3;KUBIELSKI Jacek;55;wyższe;Piechowice,;688;24.55;-1;Druga tura
R1;020603;4;MAZUR Rafał Piotr;45;wyższe;Piechowice,;292;10.42;-1;Nie
R1;020603;5;PIRÓG Dorota Ewa;44;wyższe;Piechowice,;628;22.40;-1;Druga tura
R1;020603;6;SMOLCZYŃSKI Leon Ignacy;59;średnie;Piechowice,;83;2.96;-1;Nie
R1;020603;7;WOJTAŚ Waldemar;57;wyższe;Piechowice,;105;3.75;-1;Nie
R1;020604;1;BIELAŃCZYK Katarzyna Edyta;44;średnie;Szklarska Poręba,;135;4.96;-1;Nie
R1;020604;2;BOGUSZ Łukasz Grzegorz;37;średnie;Szklarska Poręba,;82;3.01;-1;Nie
R1;020604;3;GRAF Mirosław;59;wyższe;Szklarska Poręba,;1265;46.51;-1;Druga tura
R1;020604;4;RZEPCZYŃSKI Ryszard Bogusław;52;wyższe;Karpacz,;604;22.21;-1;Druga tura
R1;020604;5;SOKOLIŃSKI Grzegorz Janusz;58;wyższe;Szklarska Poręba,;472;17.35;-1;Nie
R1;020604;6;WONDOŁOWSKA-GRABOWSKA Anna;56;wyższe;Krzeszów,;162;5.96;-1;Nie
R1;020605;1;KOWALSKI Kamil Daniel;44;wyższe;Trzcińsko,;984;55.10;-1;Tak
R1;020605;2;PAWŁOWICZ Anita Maria;45;wyższe;Janowice Wielkie,;802;44.90;-1;Nie
R1;020606;1;DUDEK Edward Jan;53;wyższe;Jeżów Sudecki,;1702;59.26;-1;Tak
R1;020606;2;ROSÓŁ Paweł Tadeusz;39;średnie;Jeżów Sudecki,;1170;40.74;-1;Nie
R1;020607;1;NIDZGORSKA Ewa Romualda;51;wyższe;Mysłakowice,;1017;25.24;-1;Nie
R1;020607;2;NYC Piotr;54;wyższe;Kostrzyca,;445;11.04;-1;Nie
R1;020607;3;ORMAN Michał;44;wyższe;Ścięgny,;2151;53.37;-1;Tak
R1;020607;4;WATEHA Jerzy Witold;59;wyższe;Mysłakowice,;417;10.35;-1;Nie
R1;020608;1;BENESZ Bogusław Tadeusz;61;wyższe;Miłków,;78;2.19;-1;Nie
R1;020608;2;JESIONOWSKI Czesław Henryk;38;wyższe;Miłków,;411;11.52;-1;Nie
R1;020608;3;KALATA Mirosław;39;wyższe;Sosnówka,;2272;63.66;-1;Tak
R1;020608;4;PIWOWARSKI Marek Stanisław;53;wyższe;Zachełmie,;808;22.64;-1;Nie
R1;020609;1;MAREK Mariusz Krzysztof;41;wyższe;Kopaniec,;1533;84.42%;283;Tak
R1;020701;1;BAĆKO Tomasz Marcin;33;wyższe;Kamienna Góra,;381;4.84;-1;Nie
R1;020701;2;BLICHARSKI Adam Wacław;46;wyższe;Kamienna Góra,;1834;23.31;-1;Nie
R1;020701;3;CHODASEWICZ Janusz Witold;59;wyższe;Kamienna Góra,;1890;24.02;-1;Druga tura
R1;020701;4;JACIUK Mariola;53;wyższe;Kamienna Góra,;933;11.86;-1;Nie
R1;020701;5;ŚWIĄTEK Krzysztof Józef;67;wyższe;Kamienna Góra,;2429;30.87;-1;Druga tura
R1;020701;6;ZIELIŃSKI Artur Waldemar;55;wyższe;Kamienna Góra,;401;5.10;-1;Nie
R1;020702;1;STRAUS Patryk Piotr;38;wyższe;Pisarzowice,;2916;83.39%;581;Tak
R1;020703;1;KOCEMBA Ewa Aleksandra;58;wyższe;Lubawka,;2380;47.69;-1;Druga tura
R1;020703;2;KULON Tomasz Marian;62;wyższe;Bukówka,;1500;30.05;-1;Druga tura
R1;020703;3;ORZECHOWSKI Jan Józef;58;zasadnicze zawodowe;Błażkowa, Prawo i Sprawiedliwość;1111;22.26;-1;Nie
R1;020704;1;CEPIELIK Wiesław Waldemar;44;wyższe;Marciszów,;1243;57.89;-1;Tak
R1;020704;2;CIUBA Artur;54;średnie;Ciechanowice,;230;10.71;-1;Nie
R1;020704;3;ZAWIERUCHA Stefan Adam;65;wyższe;Marciszów,;674;31.39;-1;Nie
R1;020801;1;LEWANDOWSKI Piotr Andrzej;34;średnie;Duszniki-Zdrój,;1055;52.23;-1;Tak
R1;020801;2;MATUSZEWSKI Wojciech;38;wyższe;Duszniki-Zdrój,;127;6.29;-1;Nie
R1;020801;3;ZILBERT Piotr;48;wyższe;Duszniki-Zdrój,;838;41.49;-1;Nie
R1;020802;1;KAROLCZAK Tomasz Karol;49;średnie;Kłodzko,;702;6.26;-1;Nie
R1;020802;2;KOWALCZYK Jerzy;65;wyższe;Kłodzko,;230;2.05;-1;Nie
R1;020802;3;MIKOSA Dariusz Stanisław;53;wyższe;Kłodzko,;683;6.09;-1;Nie
R1;020802;4;PISZKO Michał Jan;37;wyższe;Kłodzko,;7577;67.56;-1;Tak
R1;020802;5;SZPYTMA Bogusław Krzysztof;55;wyższe;Kłodzko,;1671;14.90;-1;Nie
R1;020802;6;URBANOWSKI Henryk Czesław;68;wyższe;Kłodzko,;352;3.14;-1;Nie
R1;020803;1;MAZIARZ Piotr;52;wyższe;Kudowa-Zdrój,;1522;34.97;-1;Nie
R1;020803;2;MIDOR-BURAK Marta Anna;49;wyższe;Kudowa-Zdrój,;511;11.74;-1;Nie
R1;020803;3;POTOCZNA Aneta Ewa;45;wyższe;Kudowa-Zdrój,;2195;50.44;-1;Tak
R1;020803;4;PUNDA Michał;65;wyższe;Kudowa-Zdrój,;124;2.85;-1;Nie
R1;020804;1;KILIŃSKI Tomasz Jacek;47;wyższe;Nowa Ruda,;5468;68.43;-1;Tak
R1;020804;2;MARKOWSKA Joanna Katarzyna;35;średnie;Nowa Ruda,;749;9.37;-1;Nie
R1;020804;3;ZAJĄC Marcin Zdzisław;42;wyższe;Nowa Ruda,;1774;22.20;-1;Nie
R1;020805;1;JELLIN Mateusz Krzysztof;36;wyższe;Polanica-Zdrój,;820;28.79;-1;Druga tura
R1;020805;2;KŁONOWSKI Dariusz Antoni;54;wyższe;Stary Wielisław,;671;23.56;-1;Druga tura
R1;020805;3;LIPIŃSKI Tomasz;60;wyższe;Polanica-Zdrój,;336;11.80;-1;Nie
R1;020805;4;SZYMANEK Marcin Piotr;39;wyższe;Polanica-Zdrój,;563;19.77;-1;Nie
R1;020805;5;TYNIEC Jacek;56;wyższe;Polanica-Zdrój,;458;16.08;-1;Nie
R1;020806;1;MAREK Barbara Halina;70;średnie;Bystrzyca Kłodzka,;223;2.74;-1;Nie
R1;020806;2;SĘGA Krystian;39;wyższe ekonomiczne;Gorzanów,;3662;45.01;-1;Nie
R1;020806;3;SURMA Renata Lucyna;52;wyższe;Stary Waliszów,;4251;52.25;-1;Tak
R1;020807;1;BOGDAŁ Marek Piotr;56;wyższe;Wilkanów,;1499;24.25;-1;Nie
R1;020807;2;KRÓLIKOWSKI Marek Grzegorz;43;wyższe;Stary Wielisław,;864;13.98;-1;Nie
R1;020807;3;TUR Zbigniew Józef;54;wyższe;Podzamek,;3818;61.77;-1;Tak
R1;020808;1;KACZMARCZYK Roman;53;wyższe ekonomiczne;Lądek-Zdrój,;1429;41.87;-1;Druga tura
R1;020808;2;ŁAKUCEWICZ Dorota Barbara;49;wyższe;Lądek-Zdrój,;582;17.05;-1;Nie
R1;020808;3;ŁUKASIEWICZ Zbigniew Franciszek;64;wyższe;Lądek-Zdrój,;276;8.09;-1;Nie
R1;020808;4;SZKUDLAREK Kazimierz Rafał;47;wyższe;Lądek-Zdrój,;1047;30.68;-1;Druga tura
R1;020808;5;WĘDZIŃSKI Dariusz Sebastian;46;wyższe;Stójków,;79;2.31;-1;Nie
R1;020809;1;KLIMEK-SZYMANOWICZ Joanna Barbara;32;wyższe;Kocioł,;524;61.07;-1;Tak
R1;020809;2;WIEJKUT Tadeusz Antoni;56;średnie;Jeleniów, PiS;166;19.35;-1;Nie
R1;020809;3;WYPART Grzegorz Aleksander;30;wyższe;Lewin Kłodzki,;168;19.58;-1;Nie
R1;020810;1;CZECH Łukasz;33;wyższe;Międzylesie,;727;23.05;-1;Nie
R1;020810;2;GLIŃSKI Marek Oktawian;44;wyższe;Domaszków,;137;4.34;-1;Nie
R1;020810;3;KORCZAK Tomasz;56;wyższe;Międzylesie,;1629;51.65;-1;Tak
R1;020810;4;RUSINEK Krzysztof Bronisław;43;wyższe;Pisary,;661;20.96;-1;Nie
R1;020811;1;KOŁODZIEJ Wojciech Marcin;43;Wyższe;Bożków,;1618;33.27;-1;Druga tura
R1;020811;2;MIERZEJEWSKA Adrianna;47;Wyższe;Bożków,;2148;44.17;-1;Druga tura
R1;020811;3;SOŁEK-MUZYKA Bożena Joanna;43;Wyższe;Jugów,;1097;22.56;-1;Nie
R1;020812;1;BEDNARCZYK Jan Karol;68;średnie;Radków,;2606;83.50%;515;Tak
R1;020813;1;CHROMIEC Dariusz Janusz;50;wyższe;Stronie Śląskie,;1765;54.97;-1;Tak
R1;020813;2;FOREMNIK Irena;50;wyższe;Kamienica,;206;6.42;-1;Nie
R1;020813;3;GÓRNIAK Maria;66;wyższe medyczne;Stronie Śląskie,;144;4.48;-1;Nie
R1;020813;4;WĘGRZYN Miłosz Kacper;30;wyższe;Stronie Śląskie,;1096;34.13;-1;Nie
R1;020814;1;KRÓL Jerzy Mieczysław;55;wyższe;Szczytna,;1939;76.25%;604;Tak
R1;020901;1;SERKIES Jan;59;wyższe;Chojnów,;3517;79.21%;923;Tak
R1;020902;1;PYRZ Andrzej;42;wyższe;Krzywa,;2981;79.03%;791;Tak
R1;020903;1;HUBACZEK Paweł Edward;39;wyższe;Warmątowice Sienkiewiczowskie,;260;17.13;-1;Nie
R1;020903;2;JAREMA Dariusz;52;średnie;Wilczyce,;313;20.62;-1;Druga tura
R1;020903;3;KĄDZIOŁKA Zbigniew;67;średnie;Krajów,;271;17.85;-1;Nie
R1;020903;4;WOŹNIAK Wojciech Andrzej;45;wyższe;Dunino,;674;44.40;-1;Druga tura
R1;020904;1;KUĆKO Katarzyna;37;wyższe;Spalona,;455;13.64;-1;Nie
R1;020904;2;MAZUR Łukasz;34;wyższe techniczne;Legnica,;256;7.67;-1;Nie
R1;020904;3;MIKULICZ Maciej Krzysztof;36;wyższe ekonomiczne;Kunice,;1299;38.93;-1;Druga tura
R1;020904;4;TERSA Zdzisław Andrzej;61;wyższe;Golanka Górna,;1327;39.77;-1;Druga tura
R1;020905;1;BABUŚKA Henryk;59;średnie;Nowa Wieś Legnicka,;759;30.10;-1;Druga tura
R1;020905;2;BUCKI Antoni;68;średnie;Legnica,;45;1.78;-1;Nie
R1;020905;3;HRECZANY Waldemar Ryszard;48;wyższe;Legnickie Pole,;153;6.07;-1;Nie
R1;020905;4;JOŃCZYK Mariusz Paweł;43;wyższe;Legnickie Pole,;404;16.02;-1;Nie
R1;020905;5;PLEZIA Rafał Tadeusz;41;wyższe;Nowa Wieś Legnicka,;623;24.70;-1;Druga tura
R1;020905;6;ROMAN-CWYNAR Katarzyna;44;wyższe;Legnickie Pole,;538;21.33;-1;Nie
R1;020906;1;MATYSZCZAK Tadeusz Marian;60;wyższe;Siedliska,;225;7.35;-1;Nie
R1;020906;2;SKOCZEK Sławomir;60;średnie;Goślinów,;664;21.68;-1;Nie
R1;020906;3;STACHURA Dawid Artur;35;wyższe;Jakuszów,;2174;70.98;-1;Tak
R1;020907;1;SIELICKA Alicja Elżbieta;58;wyższe;Rogów Legnicki,;2142;76.12%;672;Tak
R1;020908;1;CHRUŚCIEL Robert;45;wyższe;Komorniki,;544;47.43;-1;Nie
R1;020908;2;GREGORCZUK Paweł Czesław;34;wyższe;TYNIEC LEGNICKI,;603;52.57;-1;Tak
R1;021001;1;CHOJNACKI Witold;51;wyższe;Lubań,;2956;35.89;-1;Nie
R1;021001;2;SŁOWIŃSKI Arkadiusz Andrzej;49;wyższe;Lubań,;4743;57.59;-1;Tak
R1;021001;3;WÓJCIK Henryk;68;wyższe;Lubań,;537;6.52;-1;Nie
R1;021002;1;MARCINIAK Roland Wojciech;44;wyższe;Świeradów-Zdrój,;1217;76.25%;379;Tak
R1;021003;1;KUSIBAB Karol;31;wyższe;Leśna,;1205;29.80;-1;Druga tura
R1;021003;2;MARCZYŃSKI Stanisław Kazimierz;60;wyższe;Leśna,;218;5.39;-1;Nie
R1;021003;3;PIJANOWSKA Gabriela Anna;44;wyższe;Leśna,;1033;25.54;-1;Nie
R1;021003;4;SURMACZ Szymon Marcin;44;wyższe;Wolimierz,;1588;39.27;-1;Druga tura
R1;021004;1;HERCUŃ Zbigniew;68;średnie;Henryków Lubański,;986;37.95;-1;Druga tura
R1;021004;2;USYK Aneta;40;wyższe;Radostów Dolny,;933;35.91;-1;Druga tura
R1;021004;3;ZJAWIN Zbigniew Józef;49;wyższe;Pisarzowice,;679;26.14;-1;Nie
R1;021005;1;LEŚKO Leszek Włodzimierz;67;wyższe;Olszyna,;1676;77.99%;473;Tak
R1;021006;1;HALICKI Krzysztof Adam;53;wyższe;Zgorzelec,;417;51.23;-1;Tak
R1;021006;2;ŚLUSARCZYK Mirosława;55;wyższe;Włosień,;397;48.77;-1;Nie
R1;021007;1;FURDYKOŃ Dariusz Grzegorz;41;wyższe;Pisaczów,;1546;79.20;-1;Tak
R1;021007;2;TRĘDEWICZ Zdzisław;54;wyższe;Lubań,;406;20.80;-1;Nie
R1;021101;1;KLINGER Arkadiusz Zygmunt;47;wyższe;Lubin,;444;1.49;-1;Nie
R1;021101;2;KUBICA-RADEK Agnieszka Bogusława;43;wyższe;Lubin,;1504;5.04;-1;Nie
R1;021101;3;KUBÓW Krzysztof Jan;34;wyższe;Lubin,;8467;28.38;-1;Nie
R1;021101;4;RACZYŃSKI Robert;56;wyższe;Lubin,;17483;58.61;-1;Tak
R1;021101;5;ZAWADZKA Edyta Maria;45;wyższe;Lubin,;935;3.13;-1;Nie
R1;021101;6;ZIELIŃSKI Grzegorz;31;wyższe;Lubin,;997;3.34;-1;Nie
R1;021102;1;BIAŁKOWSKI Marcin Tadeusz;44;wyższe;Szklary Górne,;1325;18.94;-1;Nie
R1;021102;2;KIELAN Tadeusz Zbigniew;61;wyższe techniczne;Lubin,;4081;58.34;-1;Tak
R1;021102;3;ŁUKASIEWICZ Paweł Waldemar;42;wyższe;Wiercień,;1589;22.72;-1;Nie
R1;021103;1;BIGUS Władysław;61;średnie techniczne;Rudna,;2634;60.47;-1;Tak
R1;021103;2;LATOS Waldemar Ireneusz;61;średnie;Chobienia,;1032;23.69;-1;Nie
R1;021103;3;SZKLARZ Adela Anna;60;wyższe, prawnicze;Wrocław,;690;15.84;-1;Nie
R1;021104;1;HOLDENMAJER Andrzej;57;średnie techniczne;Ścinawa,;1187;27.57;-1;Nie
R1;021104;2;KOSZTYŁA Krystian Stanisław;38;wyższe;Ścinawa,;3119;72.43;-1;Tak
R1;021201;1;LUTY Edward;58;wyższe;Gryfów Śląski,;1100;28.56;-1;Nie
R1;021201;2;PONIŹNIK Olgierd;64;wyższe;Gryfów Śląski,;2751;71.44;-1;Tak
R1;021202;1;CHODOROWSKI Sebastian Paweł;40;wyższe;Popielówek,;412;17.71;-1;Nie
R1;021202;2;CHRABĄSZCZ Marek;40;wyższe;Lubomierz,;1499;64.42;-1;Tak
R1;021202;3;SUŁKOWSKI Tadeusz Zdzisław;65;średnie;Oleszna Podgórska,;416;17.88;-1;Nie
R1;021203;1;KOBIAŁKA Dawid Zdzisław;25;wyższe;Lwówek Śląski, Prawo i Sprawiedliwość;1885;27.00;-1;Nie
R1;021203;2;MACIEJCZYK Ireneusz Sylwester;42;wyższe;Lwówek Śląski,;2271;32.53;-1;Druga tura
R1;021203;3;SZCZĘSNA Mariola;55;wyższe;Mojesz,;2825;40.47;-1;Druga tura
R1;021204;1;JASIŃSKI Andrzej;53;średnie;Mirsk,;1859;53.08;-1;Tak
R1;021204;2;WILK Karol;29;wyższe;Orłowice,;1643;46.92;-1;Nie
R1;021205;1;FLUDER Marcin Kamil;42;wyższe;Wleń,;642;35.12;-1;Nie
R1;021205;2;ZYCH Artur Adam;53;wyższe;Lwówek Śląski, PiS;1186;64.88;-1;Tak
R1;021301;1;MIECZNIKOWSKI Ignacy Mieczysław;55;wyższe;Cieszków,;1266;58.48;-1;Tak
R1;021301;2;ZAJICZEK Piotr Tomasz;57;Wyższe;Godnowa,;899;41.52;-1;Nie
R1;021302;1;BIAŁY Andrzej;47;wyższe;Krośnice,;2139;59.57;-1;Tak
R1;021302;2;DROBINA Mirosław Stanisław;61;wyższe;Krośnice,;1036;28.85;-1;Nie
R1;021302;3;KĘSY Artur;48;wyższe;Dziewiętlin,;216;6.02;-1;Nie
R1;021302;4;MORKA Stefan;67;wyższe;Krzyszków,;200;5.57;-1;Nie
R1;021303;1;FOLMER Dorota Maria;58;wyższe;Milicz,;2504;25.29;-1;Druga tura
R1;021303;2;LECH Piotr Józef;52;Wyższe;Kaszowo,;4047;40.87;-1;Druga tura
R1;021303;3;NESTORUK Andrzej Michał;56;wyższe;Milicz,;1113;11.24;-1;Nie
R1;021303;4;SIERPIŃSKI Cezary Maksymilian;73;wyższe;Milicz,;787;7.95;-1;Nie
R1;021303;5;WYBIERAŁA Paweł;44;wyższe;Milicz,;1450;14.64;-1;Nie
R1;021401;1;BRONŚ Jan;59;Wyższe;Oleśnica,;8926;58.39;-1;Tak
R1;021401;2;KOŁACIŃSKI Michał Wincenty;52;wyższe;Oleśnica, Prawo i Sprawiedliwość;5301;34.67;-1;Nie
R1;021401;3;ROMANOWICZ Monika Jolanta;46;wyższe;Oleśnica,;1061;6.94;-1;Nie
R1;021402;1;KOBIAŁKA Władysław Bogusław;60;Wyższe;Bierutów,;1280;29.75;-1;Druga tura
R1;021402;2;SAWICKI Piotr Marcin;40;Wyższe;Bierutów,;2063;47.94;-1;Druga tura
R1;021402;3;WIŚNIEWSKA-KOCJAN Iwona Grażyna;44;Wyższe;Solniki Wielkie,;960;22.31;-1;Nie
R1;021403;1;CIOSEK Artur Przemysław;34;wyższe;Dobroszyce,;2044;81.56%;462;Tak
R1;021404;1;FRYT Robert;41;wyższe;Stradomia Wierzchnia,;1304;57.07;-1;Tak
R1;021404;2;KAZIMIERCZAK Krzysztof Piotr;46;średnie;Dziadowa Kłoda,;981;42.93;-1;Nie
R1;021405;1;GŁOWACKI Jarosław Piotr;48;wyższe ekonomiczne;Bukowina Sycowska,;1619;77.65;-1;Tak
