urzad;razem;kobietyP;wiek;PSL;PiS;PO;SLD;PP;NP;teryt;xteryt;name;areaH;popThs;popKm;rankP;type;bb;center
Burmistrz Miasta Złoczew;5;20.00;50.00;1;1;0;1;0;2;101411;3;Złoczew;11726.0;7189.0;61;1252;gmw;51.351662,18.499978 51.478895,18.738829;51.4152785,18.6194035
Wójt Gminy Lipce Reymontowskie;3;0.00;50.67;0;0;0;0;0;3;101505;2;Lipce Reymontowskie;4291.0;3298.0;77;2140;gw;51.873331,19.868532 51.944490,20.005781;51.9089105,19.9371565
Wójt Gminy Bolimów;2;0.00;51.00;0;0;0;0;0;2;101501;2;Bolimów;11171.0;4054.0;36;1968;gw;52.016335,20.092778 52.151296,20.270584;52.0838155,20.181681
Wójt Gminy Godzianów;2;0.00;46.00;0;0;0;0;0;2;101503;2;Godzianów;4406.0;2631.0;60;2231;gw;51.850022,19.982373 51.942224,20.106386;51.896123,20.0443795
Wójt Gminy Głuchów;3;0.00;41.33;1;1;0;0;0;1;101502;2;Głuchów;11073.0;5813.0;52;1533;gw;51.738631,19.987138 51.863011,20.189206;51.800821,20.088172
Wójt Gminy Kowiesy;2;50.00;35.50;0;0;0;0;0;2;101504;2;Kowiesy;8583.0;2908.0;34;2198;gw;51.848276,20.318577 51.947933,20.518831;51.8981045,20.418704
Wójt Gminy Słupia;2;50.00;43.00;1;1;0;0;0;0;101509;2;Słupia;4109.0;2651.0;65;2227;gw;51.826764,19.875823 51.893485,20.045714;51.8601245,19.9607685
Wójt Gminy Nowy Kawęczyn;2;0.00;56.00;0;0;0;0;0;2;101507;2;Nowy Kawęczyn;10422.0;3382.0;32;2123;gw;51.834394,20.151162 51.939739,20.346008;51.8870665,20.248585
Wójt Gminy Maków;3;0.00;51.33;0;1;0;0;0;2;101506;2;Maków;8153.0;5981.0;73;1495;gw;51.906557,19.905949 51.995947,20.119856;51.951252,20.0129025
Wójt Gminy Skierniewice;3;33.33;59.00;0;1;0;0;0;2;101508;2;Skierniewice;13130.0;7506.0;57;1197;gw;51.839950,20.051516 52.028193,20.294028;51.9340715,20.172772
Burmistrz Miasta Uniejów;1;0.00;58.00;0;0;0;0;0;1;101104;3;Uniejów;12901.0;7062.0;55;1267;gmw;51.917835,18.714962 52.076454,18.885790;51.9971445,18.800376
Wójt Gminy Zadzim;2;0.00;34.00;1;1;0;0;0;0;101106;2;Zadzim;14513.0;5012.0;35;1723;gw;51.720262,18.760792 51.852753,19.055969;51.7865075,18.9083805
Wójt Gminy Dalików;2;0.00;46.50;1;0;0;0;0;1;101101;2;Dalików;11462.0;3901.0;34;2007;gw;51.819137,19.019551 51.959065,19.191203;51.889101,19.105377
Wójt Gminy Góra Świętej Małgorzaty;1;0.00;56.00;0;0;0;0;0;1;100403;2;Góra Świętej Małgorzaty;9026.0;4406.0;49;1882;gw;52.017005,19.212277 52.113441,19.420127;52.065223,19.316202
Wójt Gminy Pęczniew;2;0.00;35.00;0;1;0;0;0;1;101102;2;Pęczniew;12779.0;3482.0;27;2104;gw;51.734737,18.651433 51.898962,18.854022;51.8168495,18.7527275
Wójt Gminy Łęczyca;2;50.00;45.50;0;1;0;0;0;1;100405;2;Łęczyca;15057.0;8538.0;57;1033;gw;52.000669,19.031213 52.134336,19.272403;52.0675025,19.151808
Wójt Gminy Gomunice;2;0.00;43.00;0;0;0;0;0;2;101204;2;Gomunice;6245.0;5902.0;95;1511;gw;51.104288,19.423834 51.200439,19.594530;51.1523635,19.509182
Wójt Gminy Witonia;2;0.00;56.00;0;1;0;0;0;1;100408;2;Witonia;6045.0;3299.0;55;2139;gw;52.089698,19.208410 52.190940,19.358040;52.140319,19.283225
Wójt Gminy Świnice Warckie;3;100.00;37.67;1;1;0;0;0;1;100407;2;Świnice Warckie;9347.0;3950.0;42;1993;gw;52.001435,18.828302 52.087528,19.046781;52.0444815,18.9375415
Prezydent Miasta Radomsko;5;20.00;45.80;0;0;1;0;0;4;101201;1;Radomsko;5143.0;46409.0;902;106;gm;51.032226,19.364047 51.110162,19.521521;51.071194,19.442784
Wójt Gminy Nieborów;2;0.00;49.00;0;1;0;0;0;1;100509;2;Nieborów;10390.0;9390.0;90;922;gw;52.003803,19.977580 52.152632,20.128707;52.0782175,20.0531435
Wójt Gminy Gidle;3;33.33;49.33;0;1;0;0;0;2;101203;2;Gidle;11598.0;6151.0;53;1455;gw;50.878931,19.378758 51.014024,19.584773;50.9464775,19.4817655
Burmistrz Miasta Łowicza;5;0.00;46.00;0;1;0;0;0;4;100501;1;Łowicz;2342.0;28704.0;1226;197;gm;52.064871,19.901059 52.137384,19.988349;52.1011275,19.944704
Wójt Gminy Masłowice;3;33.33;55.33;1;1;0;0;0;1;101210;2;Masłowice;11597.0;4183.0;36;1936;gw;51.046526,19.655933 51.189532,19.880077;51.118029,19.768005
Wójt Gminy Kiernozia;2;50.00;42.00;1;0;0;0;0;1;100505;2;Kiernozia;7623.0;3420.0;45;2113;gw;52.226505,19.736057 52.311263,19.965135;52.268884,19.850596
Wójt Gminy Kobiele Wielkie;2;0.00;64.00;1;0;0;0;0;1;101206;2;Kobiele Wielkie;10172.0;4449.0;44;1871;gw;50.974419,19.492389 51.081940,19.723648;51.0281795,19.6080185
Wójt Gminy Chąśno;1;0.00;41.00;1;0;0;0;0;0;100503;2;Chąśno;7183.0;2924.0;41;2197;gw;52.136455,19.835697 52.235321,19.986956;52.185888,19.9113265
Burmistrz Kamieńska;3;33.33;48.00;0;1;0;0;0;2;101205;3;Kamieńsk;9644.0;5977.0;62;1498;gmw;51.167264,19.384317 51.286072,19.557056;51.226668,19.4706865
Wójt Gminy Bielawy;2;0.00;56.50;1;1;0;0;0;0;100502;2;Bielawy;16390.0;5454.0;33;1615;gw;52.019216,19.512742 52.144939,19.769984;52.0820775,19.641363
Wójt Gminy Lgota Wielka;2;50.00;50.50;0;0;0;0;0;2;101208;2;Lgota Wielka;6307.0;4308.0;68;1906;gw;51.094172,19.233461 51.190821,19.412657;51.1424965,19.323059
Wójt Gminy Domaniewice;2;0.00;46.50;1;1;0;0;0;0;100504;2;Domaniewice;8617.0;4659.0;54;1816;gw;51.974455,19.719545 52.085322,19.889867;52.0298885,19.804706
Prezydent Miasta Piotrkowa Trybunalskiego;5;20.00;49.20;0;1;1;0;0;3;106201;1;Piotrków Trybunalski;6724.0;74312.0;1105;50;mm;51.372969,19.622889 51.452936,19.810361;51.4129525,19.716625
Wójt Gminy Kodrąb;2;50.00;47.50;0;0;0;0;0;2;101207;2;Kodrąb;10583.0;4575.0;43;1836;gw;51.043364,19.514760 51.157820,19.713239;51.100592,19.6139995
Prezydent Miasta Skierniewice;3;0.00;51.67;0;1;1;0;0;1;106301;1;Skierniewice;3460.0;48308.0;1396;97;mm;51.922474,20.104903 51.993672,20.233333;51.958073,20.169118
Wójt Gminy Ładzice;4;25.00;42.00;1;0;0;0;0;3;101209;2;Ładzice;8277.0;4809.0;58;1780;gw;51.031093,19.204542 51.121784,19.421663;51.0764385,19.3131025
Wójt Gminy Kocierzew Południowy;2;50.00;43.50;0;1;0;0;0;1;100506;2;Kocierzew Południowy;9370.0;4285.0;46;1915;gw;52.141751,19.939216 52.268308,20.090903;52.2050295,20.0150595
Wójt Gminy Łyszkowice;6;33.33;51.00;0;1;0;0;0;5;100508;2;Łyszkowice;10730.0;6690.0;62;1344;gw;51.909455,19.831073 52.052061,20.061662;51.980758,19.9463675
Prezydent Miasta Bełchatowa;7;28.57;47.00;0;1;1;0;0;5;100101;1;Bełchatów;3464.0;57964.0;1673;77;gm;51.315817,19.306526 51.393335,19.418806;51.354576,19.362666
Wójt Gminy Zduny;2;0.00;50.00;1;1;0;0;0;0;100510;2;Zduny;12857.0;5762.0;45;1537;gw;52.091233,19.688963 52.241474,19.887900;52.1663535,19.7884315
Wójt Gminy Drużbice;3;33.33;41.67;0;0;0;0;0;3;100103;2;Drużbice;11335.0;5154.0;45;1691;gw;51.398647,19.312743 51.534175,19.490730;51.466411,19.4017365
Wójt Gminy Dobroń;2;0.00;51.00;0;1;0;0;0;1;100804;2;Dobroń;9546.0;7653.0;80;1170;gw;51.553419,19.147946 51.684073,19.326754;51.618746,19.23735
Wójt Gminy Nowosolna;3;66.67;44.00;0;1;0;0;0;2;100608;2;Nowosolna;5398.0;4850.0;90;1769;gw;51.754665,19.547179 51.864591,19.680894;51.809628,19.6140365
Wójt Gminy Bełchatów;5;20.00;43.60;0;0;0;0;0;5;100102;2;Bełchatów;18036.0;11283.0;63;755;gw;51.236456,19.245679 51.437848,19.498772;51.337152,19.3722255
Prezydent Miasta Pabianic;2;0.00;43.00;0;1;0;0;0;1;100802;1;Pabianice;3299.0;65823.0;1995;61;gm;51.632281,19.274193 51.699201,19.435475;51.665741,19.354834
Wójt Gminy Brójce;2;0.00;47.00;0;0;0;0;0;2;100603;2;Brójce;6902.0;6517.0;94;1379;gw;51.621434,19.554865 51.712399,19.729826;51.6669165,19.6423455
Wójt Gminy Kleszczów;5;20.00;43.80;0;0;0;0;0;5;100104;2;Kleszczów;12476.0;5974.0;48;1499;gw;51.181923,19.179872 51.299409,19.413782;51.240666,19.296827
Burmistrz Konstantynowa Łódzkiego;2;0.00;41.00;0;0;0;0;0;2;100801;1;Konstantynów Łódzki;2725.0;18013.0;661;397;gm;51.730287,19.245747 51.784073,19.374621;51.75718,19.310184
Wójt Gminy Andrespol;1;0.00;54.00;0;0;0;0;0;1;100602;2;Andrespol;2334.0;13661.0;585;583;gw;51.685882,19.597664 51.757084,19.691161;51.721483,19.6444125
Wójt Gminy Szczerców;4;0.00;45.75;0;0;0;0;0;4;100107;2;Szczerców;12895.0;8164.0;63;1088;gw;51.235675,19.042266 51.405216,19.206920;51.3204455,19.124593
Wójt Gminy Dłutów;3;33.33;51.67;0;0;0;0;0;3;100803;2;Dłutów;10123.0;4567.0;45;1839;gw;51.522271,19.275098 51.613136,19.476161;51.5677035,19.3756295
Wójt Gminy Rusiec;3;0.00;42.33;0;1;0;0;0;2;100106;2;Rusiec;9991.0;5139.0;51;1697;gw;51.268741,18.855770 51.366488,19.077459;51.3176145,18.9666145
Wójt Gminy Lutomiersk;2;50.00;51.50;0;0;0;0;0;2;100806;2;Lutomiersk;13392.0;8307.0;62;1063;gw;51.707804,18.998891 51.832794,19.310219;51.770299,19.154555
Burmistrz Zelowa;6;16.67;39.83;0;1;0;0;0;5;100108;3;Zelów;16709.0;15022.0;90;512;gmw;51.391640,19.056016 51.555608,19.335779;51.473624,19.1958975
Wójt Gminy Ksawerów;2;50.00;59.00;0;0;0;0;0;2;100805;2;Ksawerów;1364.0;7684.0;563;1166;gw;51.652384,19.372075 51.697409,19.437921;51.6748965,19.404998
Wójt Gminy Nowe Ostrowy;1;0.00;59.00;0;0;0;0;0;1;100208;2;Nowe Ostrowy;7155.0;3496.0;49;2100;gw;52.260645,19.124393 52.360305,19.301479;52.310475,19.212936
Wójt Gminy Bedlno;3;33.33;52.00;1;1;0;0;0;1;100202;2;Bedlno;12602.0;5453.0;43;1616;gw;52.115304,19.497907 52.235748,19.717279;52.175526,19.607593
Wójt Gminy Rząśnia;2;0.00;46.00;0;1;0;0;0;1;100905;2;Rząśnia;8614.0;4892.0;57;1758;gw;51.157531,18.990279 51.300006,19.145643;51.2287685,19.067961
Prezydent Miasta Kutno;4;25.00;45.50;0;1;1;0;0;2;100201;1;Kutno;3359.0;44513.0;1325;112;gm;52.190966,19.289406 52.253597,19.452855;52.2222815,19.3711305
Wójt Gminy Strzelce Wielkie;3;0.00;41.33;0;1;0;0;0;2;100907;2;Strzelce Wielkie;7800.0;4651.0;60;1820;gw;51.092257,19.074284 51.172637,19.280657;51.132447,19.1774705
Burmistrz Krośniewic;3;66.67;53.00;1;1;0;0;0;1;100204;3;Krośniewice;9471.0;8520.0;90;1035;gmw;52.187845,19.070930 52.284734,19.283038;52.2362895,19.176984
Wójt Gminy Sulmierzyce;2;0.00;37.00;0;1;0;0;0;1;100908;2;Sulmierzyce;8274.0;4450.0;54;1870;gw;51.154388,19.065338 51.260449,19.312515;51.2074185,19.1889265
Wójt Gminy Dąbrowice;3;100.00;50.67;1;0;0;0;0;2;100203;2;Dąbrowice;4615.0;1905.0;41;2278;gw;52.269367,19.030149 52.347929,19.145088;52.308648,19.0876185
Wójt Gminy Kiełczygłów;3;0.00;52.67;0;1;0;0;0;2;100902;2;Kiełczygłów;8720.0;4074.0;47;1962;gw;51.179546,18.858209 51.289436,19.045639;51.234491,18.951924
Burmistrz Miasta i Gminy Działoszyn;2;50.00;50.00;0;1;0;0;0;1;100901;3;Działoszyn;12092.0;12665.0;105;649;gmw;51.058980,18.740633 51.169831,18.961493;51.1144055,18.851063
Burmistrz Gminy i Miasta Pajęczno;4;25.00;44.00;0;1;0;0;0;3;100904;3;Pajęczno;11363.0;11696.0;103;720;gmw;51.051403,18.936202 51.187224,19.104733;51.1193135,19.0204675
Wójt Gminy Nowa Brzeźnica;2;0.00;45.00;0;1;0;0;0;1;100903;2;Nowa Brzeźnica;13521.0;4609.0;34;1831;gw;50.982418,19.016776 51.120526,19.257010;51.051472,19.136893
Wójt Gminy Siemkowice;2;50.00;57.00;1;0;0;0;0;1;100906;2;Siemkowice;9998.0;4814.0;48;1779;gw;51.150970,18.787582 51.270345,18.956045;51.2106575,18.8718135
Burmistrz Wieruszowa;3;33.33;48.00;0;1;0;0;0;2;101807;3;Wieruszów;9720.0;14304.0;147;549;gmw;51.255459,18.074521 51.391401,18.252555;51.32343,18.163538
Wójt Gminy Parzęczew;1;0.00;52.00;0;0;0;0;0;1;102007;2;Parzęczew;10389.0;5036.0;48;1717;gw;51.877376,19.120454 52.012487,19.311274;51.9449315,19.215864
Burmistrz Głowna;5;40.00;52.00;0;1;0;0;0;4;102001;1;Głowno;1984.0;14422.0;727;542;gm;51.936634,19.666679 51.987382,19.761669;51.962008,19.714174
Prezydent Miasta Zgierza;5;40.00;52.20;0;1;1;0;0;3;102003;1;Zgierz;4233.0;56690.0;1339;82;gm;51.821485,19.331378 51.889710,19.456697;51.8555975,19.3940375
Burmistrz Miasta Ozorkowa;2;0.00;42.00;0;1;0;0;0;1;102002;1;Ozorków;1546.0;19685.0;1273;350;gm;51.932341,19.252448 51.985049,19.341010;51.958695,19.296729
Wójt Gminy Głowno;2;0.00;49.00;0;1;0;0;0;1;102005;2;Głowno;10477.0;4847.0;46;1772;gw;51.942259,19.524070 52.036976,19.840028;51.9896175,19.682049
Burmistrz Wadowic;6;16.67;45.67;0;1;0;0;0;5;121809;3;Wadowice;11283.0;37933.0;336;138;gmw;49.795724,19.411902 49.924622,19.648210;49.860173,19.530056
Burmistrz Miasta Kalwarii Zebrzydowskiej;4;25.00;50.50;1;1;0;0;0;2;121803;3;Kalwaria Zebrzydowska;7526.0;20052.0;266;339;gmw;49.843353,19.577747 49.934304,19.773192;49.8888285,19.6754695
Burmistrz Andrychowa;4;0.00;48.50;0;1;0;0;0;3;121801;3;Andrychów;10039.0;43834.0;437;115;gmw;49.761679,19.285850 49.884058,19.446122;49.8228685,19.365986
Wójt Gminy Brzeźnica;3;0.00;38.67;0;1;0;0;0;2;121802;2;Brzeźnica;6643.0;10285.0;155;837;gw;49.912820,19.535711 50.000425,19.733062;49.9566225,19.6343865
Wójt Gminy Stryszów;4;25.00;43.75;0;1;0;0;0;3;121807;2;Stryszów;4590.0;6863.0;150;1305;gw;49.792719,19.551100 49.869465,19.707210;49.831092,19.629155
Wójt Gminy Mucharz;4;50.00;50.50;0;1;0;0;0;3;121805;2;Mucharz;3731.0;4086.0;110;1957;gw;49.786186,19.461177 49.848640,19.594086;49.817413,19.5276315
Wójt Gminy Lanckorona;3;0.00;59.00;1;1;0;0;0;1;121804;2;Lanckorona;4043.0;6208.0;154;1444;gw;49.803599,19.683770 49.902247,19.811586;49.852923,19.747678
Wójt Gminy Spytkowice;2;0.00;45.00;0;0;0;0;0;2;121806;2;Spytkowice;5138.0;10304.0;201;834;gw;49.944265,19.464435 50.027096,19.585516;49.9856805,19.5249755
Wójt Gminy Tomice;2;0.00;38.50;0;1;0;0;0;1;121808;2;Tomice;4153.0;8085.0;195;1101;gw;49.892169,19.445185 49.958323,19.588857;49.925246,19.517021
Wójt Gminy Wieprz;3;33.33;57.67;0;1;0;0;0;2;121810;2;Wieprz;7442.0;12288.0;165;671;gw;49.861355,19.298353 49.964335,19.452302;49.912845,19.3753275
Prezydent Miasta Tarnowa;5;0.00;51.00;0;1;1;1;0;2;126301;1;Tarnów;7238.0;109650.0;1515;35;mm;49.985543,20.893647 50.066448,21.062343;50.0259955,20.977995
Burmistrz Miasta i Gminy Niepołomice;2;50.00;44.00;0;1;0;0;0;1;121904;3;Niepołomice;9627.0;27914.0;290;203;gmw;49.971312,20.114818 50.100195,20.369964;50.0357535,20.242391
Burmistrz Brzeszcz;4;25.00;43.75;0;1;0;0;0;3;121302;3;Brzeszcze;4560.0;21398.0;469;313;gmw;49.938027,19.083123 50.017660,19.210031;49.9778435,19.146577
Wójt Gminy Gdów;2;0.00;58.00;0;1;0;0;0;1;121902;2;Gdów;10872.0;18024.0;166;396;gw;49.863665,20.107864 49.988589,20.316484;49.926127,20.212174
Burmistrz Gminy Kęty;2;0.00;44.50;0;1;0;0;0;1;121304;3;Kęty;7608.0;34300.0;451;156;gmw;49.850553,19.157072 49.970421,19.316145;49.910487,19.2366085
Wójt Gminy Biskupice;4;50.00;37.25;0;0;0;0;0;4;121901;2;Biskupice;4114.0;10185.0;248;844;gw;49.921334,20.090220 49.999608,20.199715;49.960471,20.1449675
Wójt Gminy Polanka Wielka;2;0.00;43.00;0;0;0;0;0;2;121307;2;Polanka Wielka;2389.0;4312.0;180;1904;gw;49.959473,19.257202 50.003075,19.354617;49.981274,19.3059095
Wójt Gminy Oświęcim;3;66.67;44.67;0;1;0;0;0;2;121306;2;Oświęcim;7484.0;18325.0;245;386;gw;49.961416,19.132042 50.067743,19.355173;50.0145795,19.2436075
Burmistrz Chełmka;2;0.00;57.50;0;1;0;0;0;1;121303;3;Chełmek;2732.0;13010.0;476;627;gmw;50.046435,19.211859 50.134193,19.291908;50.090314,19.2518835
Burmistrz Makowa Podhalańskiego;1;0.00;46.00;0;0;0;0;0;1;121506;3;Maków Podhalański;10871.0;16245.0;149;461;gmw;49.641000,19.571629 49.761389,19.798124;49.7011945,19.6848765
Wójt Gminy Stryszawa;1;0.00;42.00;0;0;0;0;0;1;121507;2;Stryszawa;11381.0;11843.0;104;708;gw;49.660813,19.369976 49.795726,19.573268;49.7282695,19.471622
Wójt Gminy Zembrzyce;1;0.00;37.00;0;0;0;0;0;1;121509;2;Zembrzyce;3920.0;5583.0;142;1581;gw;49.754107,19.447256 49.801785,19.648491;49.777946,19.5478735
Burmistrz Tuchowa;6;16.67;50.67;1;1;0;0;0;4;121610;3;Tuchów;9986.0;18038.0;181;394;gmw;49.810729,20.963912 49.964240,21.132858;49.8874845,21.048385
Wójt Gminy Pleśna;2;0.00;45.00;0;0;0;0;0;2;121604;2;Pleśna;8306.0;11946.0;144;698;gw;49.866375,20.827665 49.964187,20.984035;49.915281,20.90585
Wójt Gminy Gromnik;1;0.00;59.00;0;0;0;0;0;1;121602;2;Gromnik;6973.0;8893.0;128;987;gw;49.806559,20.848335 49.883918,21.043941;49.8452385,20.946138
Wójt Gminy Nawojowa;1;0.00;61.00;0;0;0;0;0;1;121012;2;Nawojowa;5021.0;8599.0;171;1027;gw;49.479857,20.680000 49.576584,20.821229;49.5282205,20.7506145
Burmistrz Gminy Ciężkowice;2;0.00;59.50;1;1;0;0;0;0;121601;3;Ciężkowice;10338.0;11257.0;109;757;gmw;49.728238,20.827735 49.819563,21.045627;49.7739005,20.936681
Burmistrz Miasta i Gminy Uzdrowiskowej Muszyna;1;0.00;63.00;0;0;0;0;0;1;121011;3;Muszyna;14144.0;11599.0;82;731;gmw;49.295968,20.775773 49.443345,21.033786;49.3696565,20.9047795
Wójt Gminy Lisia Góra;2;0.00;39.00;0;1;0;0;0;1;121603;2;Lisia Góra;10432.0;15226.0;146;505;gw;50.046544,20.939345 50.147641,21.199006;50.0970925,21.0691755
Wójt Gminy Podegrodzie;2;50.00;55.00;0;1;0;0;0;1;121014;2;Podegrodzie;6473.0;13057.0;202;623;gw;49.547285,20.471570 49.647184,20.656778;49.5972345,20.564174
Burmistrz Radłowa;2;0.00;56.50;0;1;0;0;0;1;121605;3;Radłów;8619.0;9769.0;113;890;gmw;50.041931,20.734517 50.170281,20.898910;50.106106,20.8167135
Burmistrz Miasta i Gminy Piwniczna-Zdrój;4;50.00;55.50;0;0;0;0;0;4;121013;3;Piwniczna-Zdrój;12646.0;10676.0;84;801;gmw;49.370900,20.605093 49.493877,20.873715;49.4323885,20.739404
Wójt Gminy Skrzyszów;1;0.00;40.00;0;0;0;0;0;1;121608;2;Skrzyszów;8602.0;14187.0;165;555;gw;49.931828,21.016282 50.047457,21.192906;49.9896425,21.104594
Wójt Gminy Rytro;3;0.00;54.33;0;0;0;0;0;3;121015;2;Rytro;4190.0;3807.0;91;2034;gw;49.438635,20.571565 49.512754,20.732426;49.4756945,20.6519955
Burmistrz Ryglic;2;0.00;54.00;0;1;0;0;0;1;121606;3;Ryglice;11711.0;11684.0;100;721;gmw;49.843171,21.074412 49.947216,21.288176;49.8951935,21.181294
Burmistrz Starego Sącza;2;0.00;51.50;0;1;0;0;0;1;121016;3;Stary Sącz;10088.0;23627.0;234;273;gmw;49.465677,20.534906 49.589081,20.734586;49.527379,20.634746
Wójt Gminy Rzepiennik Strzyżewski;2;0.00;41.00;0;1;0;0;0;1;121607;2;Rzepiennik Strzyżewski;7071.0;6745.0;95;1333;gw;49.746745,20.987177 49.842339,21.169783;49.794542,21.07848
Wójt Gminy Lipnica Wielka;2;0.00;37.50;0;0;0;0;0;2;121107;2;Lipnica Wielka;6736.0;5989.0;89;1493;gw;49.446875,19.527413 49.587789,19.651935;49.517332,19.589674
Burmistrz Miasta Nowy Targ;3;33.33;44.33;0;0;0;0;0;3;121101;1;Nowy Targ;5107.0;33361.0;653;162;gm;49.444037,19.982509 49.534521,20.106059;49.489279,20.044284
Wójt Gminy Czarny Dunajec;4;0.00;55.75;0;1;0;0;0;3;121103;2;Czarny Dunajec;21735.0;22423.0;103;291;gw;49.326571,19.739154 49.532042,19.954361;49.4293065,19.8467575
Burmistrz Miasta i Gminy Szczawnica;2;0.00;36.50;0;1;0;0;0;1;121102;3;Szczawnica;8790.0;7286.0;83;1232;gmw;49.376247,20.441332 49.473149,20.617101;49.424698,20.5292165
Wójt Gminy Jabłonka;2;0.00;59.00;0;0;0;0;0;2;121105;2;Jabłonka;21273.0;18570.0;87;382;gw;49.386458,19.565178 49.623699,19.779237;49.5050785,19.6722075
Wójt Gminy Czorsztyn;2;50.00;55.00;0;0;0;0;0;2;121104;2;Czorsztyn;6216.0;7632.0;123;1174;gw;49.390577,20.223497 49.496920,20.436870;49.4437485,20.3301835
Wójt Gminy Krościenko nad Dunajcem;5;0.00;52.80;0;0;0;0;0;5;121106;2;Krościenko nad Dunajcem;5712.0;6812.0;119;1320;gw;49.411919,20.322046 49.490258,20.474246;49.4510885,20.398146
Wójt Gminy Spytkowice;2;50.00;52.50;0;0;0;0;0;2;121113;2;Spytkowice;3218.0;4508.0;140;1854;gw;49.543570,19.751483 49.599316,19.874950;49.571443,19.8132165
Wójt Gminy Raba Wyżna;3;0.00;51.33;0;1;0;0;0;2;121111;2;Raba Wyżna;8902.0;14695.0;165;524;gw;49.511565,19.756660 49.637494,19.970382;49.5745295,19.863521
Wójt Gminy Charsznica;2;0.00;57.50;1;1;0;0;0;0;120801;2;Charsznica;7845.0;7479.0;95;1201;gw;50.354701,19.835869 50.457202,20.001691;50.4059515,19.91878
Wójt Gminy Książ Wielki;1;0.00;60.00;1;0;0;0;0;0;120804;2;Książ Wielki;13783.0;5152.0;37;1692;gw;50.391879,19.990218 50.495692,20.272868;50.4437855,20.131543
Wójt Gminy Kozłów;2;0.00;61.00;0;0;0;0;0;2;120803;2;Kozłów;8575.0;4671.0;54;1812;gw;50.428590,19.892143 50.520489,20.113975;50.4745395,20.003059
Wójt Gminy Racławice;4;50.00;43.00;1;1;0;0;0;2;120806;2;Racławice;5911.0;2496.0;42;2247;gw;50.297886,20.133913 50.368704,20.305327;50.333295,20.21962
Burmistrz Gminy i Miasta Miechów;2;0.00;46.00;0;1;0;0;0;1;120805;3;Miechów;14836.0;19780.0;133;346;gmw;50.290157,19.938119 50.427527,20.205133;50.358842,20.071626
Wójt Gminy Słaboszów;2;50.00;49.00;0;1;0;0;0;1;120807;2;Słaboszów;7677.0;3615.0;47;2082;gw;50.346518,20.125560 50.426614,20.339248;50.386566,20.232404
Wójt Gminy Pcim;2;0.00;43.00;0;1;0;0;0;1;120904;2;Pcim;8896.0;10999.0;124;774;gw;49.727409,19.799206 49.811301,20.052520;49.769355,19.925863
Wójt Gminy Lubień;2;0.00;46.50;0;1;0;0;0;1;120902;2;Lubień;7510.0;10027.0;134;860;gw;49.617970,19.885837 49.733057,20.024807;49.6755135,19.955322
Burmistrz Gminy i Miasta Dobczyce;3;0.00;48.67;0;1;0;0;0;2;120901;3;Dobczyce;6639.0;15227.0;229;504;gmw;49.821554,20.016010 49.928349,20.185277;49.8749515,20.1006435
Burmistrz Miasta i Gminy Myślenice;3;33.33;40.67;0;1;0;0;0;2;120903;3;Myślenice;15352.0;44021.0;287;114;gmw;49.780865,19.816627 49.931434,20.074157;49.8561495,19.945392
Wójt Gminy Siepraw;2;0.00;48.50;0;1;0;0;0;1;120906;2;Siepraw;3185.0;8852.0;278;992;gw;49.871345,19.929429 49.932144,20.049249;49.9017445,19.989339
Wójt Gminy Wielka Wieś;2;0.00;42.00;0;0;0;0;0;2;120615;2;Wielka Wieś;4827.0;11956.0;248;697;gw;50.101743,19.721420 50.201584,19.898176;50.1516635,19.809798
Burmistrz Miasta i Gminy Świątniki Górne;2;50.00;55.50;0;0;0;0;0;2;120614;3;Świątniki Górne;2035.0;9957.0;489;868;gmw;49.905329,19.912697 49.974028,20.007147;49.9396785,19.959922
Wójt Gminy Radgoszcz;2;0.00;57.00;0;0;0;0;0;2;120406;2;Radgoszcz;8810.0;7418.0;84;1213;gw;50.113111,21.052136 50.262541,21.182680;50.187826,21.117408
Wójt Gminy Zabierzów;3;33.33;57.67;0;1;0;0;0;2;120616;2;Zabierzów;9942.0;26206.0;264;224;gw;50.062266,19.668021 50.177446,19.867374;50.119856,19.7676975
Wójt Gminy Olesno;1;0.00;55.00;0;0;0;0;0;1;120405;2;Olesno;7760.0;7957.0;103;1121;gw;50.160982,20.834579 50.254648,21.001108;50.207815,20.9178435
Wójt Gminy Limanowa;2;0.00;51.00;0;1;0;0;0;1;120707;2;Limanowa;15223.0;25215.0;166;243;gw;49.633838,20.292394 49.823349,20.591559;49.7285935,20.4419765
Burmistrz Szczucina;4;0.00;43.50;1;0;0;0;0;3;120407;3;Szczucin;11948.0;13167.0;110;611;gmw;50.234568,20.991629 50.354898,21.222636;50.294733,21.1071325
Wójt Gminy Dobra;3;0.00;39.33;0;0;0;0;0;3;120703;2;Dobra;10991.0;9967.0;91;867;gw;49.620326,20.127137 49.773599,20.291496;49.6969625,20.2093165
Wójt Gminy Łużna;2;0.00;55.50;1;1;0;0;0;0;120506;2;Łużna;5627.0;8465.0;150;1044;gw;49.649255,20.990130 49.745353,21.131382;49.697304,21.060756
Burmistrz Miasta Limanowa;2;0.00;51.50;0;1;0;0;0;1;120701;1;Limanowa;1870.0;15103.0;808;509;gm;49.685595,20.368548 49.744392,20.452033;49.7149935,20.4102905
