TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2005;;2006;;2007;;2008;2009e;
Ukraine ;;12,183;;13,732;;15,000;;14,918;9,496;
United Arab Emiratese;;10,000;r;11,000;r;12,000;r;13,200;16,000;
United Kingdom;;11,216;;11,471;r;11,887;r;10,071;7,622;
United States, including Puerto Rico10;;100,903;;99,712;;96,850;;87,610;64,864;
Uruguaye;;620;;620;;620;;620;620;
Uzbekistan;;5,068;;5,700;e;6,500;;6,600;6,600;
Venezuelae;;5,800;;7,200;;9,000;;9,000;9,000;
Vietnam ;;30,808;;32,690;;37,102;r;40,009;47,900;
Yemen;;1,550;;1,470;;1,728;;3,000;4,000;
Zambiae;;435;;650;;650;;700;600;
See footnotes at end of table.;;;;;;;;;;
;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2005;;2006;;2007;;2008;2009e;
Zimbabwee;;600;;700; ;400;;400;300;
Total;;2,350,000;;2,610,000;;2,810,000;;2,850,000;3,040,000;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where presented unrounded, ;;;;;;;;;;
reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the European Cement;;;;;;;;;;
Association.;;;;;;;;;;
2Table includes data available through July 23, 2010. Data may include clinker exports for some countries.;;;;;;;;;;
3Reported figure.;;;;;;;;;;
4Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;
5Data for 2006–08 are for gray cement only; white cement output was likely to have been an additional 50,000 to 100,000 tons per year.;;;;;;;;;;
6Not included in Serbia data.;;;;;;;;;;
7Excludes Kosovo data.;;;;;;;;;;
8Montenegro and Serbia formally declared independence in June 2006 from each other and dissolved their union. Montenegro has no cement plants.;;;;;;;;;;
9Data have been adjusted to remove sales of cementitious materials other than finished cement. Material sales removed (mostly fly ash and ground ;;;;;;;;;;
granulated blast furnace slag) amounted, in metric tons, to: 2005—1,511,716; 2006—1,599,505; 2007—1,664,304; 2008—1,395,124; and 2009—;;;;;;;;;;
1,200,000 (estimated).;;;;;;;;;;
10Portland and masonry cements only.;;;;;;;;;;
