TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2009;;2010;;2011;;2012;;2013e;;
Dominican Republic;;3,852;;4,106;;3,997;;4,130;;4,300;;
Ecuador;;5,310;r;5,287;;5,706;;6,025;r;6,600;;
Egypt;;46,900;;44,592;r;43,384;;55,200;;50,000;;
El Salvadore;;1,212;3;1,290;;1,320;;1,380;r;1,400;;
Eritreae;;45;;45;;190;r;260;r;260;;
Estonia;;326;;375;;451;r;482;r;500;;
Ethiopia6;;1,688;r;1,639;r;2,082;r;3,500;r, e;5,000;;
Fijie;;110;;130;;120;;120;;130;;
Finland;;1,052;;1,215;r;1,387;r;1,293;r;1,300;;
France;;17,974;;17,733;;19,270;;17,810;r;18,018;3;
French Guianae;;62;3;89;3;90;r;100;r;92;;
Gabone;;250;;223;r, 3;226;r, 3;220;;200;;
Georgiae;;870;3;857;3;860;;870;r;950;;
Germany;;29,974;;29,203;;32,779;;31,956;r;31,308;3;
Ghanae;;1,800;;2,100;;2,500;r;3,000;;3,000;;
Greece;;10,069;;8,526;;7,321;r;4,849;r;5,000;;
Guadeloupee;;300;;300;;300;;300;;300;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2009;;2010;;2011;;2012;;2013e;;
Guatemala;;1,500;e;2,794;r;2,850;r;2,880;r;2,900;;
Guinea;;298;;237;;365;;317;;377;3;
Haitie;;300;;300;;300;;300;;300;;
Hondurase;;1,800;;1,600;r;1,620;r, 3;1,730;r, 3;1,700;;
Hong Kong;;1,124;;1,461;r;1,537;r;1,675;r;1,768;3;
Hungary;;2,807;;2,136;;1,694;;1,870;r;2,022;3;
Icelande;;138;;140;;140;;140;;140;;
Indiae;;205,000;;220,000;;250,000;;270,000;;280,000;;
Indonesia;;36,910;;39,480;;45,238;r;51,000;e;56,000;;
Irane;;50,000;;61,000;;66,000;;70,000;;72,000;;
Iraqe;;7,000;;8,000;;10,000;;10,000;;12,000;;
Ireland;;2,797;;2,379;;2,103;;1,198;r;2,000;;
Israel ;;4,759;;5,139;;5,480;;5,892;r;6,398;3;
Italy;;36,317;;34,408;;33,120;;26,200;r;22,000;;
Jamaica;;737;;723;;766;;760;;825;3;
Japan;;54,800;;51,526;;51,291;;54,737;;57,400;3;
Jordan;;3,876;;3,929;;2,816;r;4,900;;5,000;;
Kazakhstan ;;5,694;;6,686;;7,642;;6,412;r;7,072;3;
Kenya;;3,320;;3,710;;4,478;;4,640;;5,059;3;
Korea, Northe;;6,400;;6,400;;6,500;r;6,600;r;7,100;;
Korea, Republic of;;50,126;;47,420;;48,249;;47,087;;47,291;3;
Kosovoe;;500;;360;;370;;535;r;535;3;
Kuwaite;;2,000;;2,000;;2,250;;2,250;;2,250;;
Kyrgyzstan;;579;;760;;1,022;r;1,239;r;1,676;3;
Laose;;1,000;r;1,200;r;1,300;r;1,500;r;1,500;;
Latvia;;357;r;635;r;752;r;901;r;1,000;;
Lebanon ;;4,897;r;5,227;;5,550;;5,309;r;5,831;3;
Liberia;;71;;72;;81;;122;r;182;3;
Libyae;;6,500;;7,000;;3,500;;2,000;;2,000;;
Lithuania;;583;;834;r;996;;1,015;r;1,070;3;
Luxembourg;;1,000;;1,078;;1,319;;1,177;r;1,200;;
Macedonia ;;909;;820;;981;;683;;762;3;
Madagascare;;140;;160;;150;;150;;150;;
Malawi;;232;;188;;203;;172;r;320;;
Malaysia;;19,457;;19,762;;21,198;;21,726;;21,457;3;
Martiniquee;;150;;150;;150;;150;;150;;
Mauritania;;324;;552;;565;;644;r;650;;
Mexico;;35,160;;34,503;r;35,400;;36,184;;34,612;3;
Moldovae;;700;;900;r;1,000;r;1,200;r;1,100;;
Mongolia;;235;;323;;426;;349;;282;3;
Morocco;;14,519;;14,000;r, e;14,000;r, e;15,800;r;14,900;3;
Mozambique7;;777;;884;;976;;1,184;;1,299;3;
Namibia;;--;;5;e;390;;501;;662;3;
Nepale;;1,200;r;1,360;r, 3;2,100;r;2,700;r;3,000;;
Netherlands;;2,342;;2,138;;2,318;;2,056;r;2,500;;
New Caledonia ;;138;;160;;145;;124;;112;3;
New Zealande;;1,200;;1,100;;1,200;;1,200;;1,200;;
Nicaragua;;530;r;600;;700;;730;r;700;;
Niger;;42;;32;;73;;73;e;70;;
Nigeriae;;10,000;;11,000;;12,800;;16,400;;18,000;;
Norway;;1,093;;1,298;;1,387;;1,659;r;1,700;;
Omane;;4,000;;4,500;;5,000;;5,200;3;4,472;3;
Pakistane;;29,900;r, 3;30,000;;29,100;r, 3;30,300;r;31,000;;
Panama;;1,679;;1,491;r;1,766;r;2,252;r;2,000;;
Paraguaye;;600;r;650;r, 3;650;r, 3;650;r;650;;
Peru;;8,100;r;8,396;;8,500;e;9,000;e;10,527;3;
Philippines;;14,865;;15,900;;16,063;;18,907;;20,150;3;
Poland;;15,043;r;15,521;r;18,552;r;15,919;;14,538;3;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2009;;2010;;2011;;2012;;2013e;;
Portugal;;5,318;;4,587;;5,069;;4,090;r;5,000;;
Qatar;;4,095;;4,000;r;5,000;;5,500;e;5,335;3;
Reunione ;;380;;300;;250;;350;;400;;
Romania;;7,797;r;6,909;r;7,307;r;8,223;r;7,451;3;
Russia ;;44,266;;50,400;;56,200;;61,700;;66,400;3;
Rwanda;;92;;95;;94;;100;e;100;;
Saudi Arabia;;46,000;r;47,500;r;50,700;r;56,200;r, e;57,000;;
Senegal;;3,320;;4,066;;4,677;;4,689;;5,191;3;
Serbia;;2,166;r;2,130;;2,095;;1,831;;1,592;3;
Sierra Leone;;236;;301;;311;;335;;313;3;
Slovakia;;3,011;;2,888;;3,219;;2,915;;3,121;3;
Slovenia;;1,082;;799;;620;;953;r;1,139;3;
South Africa, sales;;11,784;;10,870;;11,234;;11,560;;12,200;3;
Spain, including Canary Islands;;29,505;;26,217;;22,178;;15,939;;13,600;3;
Sri Lankae;;1,900;;2,600;;2,200;;2,400;;3,000;;
Sudan ;;622;;1,930;;3,002;;3,511;r;3,500;;
Suriname;;49;;45;;74;;114;;65;3;
Sweden;;1,586;;1,796;;2,064;;2,141;r;2,500;;
Switzerland;;4,163;;4,527;;4,577;;4,467;;4,707;3;
Syriae;;5,176;r, 3;6,000;;5,000;r;6,000;r;4,000;;
Taiwan;;15,918;;16,301;;16,852;;15,806;;16,553;3;
Tajikistan;;195;;288;;299;;251;r;384;3;
Tanzania ;;1,941;;2,312;;2,409;;2,581;;2,600;;
Thailand ;;33,562;;36,496;;36,602;;41,047;;42,000;;
Togo8;;1,179;;1,185;;1,160;;1,173;r;1,233;3;
Trinidad and Tobago;;870;;791;;827;;654;;802;3;
Tunisia, grey and white;;7,514;;8,070;;7,055;;7,241;;7,504;3;
Turkey;;53,973;;62,737;;63,405;;63,879;;71,337;3;
Turkmenistan;;1,100;;1,150;r;1,950;r;2,370;r;2,650;3;
Uganda;;1,162;;1,347;;1,666;;1,780;r;2,023;3;
Ukraine ;;9,496;;9,457;;10,515;;9,801;;9,300;;
United Arab Emiratese;;18,997;3;18,000;;18,000;;17,000;;21,000;;
United Kingdom;;7,623;;7,882;;8,529;;7,952;r;8,203;3;
United States, including Puerto Rico9;;64,843;;67,202;;68,639;;74,934;;77,415;3;
Uruguay;;1,050;r;834;r;968;r;872;r;900;;
Uzbekistan;;6,850;;6,872;;6,698;;6,800;;6,990;3;
Venezuelae;;7,900;;7,120;;7,760;;7,700;;7,800;3;
Vietnam ;;48,810;;55,801;;58,271;;55,531;;58,000;;
Yemen;;2,118;;1,864;;951;;2,000;e;3,000;;
Zambiae;;880;;1,127;3;1,200;;1,200;;1,200;;
Zimbabwee;;700;;800;;1,000;;1,100;r;1,200;;
Totale;;3,050,000;r;3,290,000;;3,650,000;;3,820,000;r;4,070,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where presented ;;;;;;;;;;;;
unrounded, reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the ;;;;;;;;;;;;
European Cement Association.;;;;;;;;;;;;
2Includes data available through September 8, 2015. Data may include clinker exports for some countries.;;;;;;;;;;;;
3Reported figure.;;;;;;;;;;;;
4Data are for fiscal year ending June 30 of the following year.;;;;;;;;;;;;
5Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;;;
6Data are for fiscal year ending July 7 of the current year.;;;;;;;;;;;;
7Cement sales from Cimentos de Moçambique SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;;;
8Calculated based on reported production of clinker and imports and exports of cement and clinker.;;;;;;;;;;;;
9Portland and masonry cements only. Includes a small (less than 0.3% per year) component of double-counting where portland cement (not ;;;;;;;;;;;;
clinker) is consumed to make masonry cement; the precise amount of double-counting cannot be determined because of the involvement of ;;;;;;;;;;;;
portland cement stockpiles.;;;;;;;;;;;;
