TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2008;;2009;;2010;;2011;2012e;
Egypt;;39,844;;46,900;;47,800;;43,384;55,200;
El Salvadore;;1,300;;1,212;3;1,290;r;1,320;1,400;
Eritreae;;45;;45;;45;;230;230;
Estonia;;808;;326;;375;;449;450;
Ethiopiae;;1,834;3;2,100;;2,900;;3,300;3,000;
Fijie;;143;;110;;130;r;120;120;
Finland;;1,633;r;1,052;;1,200;r;1,514;1,500;
France;;20,895;r;17,974;r;17,733;r;19,270;19,500;
French Guianae;;62;;62;;89;r, 3;62;60;
Gabone;;230;;250;;200;;200;220;
Georgiae;;450;;870;4;857;4;860;860;
Germany;;32,461;r;29,974;r;29,203;r;32,779;32,432;
Ghanae;;1,800;;1,800;;2,100;r;2,550;3,000;
Greece;;12,801;r;10,069;r;8,526;r;7,418;7,500;
Guadeloupee, 7;;300;r;300;r;300;r;300;300;
Guatemalae;;2,500;;1,500;r;2,650;r;2,820;2,900;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2008;;2009;;2010;;2011;2012e;
Guinea;;381;;298;;237;;365;317;
Haitie;;300;r;300;r;300;r;300;300;
Hondurase;;1,784;3;1,800;r;1,800;;1,710;1,700;
Hong Kong;;1,426;r;1,124;r;1,420;r;1,560;1,600;
Hungary;;3,544;;2,807;r;2,136;r;1,694;2,000;
Icelande;;138;;138;;140;r;140;140;
Indiae;;185,000;;205,000;;220,000;;250,000;270,000;
Indonesia;;38,530;r;36,910;r;39,480;r;45,240;51,000;
Irane;;44,400;3;50,000;;61,000;;66,000;70,000;
Iraqe;;6,453;3;7,000;r;8,000;r;10,000;10,000;
Ireland;;4,493;r;2,797;r;2,379;r;2,103;2,600;
Israel ;;4,819;;4,759;;5,139;;5,480;5,500;
Italy;;43,030;;36,317;;34,408;;33,120;33,000;
Jamaica;;725;;737;;723;;766;760;
Japan;;62,810;;54,800;;51,526;;51,291;54,737;
Jordan;;4,375;;3,876;;3,929;;4,000;4,900;
Kazakhstan ;;5,837;;5,694;;6,686;;7,642;6,392;
Kenya;;2,829;;3,320;;3,710;;4,478;4,640;
Korea, Northe;;6,415;3;6,400;;6,400;;6,400;6,400;
Korea, Republic of;;51,653;;50,126;r;47,420;;48,249;47,087;
Kosovoe, 8;;590;3;500;r;360;r;370;400;
Kuwaite;;2,600;;2,000;;2,000;;2,250;2,250;
Kyrgyzstan;;1,218;;579;;760;r;1,015;1,050;
Laose;;400;;400;;400;;400;400;
Latviae;;310;;650;;1,100;;1,100;1,100;
Lebanon ;;4,250;;4,900;;5,227;;5,500;5,500;
Liberia;;94;;71;;72;;81;109;
Libyae;;5,509;3;6,500;;7,000;r;3,500;2,000;
Lithuania;;1,076;;583;;843;r;996;1,000;
Luxembourg;;1,091;;1,000;;1,078;;1,319;1,217;
Macedonia ;;916;;909;;820;;981;683;
Madagascare;;160;r;140;r;160;r;150;150;
Malawi;;237;r;232;;188;;203;180;
Malaysia;;19,629;;19,457;;19,762;;21,198;21,726;
Martiniquee, 7;;150;r;150;r;150;r;150;150;
Mauritania;;322;;324;r;552;r;565;570;
Mexico;;37,139;;35,160;;34,502;r;35,400;36,184;
Moldovae;;750;;700;;930;r;1,070;1,230;
Mongolia;;269;;235;;323;;426;349;
Morocco;;14,047;;14,519;;14,700;r;16,300;16,500;
Mozambique9;;744;;777;;884;;976;1,184;
Namibia;;--;;--;;5;e;390;501;
Nepale, 6;;295;;300;r;300;r;300;300;
Netherlands;;3,097;r;2,342;r;2,138;r;2,318;2,500;
New Caledonia ;;137;;138;;160;;145;124;
New Zealande;;1,200;r;1,200;r;1,100;r;1,200;1,200;
Nicaragua;;530;;650;;600;;700;700;
Niger;;56;r;42;r;32;r;73;73;
Nigeriae;;10,000;r;10,000;r;11,000;r;12,800;16,400;
Norway;;1,747;r;1,093;r;1,298;r;1,387;1,500;
Omane;;3,991;3;4,000;;4,500;;5,000;5,200;
Pakistane;;30,800;3;32,800;3;30,000;r;32,000;33,000;
Panama;;1,843;;1,679;;1,400;r, e;897;1,000;
Paraguaye;;800;r;800;r;1,100;r;820;800;
Peru;;6,922;;6,862;;8,396;;8,500;9,000;
Philippines;;13,369;;14,865;;15,900;;16,063;18,907;
Poland;;17,207;;15,422;;15,812;;18,993;15,919;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2008;;2009;;2010;;2011;2012e;
Portugal;;6,629;r;5,318;r;4,587;r;5,069;6,000;
Qatar;;3,800;;4,095;;5,280;r;5,000;5,500;
Reunione;;400;;380;r;300;r;250;350;
Romania;;10,659;r;7,902;;7,008;;7,846;7,500;
Russia ;;53,548;;44,266;;50,400;;56,200;61,700;
Rwanda;;103;;92;;95;;94;100;
Saudi Arabia;;31,823;;36,500;;42,970;r;48,358;53,000;
Senegal;;3,084;;3,320;;4,066;;4,677;4,689;
Serbia10;;2,843;;2,232;;2,130;;2,095;1,831;
Sierra Leone;;254;;236;;301;;311;335;
Slovakia;;4,157;;3,011;;2,888;;3,219;2,915;
Slovenia;;1,525;r;1,082;r;799;r;620;1,000;
South Africa, sales;;13,473;;11,784;;10,870;;11,234;11,560;
Spain, including Canary Islands;;42,088;r;29,505;;26,217;r;22,178;15,939;
Sri Lankae;;1,800;;1,900;;2,600;r;2,200;2,400;
Sudan ;;247;;622;;1,930;r;3,002;3,477;
Suriname;;65;e;49;r;45;r;74;114;
Sweden;;2,934;r;1,586;r;1,796;r;2,064;2,500;
Switzerland;;4,102;r;4,163;r;4,527;r;4,577;4,467;
Syria;;5,336;;5,605;;6,000;;4,000;4,000;
Taiwan;;17,330;;15,918;;16,301;;16,852;15,806;
Tajikistan;;190;;195;;288;;299;232;
Tanzania ;;1,756;;1,941;;2,312;;2,409;2,581;
Thailand ;;31,651;;33,562;;36,496;;36,602;41,047;
Togo11;;1,265;r;1,179;r;1,185;r;1,160;1,605;
Trinidad and Tobago;;958;;870;;791;r;827;654;
Tunisia;;7,559;;7,514;r;8,070;;7,055;7,241;
Turkey;;51,432;r;53,973;;62,737;;63,405;63,879;
Turkmenistan;;1,025;r;1,100;;1,140;r;1,500;1,900;
Uganda;;1,193;r;1,162;r;1,347;r;1,666;1,600;
Ukraine ;;14,918;;9,496;;9,457;;10,515;9,801;
United Arab Emiratese;;21,885;3;18,997;3;18,000;;18,000;17,000;
United Kingdom;;10,071;;7,623;;7,882;;8,529;8,500;
United States, including Puerto Rico12;;87,610;;64,843;;67,202;;68,639;74,934;
Uruguaye;;620;;620;r;620;r;620;620;
Uzbekistane;;6,600;;6,850;;6,872;3;6,698;6,800;
Venezuela;;8,044;r;7,900;r;7,120;r;7,760;7,700;
Vietnam ;;40,009;;48,810;;55,801;r;58,271;55,531;
Yemen;;2,111;;2,118;;1,864;r;951;2,000;
Zambiae;;560;;880;;1,127;3;1,200;1,200;
Zimbabwee;;400;;700;;800;;1,000;1,000;
Totale;;2,850,000;;3,040,000;r;3,290,000;r;3,650,000;3,830,000;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where presented ;;;;;;;;;;
unrounded, reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the ;;;;;;;;;;
European Cement Association.;;;;;;;;;;
2Includes data available through May 22, 2014. Data may include clinker exports for some countries.;;;;;;;;;;
3Reported figure.;;;;;;;;;;
4Data are for fiscal year ending June 30 of the following year.;;;;;;;;;;
5Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;
6Gray cement data only for 2008; white cement output was likely to have been an additional 50,000 to 100,000 tons per year.;;;;;;;;;;
7Estimates for Guadelope and Martinique are apportioned based on the islandsʼ grinding plant capacities.;;;;;;;;;;
8Not included in Serbia data.;;;;;;;;;;
9Cement sales from Cimentos de Moçambique SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;
10Excludes Kosovo data.;;;;;;;;;;
11Calculated based on reported production of clinker and imports and exports of cement and clinker.;;;;;;;;;;
12Portland and masonry cements only. Includes a small (less than 0.3% per year) component of double-counting where portland cement (not ;;;;;;;;;;
clinker) is consumed to make masonry cement; the precise amount of double-counting can not be determined because of the involvement of ;;;;;;;;;;
portland cement stockpiles.;;;;;;;;;;
