TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2000;;2001;;2002;;2003e;2004e;
Czech Republic;;4,093; ;3,550; ;3,217;r;3,465;3,709;
Denmark  ;;2,009; ;2,047;r;2,010;e;2,020;2,050;
Dominican Republic;;2,505; ;2,746; ;3,050; ;2,907;2,636;
Ecuadore;;2,800; ;2,920;3;3,000; ;3,100;3,100;
Egypt  ;;24,143;;24,700;r;28,155;r;26,639;28,000;
El Salvador;;1,064; ;1,174; ;1,318; ;1,390;1,400;
Eritreae;;45;;45; ;45; ;45;45;
Estonia;;329;;405; ;466; ;506;615;
Ethiopia  ;;880;;900; ;900; ;1,200;1,300;
Fijie;;95; ;95; ;95; ;100;100;
Finland;;1,422; ;1,325; ;1,198;r;1,360;1,400;
France;;20,137; ;19,839; ;19,450;r;19,660;20,960;
French Guianae;;88;  ;58;3;62;;62;62;
Gabon;;210; ;304; ;350;e;350;350;
Georgia ;;348; ;335; ;347; ;300;300;
Germany;;35,414;r;32,118;r;31,009;r;32,349;31,954;
Ghanae  ;;1,950;3;1,900; ;1,900; ;1,900;2,000;
Greece;;15,463;r;15,500;r, e;15,000;r;15,300;15,000;
Guadeloupe;;265;r;265;r;230; ;230;230;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2000;;2001;;2002;;2003e;2004e;
Guatemala;;1,960;r;2,000;r;1,800;r;1,900;1,900;
Guinea  ;;300; ;315; ;360; ;360;360;
Haiti;;--;;204;;290; ;300;300;
Honduras;;1,284;r;1,321;r;1,360;r, e ;1,400;1,400;
Hong Kong;;1,284; ;1,279; ;1,206; ;1,250;1,250;
Hungary;;3,326; ;3,452; ;3,510; ;3,573;3,580;
Iceland;;144; ;125; ;130;e;135;140;
Indiae;;95,000; ;105,000;r;115,000;r;123,000;125,000;
Indonesia  ;;27,789; ;31,300; ;34,640; ;35,000;36,000;
Iran  ;;23,880; ;26,640; ;28,600; ;30,000;30,000;
Iraqe;;6,000; ;6,000; ;6,834;3;1,000;3,000;
Irelande;;2,620;3;2,600; ;2,500;;2,500;2,500;
Israel ;;5,703; ;4,700;e;4,584;r;4,632;4,494;
Italy;;38,925; ;39,804; ;40,000;e;38,000;38,000;
Jamaica;;521; ;596;;614;;608;610;
Japan;;81,097; ;76,550;;71,828; ;68,766;67,369;
Jordan;;2,640; ;3,173;;3,558; ;3,515;3,908;
Kazakhstan ;;1,175; ;2,029;;2,129;;2,570;3,000;
Kenya;;1,367; ;1,319; ;1,463; ;1,658;1,789;
Korea, Northe;;4,600; ;5,160;;5,320; ;5,540;5,500;
Korea, Republic of;;51,255; ;52,046;;55,514; ;59,194;53,900;
Kuwait;;1,187;r;921;r;1,584;r;1,600;1,660;
Kyrgyzstan;;500; ;469;;533; ;757;800;
Laose;;92; ;92; ;240; ;250;250;
Latvia ;;W; ;W; ;260;r;295;284;
Lebanon ;;2,808; ;2,890; ;2,852; ;2,900;2,900;
Liberia;;71;e;63; ;54; ;30;30;
Libyae;;3,000; ;3,000;;3,300; ;3,500;3,600;
Lithuania;;570; ;529; ;606;r;597;753;
Luxembourge;;749;3;750; ;750; ;750;750;
Macedonia ;;585; ;630;r;600;r, e;768;820;
Madagascar  ;;51; ;52;;33;e;70;110;
Malawi;;156; ;181;;174; ;190;190;
Malaysia;;11,445; ;13,820;;14,336; ;17,243;18,000;
Martinique;;255;r;255;r;221;r;225;225;
Mauritaniae;;120;r;200;r;200;r;200;200;
Mexico;;33,228;r;32,110;r;33,372;r;33,593;34,992;
Moldova ;;222; ;200; ;300; ;300;300;
Mongolia;;92; ;68; ;148; ;162;170;
Moroccoe  ;;8,100;3;10,000; ;10,200; ;10,400;10,400;
Mozambique  ;;270; ;265; ;285; ;362;350;
Nepale, 4;;300; ;285; ;290;;295;285;
Netherlandse ;;3,450;3;3,450; ;3,400; ;3,400;3,400;
New Caledonia ;;100;e;93; ;100; ;100;100;
New Zealand;;1,070; ;1,080; ;1,090;e;1,100;1,110;
Nicaragua;;530;r;514; ;549;r;590;590;
Nigere ;;40; ;40;;40;r;40;40;
Nigeriae;;2,500; ;2,400; ;2,100; ;2,300;2,300;
Norway;;1,851; ;1,870;e;1,850;e;1,860;1,900;
Oman;;1,238; ;1,370; ;1,700;r, e;2,100;2,500;
Pakistane ;;9,900; ;11,000;r;11,000;r;13,000;16,000;
Panamae;;950;r;820;r;770;r;770;770;
Paraguay;;650; ;650; ;650;e;660;660;
Peru ;;3,906; ;3,950; ;3,980;r;4,000;4,590;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT:  WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2000;;2001;;2002;;2003e;2004e;
Philippines ;;11,959; ;8,653; ;12,614; ;10,000;11,000;
Poland;;15,046; ;11,918; ;10,948;r;11,653;12,837;
Portugale  ;;10,343;3;10,300; ;10,000; ;10,000;10,000;
Qatare;;1,210; ;1,240;r;1,340;r;1,400;1,400;
Réunione;;380; ;380; ;380; ;380;380;
Romania;;6,058; ;5,668; ;5,680; ;5,992;6,210;
Russia ;;32,400; ;35,300; ;37,700;  ;41,000;43,000;
Rwanda  ;;71; ;91; ;101; ;105;104;
Saudi Arabia;;18,107; ;20,608; ;22,000; ;23,000;23,200;
Senegal ;;1,341;r;1,539;r;2,150; e;2,150;2,150;
Serbia and Montenegro ;;2,117; ;2,418; ;2,396; ;2,075;2,240;
Sierra Leone;;73; ;113; ;144; ;170;170;
Singaporee;;1,150;3;600; ;200; ;150;150;
Slovakia  ;;3,045; ;3,123; ;3,141;r;3,147;3,158;
Sloveniae  ;;1,300; ;1,300; ;1,250;;1,300;1,300;
South Africa, sales5;;7,971; ;8,036; ;8,525; ;8,973;12,348;
Spain, including Canary Islands;;38,154;r;40,512; ;42,417;r;45,000;46,790;
Sri Lanka ;;1,008; ;1,108; ;1,018; ;1,164;1,400;
Sudan ;;146; ;190; ;205;r;272;280;
Surinamee;;60; ;65;3;65;;65;65;
Sweden;;2,651; ;2,600; ;2,700;e;2,650;2,700;
Switzerland  ;;3,771; ;3,920;r;3,771;r;3,800;3,898;
Syria;;4,631; ;5,428; ;5,450;e;5,250;4,800;
Taiwan;;17,572; ;18,128; ;19,363; ;18,474;19,050;
Tajikistan;;50; ;70; ;100; ;120;150;
Tanzania ;;833; ;900; ;1,026; ;1,186;1,287;
Thailand ;;25,499; ;27,913; ;31,679;r;32,530;35,626;
Togoe  ;;700; ;800; ;800; ;800;800;
Trinidad and Tobago;;743; ;697;r;744; ;766;765;
Tunisia;;5,657; ;5,721; ;6,022; ;6,038;6,358;
Turkmenistane;;450; ;450; ;450;;450;450;
Turkey;;35,825; ;30,125; ;32,577;;35,077;38,019;
Uganda ;;367; r;431;r;506;r;507;520;
Ukraine ;;5,311; ;5,800; ;7,142; ;8,900;10,600;
United Arab Emiratese;;6,100; ;6,100; ;7,000;r;8,000;8,000;
United Kingdom;;12,702;r;11,854; ;11,089;r;11,215;11,250;
United States, including Puerto Rico6;;89,510; ;90,450;7;91,266; ;94,329;99,015;
Uruguaye;;700; ;1,015;3;1,000; ;1,050;1,050;
Uzbekistane ;;3,521;3;4,000; ;4,000; ;4,000;4,000;
Venezuelae;;8,600; ;8,700; ;7,000; ;7,700;9,000;
Vietnam ;;13,298; ;16,073;r;21,121;r;23,282;25,320;
Yemene;;1,400; ;1,400; ;1,400; ;1,400;1,546;
Zambiae  ;;380; ;215;3;230;3;480;480;
Zimbabwee;;1,000; ;800; ;600; ;400;400;
    Total  ;;1,660,000; ;1,750,000;r;1,850,000;r;2,020,000;2,130,000;
eEstimated.  pPreliminary.  rRevised.  W  Withheld to avoid disclosing company proprietary data; not included in "Total."  -- Zero.;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown.  Even where presented unrounded, ;;;;;;;;;;
reported data are believed to be accurate to no more than three significant digits.;;;;;;;;;;
2Table includes data available through August 17, 2005.  Data may include clinker exports for some countries.;;;;;;;;;;
3Reported figure.;;;;;;;;;;
4Data for year ending June 30 of that stated.;;;;;;;;;;
5Data are revised to remove sales of cementitious materials other than finished cement.  Material sales removed (mostly fly ash and ground granulated ;;;;;;;;;;
blast furnace slag) amounted to:  2000—1,020; 2001—1,129; 2002—1,099; 2003—1,190 (revised); and 2004—1,436.;;;;;;;;;;
6Portland and masonry cements only.;;;;;;;;;;
7Data are rounded to four significant digits.;;;;;;;;;;
