TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2017;;2018;;2019;;2020;2021;
Côte d'Ivoire;;3,500;;4,500;;4,900;;5,000;5,000;
Croatia;;2,608;;2,828;;2,968;;2,976;2,764;
Cuba;;1,431;;1,590;;1,407;;1,015;817;
Cyprus;;1,319;;1,358;;1,537;;1,496;1,440;
Czechia;;4,043;;4,428;;4,569;;4,513;4,720;
Denmark;;2,360;;2,200;;2,250;;2,490;2,670;
Djibouti;;160;;224;;250;;240;360;
Dominican Republic;;5,254;;5,430;;5,644;;5,200;6,500;
Ecuadore;;5,690;;5,800;;5,550;;5,000;5,400;
Egypt;;53,900;r;52,000;r;48,700;r;44,900;50,000;
El Salvador;;900;;1,089;;1,280;;1,000;1,070;
Eritreae;;180;r;180;r;180;r;160;180;
Estonia;;503;;527;;411;;254;366;
Ethiopiae, 5;;9,100;;9,500;;9,600;;9,700;9,500;
Fiji;;141;;143;;128;;97;100;
Finlande;;1,510;;1,460;;1,430;;1,470;1,500;
France;;16,900;;16,500;;16,500;;16,700;16,900;
French Guiana;;80;;93;;95;e;90;100;
Gabon;;370;;490;;540;;510;510;
Georgia;;2,058;;1,981;;2,681;;2,446;2,683;
Germany;;33,991;;33,633;;34,185;r;35,485;34,000;
Ghana;;3,940;;5,110;;4,990;;5,120;5,600;
Greece;;6,246;;6,580;;5,540;;5,450;5,700;
Guadeloupee;;300;;310;;310;;310;310;
Guatemala;;3,440;;3,030;;2,890;;3,230;3,380;
Guinea;;1,280;;1,380;;1,500;;1,540;1,590;
Guyanae;;400;;410;;410;;400;400;
Haitie;;300;r;300;r;300;r;300;300;
Honduras;;2,140;;1,960;;1,800;;1,490;1,650;
Hong Kong;;1,580;;1,640;;1,600;;1,500;1,500;
Hungarye;;1,663;;1,670;;2,500;;2,300;2,500;
Indiae;;308,000;;310,000;;334,000;;290,000;350,000;
Indonesia;;69,279;;75,213;;71,900;;62,700;65,000;
Irane;;55,200;;55,400;;60,400;;68,300;62,000;
Iraqe;;14,000;;24,000;;27,000;;28,000;29,000;
Irelande;;3,300;;4,000;;3,700;;3,400;3,500;
Israel;;6,361;;5,858;;5,000;e;5,250;5,700;
Italy;;19,300;;19,300;;19,200;;20,400;23,500;
Jamaica;;846;;787;;759;;940;979;
Japan;;55,195;;55,307;;53,462;;50,905;50,083;
Jordan;;4,680;;4,940;;3,470;r;3,320;3,720;
Kazakhstan;;9,398;;9,913;;10,268;;10,962;12,313;
Kenya;;6,230;;6,070;;6,163;;7,474;9,248;
Korea, North;;6,840;;5,830;;5,600;;5,690;5,960;
Korea, Republic of;;57,400;;52,093;;50,635;r;47,518;49,864;
Kosovoe;;840;;850;;816;;815;848;
Kuwaite;;3,400;;3,400;;3,900;;3,400;3,500;
Kyrgyzstan;;1,505;;1,931;;1,947;;1,874;2,468;
Laos;;3,938;;4,800;;5,208;;6,162;14,412;
Latviae;;1,000;;1,000;;1,100;;1,100;1,200;
Lebanon;;5,149;;4,702;;3,203;r;1,958;1,810;
Liberia;;285;;332;;343;;416;535;
Libya;;4,500;;4,500;;3,600;;3,100;4,100;
Lithuania;;1,023;;1,151;;1,223;;1,221;1,354;
Luxembourg;;1,200;;1,080;;1,150;;1,140;1,150;
Madagascar;;200;;130;;120;;150;150;
Malawi;;211;;232;;243;;520;670;
Malaysia;;18,800;;17,556;r;16,102;r;19,936;20,900;
Mali;;670;;1,000;r;1,540;r;1,700;1,800;
Martiniquee;;150;;150;;150;;150;150;
Mauritania;;850;;1,023;r;1,000;;970;998;
Mexico;;41,601;;48,328;;45,163;r;47,833;51,559;
Moldova;;1,116;;1,233;;1,329;;1,235;1,243;
Mongolia;;675;;934;;1,098;;1,182;1,293;
Morocco;;13,850;;13,380;;13,690;;12,300;14,000;
Mozambique;;2,350;;2,400;e;2,700;e;2,800;3,000;
Namibiae;;780;;930;;1,000;;901;970;
Nepal;;8,050;;8,900;;9,860;;8,250;9,000;
Netherlands;;2,030;;2,940;;3,440;;2,980;2,500;
New Caledonia;;104;;86;;77;;73;68;
New Zealande;;360;;450;;1,000;;2,980;2,500;
Nicaragua;;780;;680;;580;;510;512;
Niger;;51;e;190;;350;;350;400;
Nigeriae;;19,000;;22,000;;23,000;;26,000;29,000;
North Macedonia;;901;;921;;896;;928;935;
Norway;;1,880;;1,680;;1,480;;1,440;1,440;
Omane;;4,860;;5,370;;5,520;;6,230;6,450;
Pakistan;;38,900;;40,800;;40,500;;43,400;49,600;
Panama;;1,920;;1,640;;1,370;;754;821;
Papua New Guineae;;200;;200;;140;;130;150;
Paraguaye;;1,500;;1,100;;1,100;;1,000;1,100;
Peru;;9,980;;10,049;;10,574;;9,140;12,855;
Philippines;;26,000;e;27,700;;27,700;;23,000;27,000;
Poland;;17,145;;18,788;;18,653;;18,900;19,000;
Portugal;;3,790;;3,960;;4,140;;4,290;4,500;
Qatar;;6,000;;5,600;;4,500;;3,900;4,400;
Reunion;;250;;260;;250;;218;230;
Romania;;8,442;;8,951;;9,937;;10,539;10,676;
Russia;;54,721;;53,678;;57,676;r;56,165;61,000;
Rwandae;;390;;400;;450;;490;670;
Saudi Arabia;;47,128;;41,937;;44,341;;53,418;53,699;
Senegal;;5,197;;5,412;;6,775;;7,038;7,473;
Serbia;;1,908;;2,093;;2,151;;2,364;2,610;
Sierra Leone;;310;r;310;r;340;r;345;360;
Slovakia;;3,782;;3,913;;4,031;;4,072;4,165;
Sloveniae;;660;;680;;1,035;;920;880;
South Africa;;14,134;;13,680;;12,726;;12,000;12,500;
Spain;;14,500;;16,215;;16,998;;15,600;18,000;
Sri Lanka;;2,819;;2,841;;3,397;r;2,650;3,940;
Sudan;;4,326;;3,929;;2,594;;2,387;2,285;
Suriname;;30;;30;;50;e;50;50;
Sweden;;3,020;;3,256;r;2,700;r, e;2,800;2,800;
Switzerland;;4,580;e;4,290;;4,210;;4,150;4,180;
Syria;;2,120;;2,150;;2,200;r;2,400;2,500;
Taiwan;;10,876;;10,939;;11,271;;11,786;11,970;
Tajikistan;;3,117;;3,844;;4,202;;4,243;4,000;
Tanzania;;4,200;;4,509;;6,514;;6,496;6,500;
Thailand;;39,067;r;39,221;r;40,261;r;38,616;39,200;
Togo;;1,370;;1,340;;1,650;;1,550;1,650;
Trinidad and Tobago;;670;;663;;678;;632;728;
Tunisia;;8,104;;7,822;;8,096;;7,161;8,499;
Turkey;;80,552;;72,544;;56,966;;72,299;82,000;
Turkmenistane;;3,600;;2,700;;2,400;;1,900;2,100;
Uganda;;2,511;;2,557;;3,072;;3,738;4,200;
Ukraine;;9,003;;9,241;;9,201;;9,568;10,781;
United Arab Emiratese;;17,400;;17,200;;16,100;;14,900;15,000;
United Kingdom;;9,359;;9,197;;9,079;;8,046;9,008;
United States6;;86,799;;87,021;;88,100;r;89,800;93,300;
Uruguay;;817;;812;;737;;825;900;
Uzbekistan;;8,930;;9,200;;10,990;;12,540;15,000;
Venezuela;;5,410;;2,010;;1,150;;1,470;2,500;
Vietnam;;81,488;;89,121;;105,533;r;112,283;114,686;
Yemen;;1,920;;1,880;;1,900;;1,700;1,800;
Zambia;;2,210;;2,751;;2,480;e;2,797;2,732;
Zimbabwe;;1,210;;1,440;;1,220;;1,280;1,370;
Total;;4,120,000;r;4,060,000;r;4,200,000;r;4,210,000;4,360,000;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;
1Table includes data available through November 18, 2022. All data are reported unless otherwise noted; totals may include estimated data.;;;;;;;;;;
2World totals, U.S. data and estimated data are rounded to no more than three significant digits; may not add to totals shown. even where presented unrounded, reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the European Cement Association. Data may include clinker exports for some countries.;;;;;;;;;;
3Production is based on fiscal year, with a starting date of June 30 of the year shown.;;;;;;;;;;
4Production is based on fiscal year, with a starting date of March 31 of the year shown.;;;;;;;;;;
5Production is based on fiscal year, with a starting date of July 7 of the year shown.;;;;;;;;;;
6Portland and masonry cements only. Includes a small (less than 0.5% per year) component of double-counting where portland cement (not clinker) is consumed to make masonry cement; the precise amount of double-counting cannot be determined because of the involvement of portland cement stockpiles.;;;;;;;;;;
;;;;;;;;;;
