TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2007;;2008;;2009;;2010;;2011e;;
Thailand ;;35,668;;31,651;;33,562;;36,496;;36,679;3;
Togoe, 9;;996;r;1,350;r;1,160;r;1,150;r;1,780;;
Trinidad and Tobago;;902;;958;;870;;800;e;800;;
Tunisia;;7,052;;7,559;;7,511;;8,070;r;8,000;;
Turkey;;49,553;;54,027;;53,973;;62,737;;63,405;3;
Turkmenistan;;941;;1,026;;1,100;;1,100;e;1,200;;
Ugandae;;650;;650;;650;;650;;650;;
Ukraine ;;15,000;;14,918;;9,496;;9,456;;10,515;3;
United Arab Emiratese;;16,000;;21,885;3;18,997;3;18,000;;17,000;;
United Kingdom;;11,887;;10,071;;7,623;;7,882;r;8,529;3;
United States, including Puerto Rico10;;96,850;;87,610;;64,843;;67,202;r;68,639;3;
Uruguaye;;620;;620;;1,050;r;1,000;r;1,000;;
Uzbekistane;;6,500;3;6,600;;6,850;;6,872;3;7,000;;
Venezuelae;;8,000;r;8,200;r;8,500;r;8,000;r;7,700;3;
Vietnam ;;37,102;;40,009;;48,810;r;55,789;r;58,994;3;
Yemen;;1,728;;2,111;;2,118;;3,500;r;3,000;;
Zambiae;;540;;560;;880;;1,127;r, 3;1,400;;
Zimbabwee;;400;;400;;700;;800;r;900;;
Totale;;2,810,000;r;2,850,000;r;3,030,000;r;3,270,000;r;3,610,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where presented unrounded, reported;;;;;;;;;;;;
data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the European Cement Association.;;;;;;;;;;;;
2Table includes data available through July 20, 2012. Data may include clinker exports for some countries.;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
3Reported figure.;;;;;;;;;;;;
4Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;;;
5Data for 2007–08 are for gray cement only; white cement output was likely to have been an additional 50,000 to 100,000 tons per year.;;;;;;;;;;;;
6Not included in Serbia data.;;;;;;;;;;;;
7Cement sales from Cimentos de Moçambique SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;;;
8Excludes Kosovo data.;;;;;;;;;;;;
9Calculated based on reported production of clinker and imports and exports of cement and clinker.;;;;;;;;;;;;
10Portland and masonry cements only. Includes a small (less than 0.3% per year) component of double-counting where portland cement (not clinker) is ;;;;;;;;;;;;
consumed to make masonry cement; the precise amount of double-counting can not be determined because of the involvement of portland cement stockpiles. ;;;;;;;;;;;;
;;;;;;;;;;;;
