TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality;;2015;;2016;;2017;;2018;;2019;;
Libya;;5,000;;4,100;r;4,500;r;4,500;r, e;4,200;e;
Lithuania;;980;;1,010;;1,023;;1,151;;1,223;;
Luxembourg;;1,080;;1,100;e;1,100;e;1,100;e;1,100;e;
Macedonia;;672;;855;;901;;921;;896;;
Madagascar;;150;;150;;200;r;210;e;230;e;
Malawi;;155;r;151;;211;;232;;243;;
Malaysia;;24,710;;22,330;;18,800;;20,000;e;18,000;e;
Mali;;630;;650;r;670;r;690;r, e;1,000;e;
Martiniquee;;150;;150;;150;;150;;150;;
Mauritania;;860;;790;r;850;r;920;r, e;970;e;
Mexico;;39,613;;40,577;;41,601;;48,328;;43,400;e;
Moldova;;1,045;;975;;1,116;;1,233;r;1,320;e;
Mongolia;;410;;432;;675;;934;;1,098;;
Morocco;;14,460;;14,260;r;14,850;r;15,300;r;13,700;e;
Mozambique;;1,585;5;2,446;;2,350;;2,400;e;2,610;e;
Namibia;;796;;778;;780;e;930;r, e;1,000;e;
Nepal;;3,910;;5,000;e;6,000;e;9,000;e;9,860;e;
Netherlands;;2,260;;2,930;r;2,030;r;2,390;r, e;2,350;e;
New Caledonia;;112;;112;;104;;86;;77;;
New Zealande;;1,200;;900;;360;;450;;940;;
Nicaragua;;740;r;780;r;780;r;680;r, e;600;e;
Niger;;51;;51;e;51;e;52;e;260;e;
Nigeriae;;21,000;;22,000;;19,000;;21,000;;22,600;;
Norway;;1,640;r;1,660;r;1,880;r;1,770;r;1,760;e;
Omane;;5,300;;5,500;;4,900;r;5,300;r;5,200;;
Pakistan;;33,232;;37,020;;38,900;;40,800;r;40,200;e;
Panama;;1,970;r;1,900;r;1,920;r;1,670;r, e;1,470;e;
Papua New Guineae;;200;;200;;200;;200;;200;;
Paraguaye;;1,300;r;1,300;;1,500;r;1,500;r;1,500;;
Peru;;10,410;;10,094;;9,980;;10,049;;10,574;;
Philippines;;24,050;;25,000;e;26,000;e;28,500;r, e;30,500;e;
Poland;;15,206;;15,782;;17,254;;18,957;;18,946;;
Portugal;;5,620;;4,100;r;3,790;r;3,960;r, e;4,050;e;
Qatar;;6,880;;6,700;r, e;6,000;r, e;4,800;r, e;4,500;e;
Reunion;;250;;170;e;180;e;200;e;250;e;
Romania;;8,356;;8,038;;8,442;;8,951;;9,932;;
Russia;;62,104;;54,935;;54,721;;53,678;;55,900;e;
Rwandae;;180;;350;;390;;400;;450;;
Saudi Arabia;;61,900;;55,943;;47,134;;42,181;;42,300;e;
Senegal;;4,615;;5,149;;5,197;;5,412;;6,900;e;
Serbia;;1,654;;1,801;;1,908;;2,093;r;2,310;e;
Sierra Leone;;324;;320;e;324;e;325;e;350;e;
Slovakia;;3,466;;3,518;;3,782;;3,913;r;4,031;;
Sloveniae;;600;;700;;660;;680;;1,050;;
South Africa;;12,992;;13,000;;13,170;r;12,500;r, e;12,400;e;
Spain;;15,000;e;15,000;e;14,500;;14,600;e;17,100;e;
Sri Lanka;;2,287;;2,695;;2,819;;2,841;;3,960;e;
Sudan;;3,708;;4,013;;4,326;;4,053;;4,000;e;
Suriname;;70;;20;;30;;30;;30;e;
Sweden;;2,840;r;2,840;r;3,020;r;3,200;r;2,720;e;
Switzerland;;4,390;;4,710;;4,580;r, e;4,290;r;4,210;;
Syria;;1,850;;2,450;r;2,120;r;2,150;r, e;2,200;e;
Taiwan;;13,445;;12,126;;10,876;;10,939;;11,254;;
Tajikistan;;1,418;;1,361;;3,117;;3,844;;4,202;;
Tanzania;;3,135;;4,071;;4,200;;4,509;;6,514;;
Thailand;;36,216;;34,860;r;33,587;;32,660;r;34,500;e;
Togo5;;1,460;r;1,470;r;1,370;r;1,410;r, e;1,510;e;
Trinidad and Tobago;;840;;721;;670;;663;r;678;;
Tunisia;;9,507;;9,028;;8,053;;7,850;;8,096;;
Turkey;;71,419;;75,403;;80,552;;72,544;;57,400;e;
Turkmenistane;;3,300;;3,500;;3,600;;3,800;;3,990;;
Uganda;;2,331;r;2,494;;2,511;r;2,200;r, e;3,890;e;
Ukraine;;8,511;;9,023;;9,003;;9,241;r;9,201;;
United Arab Emiratese;;20,500;;16,900;r;17,400;r;16,300;r;16,400;;
United Kingdom;;9,235;;9,370;;9,359;;9,197;;9,079;;
United States6;;84,940;;85,153;;86,799;;88,021;r;89,000;e;
Uruguay;;902;r;742;;817;;812;;737;;
Uzbekistan;;8,350;r;8,470;r;8,930;r;9,200;r, e;11,400;e;
Venezuela;;8,210;;5,790;r;5,410;r;5,100;r, e;4,500;e;
Vietnam;;67,645;;74,457;;81,488;r;89,121;r;96,919;;
Yemen;;2,530;;1,400;r;1,920;r;1,880;r, e;1,900;e;
Zambia;;1,800;e;2,000;e;2,210;;2,751;;2,480;e;
Zimbabwe;;1,510;;1,190;r;1,210;r;1,440;r, e;1,470;e;
Totale;;4,060,000;r;4,140,000;r;4,100,000;r;4,050,000;;4,130,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1Table includes data available through November 12, 2020. All data are reported unless otherwise noted. Totals, U.S. data, and estimated data are rounded to no more than three significant digits, may not add to totals shown. Data may include clinker exports for some countries.;;;;;;;;;;;;
2Production is based on fiscal year, with a starting date of June 30 of the year shown.;;;;;;;;;;;;
3Production is based on fiscal year, with a starting date of March 31 of the year shown.;;;;;;;;;;;;
4Production is based on fiscal year, with a starting date of July 7 of the year shown.;;;;;;;;;;;;
5Cement sales from Cimentos de Moçambiqu SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;;;
6Portland and masonry cements only. Includes a small (less than 0.5% per year) component of double-counting where portland cement (not clinker) is consumed to make masonry cement; the precise amount of double-counting cannot be determined because of the involvement of portland cement stockpiles.;;;;;;;;;;;;
