TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
New Caledonia ;;93; ;100; ;100;e;100;e;100;;
New Zealande;;1,080;3;1,090; ;1,100;;1,110;3;1,100; ;
Nicaragua;;514; ;549; ;590; ;600;r, e;610;;
Nigere;;47;r;54;r;55;r;55;r;55;;
Nigeriae;;2,400; ;2,100; ;2,300; ;2,300;;2,400;;
Norway;;1,642;r;1,631;r;1,650;r;1,420;r;1,500; ;
Omane;;1,370;3;1,700; ;2,100; ;2,500;;2,500;;
Pakistane ;;11,000; ;11,000; ;13,000; ;16,000;;18,000;;
Panamae;;820; ;770; ;800;r;820;r;840; ;
Paraguaye;;650;3;650; ;660; ;650;r;650;;
Peru ;;3,950; ;3,980; ;4,000; ;4,590; ;4,600; ;
Philippines ;;8,653; ;12,614; ;13,060;r;13,050;r;13,000; ;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
 ;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2001;;2002;;2003;;2004;;2005e;;
Poland;;11,918; ;10,948; ;11,653; ;12,566;r;12,646;3;
Portugal;;10,162;r;9,759;r;8,567;r;8,843;r;9,000; ;
Qatare;;1,240; ;1,340; ;1,400;;1,400;;1,400;;
Réunione;;380; ;380; ;380;;380;;380;;
Romania;;5,668; ;5,680; ;5,992; ;6,239;r;7,032;3;
Russia ;;35,300; ;37,700;  ;41,000; ;45,700;r;48,700;3;
Rwanda  ;;91; ;101; ;105; ;104; ;105; ;
Saudi Arabiae;;20,608;3;22,000; ;23,000;;25,400;r;26,064;3;
Senegal ;;1,539; ;1,653;r;1,694;r;1,700;r, e;1,700; ;
Serbia and Montenegro ;;2,418; ;2,396; ;2,075; ;2,240; ;2,200; ;
Sierra Leone;;113; ;144; ;169;r;180;r;180; ;
Singaporee;;600; ;200; ;150;3;--;r;--; ;
Slovakia  ;;3,123; ;3,141; ;3,147; ;3,158; ;3,499;3;
Slovenia;;1,237;r;1,178;r;1,370;r;1,186;r;1,200; ;
South Africa, sales7;;8,036; ;8,525; ;8,883;r;12,348; ;13,000; ;
Spain, including Canary Islands;;40,512; ;42,417; ;44,747;r;46,593;r;50,347;3;
Sri Lanka ;;1,108; ;1,018; ;1,164; ;1,150;r, e;1,180; ;
Sudan ;;190; ;205; ;272; ;307;r;310; ;
Surinamee;;65;3;65;;65;;65;;65;;
Sweden;;2,645;r;2,642;r;2,476;r;2,588;r;2,600; ;
Switzerland  ;;3,950;r;3,771; ;3,613;r;3,851;r;4,022;3;
Syria;;5,005;r;4,679;r;4,824;r;4,757;r;4,800; ;
Taiwan;;18,128; ;19,363; ;18,474; ;19,050; ;19,891;3;
Tajikistan;;70; ;100; ;166;r;194;r;253;3;
Tanzania ;;900; ;1,026; ;1,186; ;1,281;r;1,375;3;
Thailand ;;27,913; ;31,679; ;32,530; ;35,626; ;37,872;3;
Togoe  ;;800; ;800; ;800; ;800; ;800; ;
Trinidad and Tobago;;697; ;744; ;766; ;768;r;770;;
Tunisia;;5,721; ;6,022; ;6,038; ;6,358; ;6,500; ;
Turkmenistane;;450; ;450;;450; ;450; ;450; ;
Turkey;;30,125; ;32,577;;35,077; ;38,796;r;42,787;3;
Uganda ;;431; ;506; ;507; ;559;r;650; ;
Ukraine ;;5,800; ;7,142; ;8,900; ;10,600;;12,183;3;
United Arab Emiratese;;6,100; ;7,000; ;8,000; ;8,000;;8,000;;
United Kingdom;;11,854; ;11,265;r;11,650;r;11,730;r;11,470;3;
United States, including Puerto Rico8;;90,450;9;91,266; ;94,329; ;99,015; ;100,903;3;
Uruguaye;;1,015;3;1,000; ;1,050;;1,050;;1,050;;
Uzbekistane ;;4,000; ;4,000; ;4,000;;4,800;r;5,068;3;
Venezuelae;;8,700; ;7,000; ;7,700; ;9,000;;10,000;;
Vietnam ;;16,073; ;21,121; ;24,127;r;25,320; ;29,000;3;
Yemen;;1,493;r;1,561;r;1,541;r;1,546; ;1,550; ;
Zambiae  ;;215;3;230;3;350;r;480;e;435;;
Zimbabwee;;800; ;600; ;400; ;400; ;400; ;
Total;;1,740,000;r;1,850,000; ;2,030,000;r;2,190,000;r;2,310,000;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
 ;;;;;;;;;;;;
eEstimated. pPreliminary. rRevised. W  Withheld to avoid disclosing company proprietary data; not included in "Total." -- Zero.;;;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown.  Even where presented unrounded, ;;;;;;;;;;;;
reported data are believed to be accurate to no more than three significant digits.;;;;;;;;;;;;
2Table includes data available through October 6, 2006.  Data may include clinker exports for some countries.;;;;;;;;;;;;
3Reported figure.;;;;;;;;;;;;
4Data for year ending June 30 of that stated.;;;;;;;;;;;;
5Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;;;
6July 7 of the year listed.;;;;;;;;;;;;
7Data are revised to remove sales of cementitious materials other than finished cement. Material sales removed (mostly fly ash and ground granulated ;;;;;;;;;;;;
blast furnace slag) amounted to: 2001—1,129; 2002—1,099; 2003—1,190; 2004—1,436; and 2005—1,440 (estimated).      ;;;;;;;;;;;;
8Portland and masonry cements only.;;;;;;;;;;;;
9Tonnage has been rounded to four significant digits.;;;;;;;;;;;;
