TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2003;;2004;;2005;;2006;2007e;
Vietnam ;;24,127;;26,153;;30,808;;32,690;36,400;
Yemen;;1,541;;1,546;;1,550;r;1,470;1,728;
Zambiae;;350;;390;r;435;;650;650;
Zimbabwee;;400;;500;;600;;700;400;
    Total;;2,030,000;;2,190,000;;2,350,000;;2,600,000;2,770,000;
eEstimated. pPreliminary. rRevised. XX Not applicable. -- Zero.;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where ;;;;;;;;;;
presented  unrounded, reported data are believed to be accurate to no more than three significant digits. Data are from a variety of ;;;;;;;;;;
sources, including the European Cement Association.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
2Table includes data available through July 11, 2008. Data may include clinker exports for some countries.;;;;;;;;;;
3Reported figure.;;;;;;;;;;
4Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;
5Data for 2006 and 2007 are for gray cement only; white cement output was likely to have been and additional 50,000 to 100,000 ;;;;;;;;;;
tons per year.;;;;;;;;;;
6Montenegro and Serbia formally declared independence in June 2006 from each other and dissolved their union. Montenegro has ;;;;;;;;;;
no cement plants.;;;;;;;;;;
7Data have been adjusted to remove sales of cementitious materials other than finished cement. Material sales removed (mostly ;;;;;;;;;;
fly ash and ground granulated blast furnace slag) amounted, in metric tons, to: 2003—1,189,739 (revised); 2004—1,438,567 ;;;;;;;;;;
(revised); 2005—1,511,716 (revised); 2006—1,599,505 (revised); and 2007—1,664,304.;;;;;;;;;;
8Portland and masonry cements only.;;;;;;;;;;
