TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2010;;2011;;2012;;2013;;2014;;
Irane;;61,000;;66,000;;70,250;r, 3;68,700;r, 3;66,000;;
Iraqe;;8,000;;10,000;;10,000;;12,000;;13,000;;
Irelande;;2,379;3;2,103;3;1,198;3;2,000;;2,000;;
Israel ;;5,139;;5,480;;5,892;;6,398;;6,603;;
Italy;;34,408;;33,120;;26,240;r;23,100;r;21,400;;
Jamaica;;723;;766;;760;;825;;830;;
Japan;;51,526;;51,291;;54,737;;57,962;r;57,913;;
Jordan;;3,929;;2,816;;4,060;r;4,200;r;4,500;e;
Kazakhstan ;;6,686;;7,642;;7,050;r;7,072;;7,977;;
Kenya;;3,710;;4,478;;4,640;r;5,059;;5,583;;
Korea, Northe;;6,100;r;6,300;r;6,500;r;7,100;;7,200;;
Korea, Republic of;;47,420;;48,249;;46,862;r;47,291;;47,048;;
Kosovoe, 7;;420;r;420;r;535;;560;r;630;;
Kuwaite;;2,000;;2,250;;2,400;r;3,000;r;3,800;;
Kyrgyzstan;;760;;1,022;;1,239;;1,675;r;1,727;;
Laose;;1,200;;1,300;;1,500;;1,500;;2,400;;
Latviae;;635;3;752;3;901;3;1,000;;1,200;;
Lebanon ;;5,227;;5,550;;5,309;;5,831;;5,517;;
Liberia;;72;;81;;122;;194;r;295;;
Libyae;;7,000;;3,500;;2,000;;2,000;;2,000;;
Lithuania;;834;;996;;1,015;;1,070;;903;;
Luxembourg;;1,078;;1,319;;1,177;;980;r;1,100;e;
Macedonia ;;820;;981;;683;;762;;687;;
Madagascare;;160;;200;r;230;r;230;r;240;;
Malawi;;188;;203;;172;;320;;450;e;
Malaysia;;19,762;;21,198;;21,726;;21,457;;22,000;e;
Martiniquee;;150;;150;;150;;150;;150;;
Mauritania;;552;;565;;644;;690;r;770;e;
Mexico;;34,503;;35,400;r;36,184;;34,612;;35,000;e;
Moldovae;;900;;1,000;;1,200;;1,150;r;1,300;;
Mongolia;;323;;426;;349;;259;r;411;;
Moroccoe;;14,000;;14,000;;16,270;r, 3;16,870;r, 3;15,710;3;
Mozambique8;;884;;976;;1,184;;1,299;;1,502;;
Namibia;;5;e;390;;501;;662;;731;;
Nepale;;1,360;3;2,100;;2,720;r;2,990;r;3,100;;
Netherlandse;;2,138;3;2,318;3;2,056;3;2,000;r;2,000;;
New Caledonia9;;160;;146;r;125;r;119;r;106;;
New Zealande;;1,100;;1,200;;1,140;r;1,160;r;1,100;;
Nicaragua;;600;;700;;620;r;650;r;700;e;
Niger;;32;;73;;73;r;29;r;21;;
Nigeriae;;10,000;r;12,000;r;16,000;r;20,000;r;20,000;;
Norwaye;;1,298;3;1,387;3;1,659;3;1,700;;1,700;;
Omane;;4,500;r;5,000;r;5,100;r;4,472;3;5,000;;
Pakistane;;30,000;;29,000;r;30,000;r;31,000;;32,000;;
Panama;;1,491;;1,766;;2,310;r;2,366;r;2,188;;
Papua New Guineae;;200;;200;;200;;200;;200;;
Paraguaye;;650;;650;;800;r;960;r;1,000;;
Peru;;8,396;;8,500;e;10,100;r;10,527;;10,676;;
Philippines;;15,900;;16,063;;18,907;;20,150;;22,000;e;
Poland;;15,521;;18,552;;15,919;;14,538;;15,358;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2010;;2011;;2012;;2013;;2014;;
Portugale;;4,587;3;5,069;3;4,090;3;5,000;;5,500;;
Qatare;;3,780;r, 3;5,000;;5,500;;5,335;3;6,000;;
Reunione ;;300;;250;;350;;400;;400;;
Romania;;6,909;r;7,307;r;8,223;;7,451;;7,900;e;
Russia ;;50,400;;56,200;;61,700;;66,503;r;68,545;;
Rwandae;;95;3;94;3;106;r, 3;110;r;140;;
Saudi Arabia;;42,833;r;48,450;r;53,332;r;56,238;r;57,223;;
Senegal;;4,066;;4,677;;4,689;;5,191;;4,899;;
Serbia10;;2,130;;2,095;;1,831;;1,592;;1,605;;
Sierra Leone;;301;;311;;335;;313;;336;;
Slovakia;;2,888;;3,219;;2,915;;3,121;;3,319;;
Slovenia;;799;;620;;953;;1,139;;1,326;;
South Africa, sales;;10,870;;11,234;;11,560;;12,170;r;12,070;;
Spain, including Canary Islands;;26,217;;22,178;;15,939;;13,736;r;14,587;;
Sri Lanka;;1,737;r;1,984;r;2,006;r;1,929;r;1,885;;
Sudan;;1,930;;3,002;;3,511;;3,538;r;3,478;;
Suriname;;45;;74;;114;;131;r;130;e;
Sweden;;1,796;;2,064;;2,141;;2,560;r;2,500;e;
Switzerland;;4,527;;4,577;;4,539;r;4,540;r;4,290;;
Syriae;;6,000;;5,000;;6,000;;4,000;;3,800;3;
Taiwan;;16,301;;16,852;;15,808;r;16,554;r;14,592;;
Tajikistan;;288;;299;;251;;384;;1,150;;
Tanzania ;;2,312;;2,409;;2,581;;2,346;r;2,809;;
Thailand ;;28,840;r;30,290;r;31,760;r;35,854;r;34,980;;
Togo11;;1,185;;1,160;;1,605;r;1,795;r;1,677;;
Trinidad and Tobago;;791;;827;;654;;802;;837;;
Tunisia, grey and white;;8,070;;7,055;;7,241;;7,504;;9,127;;
Turkey;;62,737; ;63,405;;63,879;;71,337;;71,329;;
Turkmenistan;;1,150;;1,950;;2,370;;2,650;;2,900;e;
Uganda;;1,347;;1,666;;1,780;;2,023;;2,141;;
Ukraine ;;9,457;;10,515;;9,843;r;9,857;r;9,636;;
United Arab Emiratese;;18,000;;18,000;;15,400;r;15,700;r;16,000;;
United Kingdom;;7,882;;8,529;;7,952;;8,203;;8,958;;
United States, including Puerto Rico12;;67,202;;68,639;;74,934;;77,415;;83,188;;
Uruguay;;834;;968;;872;;850;r;820;;
Uzbekistan;;6,872;;6,698;;6,800;;6,990;;7,350;;
Venezuelae;;7,120;;7,760;;8,110;r;8,460;r;8,000;;
Vietnam ;;55,801;;58,271;;55,531;;57,516;r;60,507;;
Yemene;;1,864;3;951;3;2,760;r, 3;3,300;r;2,800;;
Zambiae;;1,127;3;1,230;r;1,580;r;1,810;r;2,200;;
Zimbabwee;;800;;1,000;;1,480;r;1,190;r;1,300;;
Totale;;3,280,000;r;3,630,000;r;3,820,000;;4,070,000;;4,180,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1Estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where presented unrounded, ;;;;;;;;;;;;
reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, ;;;;;;;;;;;;
including the European Cement Association.;;;;;;;;;;;;
2Includes data available through May 13, 2016. May include clinker exports for some countries.;;;;;;;;;;;;
3Reported figure.;;;;;;;;;;;;
4Data are for fiscal year ending June 30 of the following year.;;;;;;;;;;;;
5Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;;;
6Data are for fiscal year ending July 7 of the current year.;;;;;;;;;;;;
7Not included in Serbia data.;;;;;;;;;;;;
8Cement sales from Cimentos de Moçambique SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;;;
9Data for New Caledonia are for sales of domestically produced cement as a proxy for production.;;;;;;;;;;;;
10Does not include Kosovo data.;;;;;;;;;;;;
11Calculated based on reported production of clinker and imports and exports of cement and clinker.;;;;;;;;;;;;
12Portland and masonry cements only. Includes a small (less than 0.3% per year) component of double-counting where portland cement (not clinker);;;;;;;;;;;;
is consumed to make masonry cement; the precise amount of double-counting cannot be determined because of the involvement of ;;;;;;;;;;;;
portland cement stockpiles.;;;;;;;;;;;;
