TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2013;;2014;;2015;;2016;2017;
Ghana;;4,500;e;4,500;e;3,830;;4,000;3,800;
Greece;;5,283;r;5,105;r;5,289;r;6,540;6,246;
Guadeloupee;;300;;300;;300;;300;300;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2013;;2014;;2015;;2016;2017;
Guatemala;;2,970;;3,500;e;3,500;e;3,600;3,700;
Guinea;;377;;435;;500;e;500;500;
Guyana;;--;;2;e;100;e;400;400;
Haitie;;100;;200;;200;;200;200;
Hondurase;;1,700;;1,700;;1,700;;1,700;1,700;
Hong Kong;;1,768;;1,900;e;1,900;e;1,900;1,900;
Hungary;;1,350;r;1,530;r, e;1,570;r, e;1,280;1,660;
India;;231,000;r;240,000;r;260,000;r;280,000;281,000;
Indonesia;;56,690;;56,760;;59,850;;62,000;65,000;
Iran;;68,700;;66,700;;58,600;;55,000;55,000;
Iraqe;;12,000;;9,000;;10,000;;10,000;10,000;
Irelande;;2,000;;2,000;;2,500;;2,500;2,500;
Israel;;6,398;;6,603;;6,904;;7,150;6,361;
Italy;;23,100;;21,400;;21,000;r, e;19,300;20,000;
Jamaica;;825;;830;;808;;911;910;
Japan;;57,962;;57,913;;54,827;;53,255;55,195;
Jordan;;4,200;;4,400;;4,500;;4,800;5,060;
Kazakhstan;;7,072;;8,140;;8,729;;9,204;9,398;
Kenya;;5,059;;5,883;;6,353;;6,715;6,163;
Korea, North;;6,600;;6,680;r;6,700;r;7,080;6,840;
Korea, Republic of;;47,291;;47,048;;52,044;;56,747;56,500;
Kosovoe;;560;;480;r;590;;710;840;
Kuwaite;;3,000;;3,800;;4,200;;4,200;4,200;
Kyrgyzstan;;1,676;;1,730;;1,496;;1,302;1,503;
Laos;;2,156;r;2,201;r;3,099;r;3,398;3,870;
Latvia;;1,000;e;1,100;e;1,100;;1,000;500;
Lebanon;;5,831;;5,517;;5,043;r;5,247;5,149;
Liberia;;194;;295;;298;;241;285;
Libya;;2,000;e;7,000;;5,000;;4,300;5,650;
Lithuania;;1,070;;903;;980;;1,010;1,023;
Luxembourg;;1,093;r;1,058;r;1,080;;1,100;1,100;
Macau;;580;;590;e;600;e;--;--;
Macedonia;;730;;660;;672;;855;901;
Madagascar;;230;;240;e;240;e;240;240;
Malawi;;230;;270;;280;;420;420;
Malaysia;;22,860;r;24,280;r;24,710;r;22,330;22,000;
Mali;;440;;660;;630;;630;630;
Martiniquee;;150;;150;;150;;150;150;
Mauritania;;690;;870;;860;;880;901;
Mexico;;34,612;;36,597;;39,613;;40,577;41,601;
Moldova;;1,150;;1,220;r, e;1,045;r;975;1,116;
Mongolia;;259;;411;;410;;432;675;
Morocco;;16,870;;15,700;e;16,100;r, e;15,800;16,400;
Mozambique;;1,299;6;1,512;6;1,585;6;2,446;2,350;
Namibia;;662;;731;;796;;778;780;
Nepale;;2,990;;3,100;;3,900;r;4,500;4,900;
Netherlands;;2,050;;2,610;;2,260;;2,260;2,300;
New Caledonia;;119;;106;;112;;112;104;
New Zealande;;1,200;;1,100;;1,200;;900;360;
Nicaraguae;;650;;700;;700;;700;900;
Niger;;29;;21;;51;;51;51;
Nigeriae;;20,000;;20,000;;21,000;;22,000;19,000;
Norway;;1,700;;1,700;e;1,800;e;1,850;1,900;
Oman;;5,800;;5,100;e;5,300;e;5,500;5,300;
Pakistan;;31,460;;31,960;;33,232;r;37,020;38,900;
Panamae;;2,370;r;2,190;;2,200;;2,200;1,900;
Papua New Guineae;;200;;200;;200;;200;200;
Paraguaye;;960;;1,000;;1,200;;1,300;1,400;
Peru;;10,527;;10,676;;10,410;;10,094;9,980;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country or locality;;2013;;2014;;2015;;2016;2017;
Philippines;;20,150;;21,305;;24,050;;25,000;26,000;
Poland;;14,539;;15,534;;15,206;;15,782;17,230;
Portugal;;5,000;e;5,400;r;5,600;e;4,200;4,720;
Qatar;;5,335;;6,500;e;6,500;e;6,500;6,500;
Reunione;;400;;350;;250;;250;300;
Romania;;7,451;;7,621;;8,356;;8,038;8,509;
Russia;;66,503;;69,139;;62,104;;54,935;54,678;
Rwandae;;130;;140;;180;r;350;390;
Saudi Arabia;;56,238;;57,223;;61,900;;55,943;47,134;
Senegal;;5,191;;4,899;;4,615;;5,149;5,197;
Serbia;;1,592;;1,605;;1,654;;1,801;1,908;
Sierra Leone;;313;;336;;324;;320;324;
Slovakia;;3,121;;3,319;;3,466;;3,518;3,782;
Slovenia;;614;;706;;600;e;700;660;
South Africa;;12,168;;12,068;;12,992;r;13,000;14,000;
Spain;;13,736;;14,587;;15,000;e;15,000;14,500;
Sri Lanka;;1,929;;1,885;;2,287;;2,695;2,819;
Sudan;;3,538;;3,478;;3,708;;4,013;4,326;
Surinamee;;131;;130;r;160;r;150;150;
Swedene;;2,560;;2,500;;2,800;;2,800;2,800;
Switzerland;;4,740;;4,790;;4,390;;4,710;4,500;
Syria;;4,000;e;3,800;;4,000;;2,000;2,000;
Taiwan;;16,554;;14,592;;13,445;;12,126;10,876;
Tajikistan;;384;;1,150;;1,418;;1,361;3,100;
Tanzania;;2,346;;2,809;;3,140;r, e;4,071;4,200;
Thailand;;35,854;;36,150;r;36,216;;39,940;33,587;
Togo7;;1,800;e;1,700;e;1,500;;1,500;1,500;
Trinidad and Tobago;;802;;837;;840;;721;670;
Tunisia, portland:;;;;;;;;;;
Grey;;6,964;;8,676;;9,089;;8,495;7,650;
White;;540;;451;;418;;532;403;
Total;;7,504;;9,127;;9,516;;9,028;8,053;
Turkey;;71,337;;71,239;;71,419;;75,403;80,552;
Turkmenistan;;2,650;;2,900;e;3,300;e;3,500;3,600;
Uganda;;2,023;;2,141;;2,340;;2,494;2,498;
Ukraine;;9,857;;8,636;;8,511;;9,023;9,003;
United Arab Emiratese;;15,700;r;16,000;r;20,000;;22,000;23,000;
United Kingdom;;8,203;;8,958;;9,600;;9,400;9,500;
United States7;;77,415;;83,124;;84,940;;85,153;86,799;
Uruguay;;850;e;820;e;730;e;740;817;
Uzbekistan;;6,990;;7,350;;7,900;e;8,300;8,490;
Venezuela;;8,846;;7,940;;8,210;;7,300;8,030;
Vietnam;;57,516;;60,982;;67,645;r;74,457;78,843;
Yemen;;3,300;;3,100;e;3,100;e;2,400;2,000;
Zambiae;;1,810;;1,900;r;1,800;r;2,000;2,100;
Zimbabwe;;1,190;e;1,300;e;1,300;e;1,500;1,750;
Grand total;;4,030,000;r;4,150,000;r;4,070,000;r;4,150,000;4,080,000;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;
1Table includes data available through March 12, 2019. All data are reported unless otherwise noted. Grand totals and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;
2Even where presented unrounded, reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the European Cement Association. Data may include clinker exports for some countries and (or) localities.;;;;;;;;;;
3Production is based on a fiscal year with a starting date of July 1 of the year listed.;;;;;;;;;;
4Production is based on a fiscal year with a starting date of April 1 of the year listed.;;;;;;;;;;
5Production is based on a fiscal year with an ending date of July 7 of the year listed.;;;;;;;;;;
6Cement sales from Cimentos de Moçambiqu SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;
7Portland and masonry cements only. Includes a small (less than 0.3% per year) component of double counting where portland cement (not clinker) is consumed to make masonry cement; the exact quantity of double counting is unknown owing to cement stockpiles.;;;;;;;;;;
;;;;;;;;;;
