TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2004;;2005;;2006;;2007;;2008e;;
Hungary;;3,580;r;3,371;;3,724;r;3,552;r;3,544;3;
Iceland;;100;;132;;141;;90;e;100;;
Indiae;;130,000;;145,000; ;160,000; ;170,000;;177,000;;
Indonesia  ;;33,230;;33,917;;35,000;e;36,000;e;37,000;;
Iran  ;;32,198;;32,650;;35,300;r, e;40,000;r, e;44,400;3;
Iraqe;;2,500;;3,000;;3,500;;4,500;r;5,500;;
Ireland;;5,000;e;5,083;;4,981;;5,000;e;5,000;;
Israel ;;4,494;;5,093;;5,089;;5,000;e;5,000;;
Italy;;45,343;;40,284;;47,814;;47,542;r;43,030;3;
Jamaica;;808;;845;;761;;592;;600;;
Japan;;67,376;;69,629;;69,942;;67,685;;62,810;3;
Jordan;;3,908;;4,046;;3,967;;4,051;r;4,284;3;
Kazakhstan ;;3,662;;3,975;;4,880;;5,699;;5,223;3;
Kenya;;1,789;;2,123;;2,174;;2,546;r;3,135;3;
Korea, Northe;;5,630;;5,700;;6,160;;6,130;;6,130;;
Korea, Republic of;;56,955;;51,391;;53,971;;57,042;;53,900;3;
Kosovo6;;450;e;450;;450;e;470;;590;3;
Kuwait;;2,635;;2,145;;2,200;e;2,200;e;2,200;;
Kyrgyzstan;;870;;900;;1,211;;1,300;e;1,300;;
Laose;;250;;250;;400;;400;;400;;
Latviae;;284;3;280;;280;;300;;310;;
Lebanon ;;4,400;;4,600;;4,400;;4,900;e;5,000;;
Liberia;;121;;144;;155;;157;;160;;
Libyae;;3,600;;3,621;3;5,300;r;5,206;r, 3;6,000;;
Lithuania;;753;;832;;1,065;;1,105;;1,100;;
Luxembourg;;797;;760;;800;e;780;e;780;;
Macedonia ;;752;r;827;r;867;r;902;r;862;3;
Madagascare  ;;170;;150;;150;;270;3;270;;
Malawi;;120;;166;;188;;185;;240;;
Malaysia;;15,690;;17,860;;18,400;r, e;19,480;r;19,500;;
Martiniquee;;220;;220;;220;;220;;220;;
Mauritania;;300;;300;e;374;r;410;;322;3;
Mexico;;34,992; ;37,452;;40,362;;40,670;;47,609;3;
Moldova ;;440;;641;;837;;800;e;750;;
Mongolia;;62;;112;;141;;180;r;180;;
Moroccoe  ;;11,000;;11,000;;11,000;;11,000;;11,000;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2004;;2005;;2006;;2007;;2008e;;
Mozambiquee;;550;r;490;r;600;r;800;r;730;;
Nepale, 4;;285;;290;;295;;300;;285;;
Netherlands ;;2,380;;2,496;;2,790;;2,700;e;2,700;;
New Caledonia ;;115;;119;;133;;134;r, e;134;;
New Zealande;;1,110;3;1,100;;1,120;r, 3;1,100;;1,100;;
Nicaragua;;521;;530;;530;e;530;e;530;;
Nigere ;;54;;54;;54;;54;;54;;
Nigeriae;;2,300;;2,700;r;3,300;r;4,700;r;5,000;;
Norway;;1,420;;1,613;;1,695;;1,700;e;1,700;;
Oman;;2,621;;2,686;;3,611;;3,880;;4,000;;
Pakistane ;;15,000;;17,000;;20,652;3;30,000;r;39,000;;
Panama;;1,042;;1,050;;1,050;e;1,050;r, e;1,050;;
Paraguaye;;470;;550;;600;;600;;600;;
Peru;;4,604;r;5,107;r;5,782;r;6,231;r;6,922;3;
Philippines ;;13,346;;15,494;;12,033;;13,048;;13,000;;
Poland;;12,566;;12,646;;14,688;;17,120;r;17,207;3;
Portugal;;8,843;;8,438;;8,340;;12,631;r;10,000;;
Qatar;;1,400;;1,500;;1,568;;2,500;e;3,500;;
Réunione;;380;;380;;400;;400;;400;;
Romania;;6,239;;7,032;;8,253;;10,061;;10,703;3;
Russia ;;45,700;;48,500;;54,700;;59,900;;53,600;3;
Rwanda  ;;104;;101;;103;;103;;100;;
Saudi Arabia;;25,380;;26,064;;27,056;r;30,369;;31,823;3;
Senegal;;2,391;;2,623;;2,884;;3,152;;3,200;;
Serbia7;;2,240;r, 8;2,276;r, 8;2,565;;2,677;;2,843;3;
Serbia and Montenegro;;--;r, 8;--;r, 8;--;r;--;r;--;;
Sierra Leone;;180;;172;;234;;236;;236;;
Slovakia  ;;3,158;;3,499;;3,593;;3,718;;4,157;3;
Slovenia;;1,186;;1,114;;1,269;;1,300;r, e;1,300;;
South Africa, sales9;;10,297;;11,464;;12,658;;13,651;;13,341;3;
Spain, including Canary Islands;;45,593;;50,347;;54,033;;54,720;r;42,088;3;
Sri Lankae;;1,400;;1,500;;1,600;;1,700;;1,800;;
Sudan ;;307;;331;;202;;326;r;330;;
Surinamee;;65;;65;;65;;65;;65;;
Sweden;;2,588;;2,709;;2,952;;2,950;;2,900;;
Switzerland  ;;3,851;;4,022;;4,040;;4,000;e;4,000;;
Syria;;4,757;;4,700;e;4,804;r;5,104;r;5,336;3;
Taiwan;;19,050;;19,891;;19,294;;18,957;;17,330;3;
Tajikistan;;194;;253;;282;;313;r;300;;
Tanzania ;;1,281;;1,366;;1,432;;1,513;;1,600;;
Thailand ;;35,626;;37,872;;39,408;;35,668;;35,600;;
Togoe  ;;800;;800;;800; ;800;;800;;
Trinidad and Tobago;;768;;686;;883;;890;e;800;;
Tunisia;;6,662;;6,691;;6,932;;7,052;;7,559;3;
Turkey;;38,796;;42,787;;47,499;;49,553;;51,432;3;
Turkmenistane;;550;;650;;800;;900;;900;;
Ugandae;;559;3;630;;630;;650;;650;;
Ukraine ;;10,635;;12,183;;13,732;;15,000;;14,918;3;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2004;;2005;;2006;;2007;;2008e;;
United Arab Emiratese;;9,000;;9,800;3;12,600;r;14,000;r;16,000;;
United Kingdom;;11,405;;11,216;;12,119;;11,900;e;11,900;;
United States, including Puerto Rico10;;99,015;;100,903;;99,712;;96,850;;87,610;3;
Uruguaye;;620;r;620;r;620;r;620;r;620;;
Uzbekistan;;5,068;;5,068;;5,700;r, e;6,500;r;6,600;;
Venezuelae;;5,000;r;5,800;r;7,200;r;9,000;r;9,000;;
Vietnam ;;26,153;;30,808;;32,690;;36,400;e;37,000;;
Yemen;;1,546;;1,550;;1,470;;1,728;;3,000;;
Zambiae;;390;;435;;650;;650;;700;;
Zimbabwee;;500;;600;;700; ;400;;400;;
    Total;;2,190,000;;2,350,000;;2,610,000;r;2,810,000;r;2,840,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where presented unrounded, ;;;;;;;;;;;;
reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the European Cement;;;;;;;;;;;;
Association.;;;;;;;;;;;;
2Table includes data available through July 9, 2009. Data may include clinker exports for some countries.;;;;;;;;;;;;
3Reported figure.;;;;;;;;;;;;
4Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;;;
5Data for 2006–08 are for gray cement only; white cement output was likely to have been an additional 50,000 to 100,000 metric tons per year.;;;;;;;;;;;;
6Not included in Serbia data.;;;;;;;;;;;;
7Excludes Kosovo data.;;;;;;;;;;;;
8Montenegro and Serbia formally declared independence in June 2006 from each other and dissolved their union. Montenegro has no cement plants.;;;;;;;;;;;;
9Data have been adjusted to remove sales of cementitious materials other than finished cement. Material sales removed (mostly fly ash and ground ;;;;;;;;;;;;
granulated blast furnace slag) amounted, in metric tons, to: 2004—1,438,567; 2005—1,511,716; 2006—1,599,505; 2007—1,664,304; and ;;;;;;;;;;;;
2008—1,395,124.;;;;;;;;;;;;
10Portland and masonry cements only.;;;;;;;;;;;;
