TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
Qatare;;1,340; ;1,400;;1,400;;1,500;1,500;
Réunione;;380; ;380;;380;;380;400;
Romania;;5,680; ;5,992; ;6,239;;7,032;7,000;
Russia ;;37,700;  ;41,000; ;45,700;;48,500;54,700;
Rwanda  ;;101; ;110;r;104;;101;100;
Saudi Arabia;;23,287;r;24,147;r;25,380;r;26,064;27,053;
Senegal ;;1,653;;1,694;;2,391;r;2,623;2,884;
Serbia and Montenegro7;;2,396; ;2,075; ;2,240; ;2,276;2,565;
Sierra Leone;;144;;169;;180;;172;234;
See footnotes at end of table.;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
 ;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2002;;2003;;2004;;2005;2006e;
Singaporee;;200; ;150;3;--;;--;--;
Slovakia  ;;3,141; ;3,147; ;3,158; ;3,499;3,593;
Slovenia;;1,178;;1,370;;1,186;;1,114;1,269;
South Africa, sales8;;8,525; ;8,883;;12,348; ;13,000;13,000;
Spain, including Canary Islands;;42,417; ;44,747;;46,593;;50,347;54,033;
Sri Lanka ;;1,018; ;1,164; ;1,400;r;1,500;1,600;
Sudan ;;205; ;272; ;307;;331;202;
Surinamee;;65;;65;;65;;65;65;
Sweden;;2,642;;2,476;;2,588;;2,709;2,952;
Switzerland  ;;3,771; ;3,613;;3,851;;4,022;4,040;
Syria;;4,679;;4,824;;4,757;;4,700;4,700;
Taiwan;;19,363; ;18,474; ;19,050; ;19,891;19,294;
Tajikistan;;100; ;166;;194;;253;282;
Tanzania ;;1,026; ;1,186; ;1,281;;1,366;1,422;
Thailand ;;31,679; ;32,530; ;35,626; ;37,872;39,408;
Togoe  ;;800; ;800; ;800; ;800;800;
Trinidad and Tobago;;744; ;766; ;768;;686;883;
Tunisia;;6,022; ;6,038; ;6,662;r;6,691;6,932;
Turkey;;32,577;;35,077; ;38,796;;42,787;47,499;
Turkmenistane;;450;;450; ;550;r;650;800;
Uganda ;;506; ;507; ;559;;630;630;
Ukraine ;;7,142; ;8,900; ;10,600;e;12,183;13,732;
United Arab Emiratese;;7,000; ;8,000; ;9,000;r;9,800;9,800;
United Kingdom;;11,089;r;11,215;r;11,405;r;11,216;12,119;
United States, including Puerto Rico9;;91,266; ;94,329; ;99,015; ;100,903;99,712;
Uruguaye;;1,000; ;1,050;;1,050;;1,050;1,050;
Uzbekistane ;;4,000; ;4,000;;4,800;;5,068;5,000;
Venezuelae;;7,000; ;7,700; ;9,000;;10,000;11,000;
Vietnam ;;21,121; ;24,127;;26,153;r;30,808;32,690;
Yemen;;1,561;;1,541;;1,546; ;1,573;1,600;
Zambiae  ;;230;3;350;;480;;435;450;
Zimbabwee;;600; ;400; ;500;r;600;700;
    Total  ;;1,850,000;;2,030,000;;2,190,000;;2,350,000;2,560,000;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown.  Even where presented unrounded,   ;;;;;;;;;;
reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the ;;;;;;;;;;
European Cement Association.;;;;;;;;;;
2Table includes data available through February 27, 2008. Data may include clinker exports for some countries.;;;;;;;;;;
3Reported figure.;;;;;;;;;;
4Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;
5Data for 2002 and 2006 are for gray cement only; white cement output was likely to have been an additional 50,000 to 100,000 metric tons per year.  ;;;;;;;;;;
6Year ending July 7 of that stated.;;;;;;;;;;
7Serbia and Montenegro dissolved June 2006. Data are for Serbia only, as Montenegro has no cement plants.;;;;;;;;;;
8Data have been adjusted to remove sales of cementitious materials other than finished cement. Material sales removed (mostly fly ash and ground ;;;;;;;;;;
granulated blast furnace slag) amounted, in metric tons, to: 2002—1,099,044; 2003—1,190,000; 2004—1,436,000; 2005—1,440,000 (estimated); and ;;;;;;;;;;
2006—1,440,000.;;;;;;;;;;
9Portland and masonry cements only.;;;;;;;;;;
