TABLE 22;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY 1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2006;;2007;;2008;;2009;;2010e;;
Greece;;15,674;;16,667;;16,500;e;16,000;e;15,000;;
Guadeloupee;;230;;230;;230;;230;;230;;
Guatemalae;;2,400;r;2,500;;2,500;;1,500;;1,500;;
Haitie;;290;r;290;r;290;r;290;r;290;;
Honduras;;1,668;r;1,776;r;1,784;r;1,800;e;1,800;;
Hong Konge;;1,010;;1,000;;1,000;;1,000;;1,000;;
Hungary;;3,724;;3,552;;3,544;;3,200;e;3,200;;
Icelande;;141;3;140;r;138;r;138;r;138;;
Indiae;;160,000; ;170,000;;185,000;;205,000;;210,000;;
Indonesiae;;35,000;;36,000;;36,000;;22,195;r, 3;22,000;;
Irane;;35,300;;41,000;;44,400;3;50,000;;50,000;;
Iraqe;;3,500;;4,500;;6,453;3;8,500;;10,000;;
Irelande;;4,981;3;4,700;r;3,900;r;2,600;r;2,600;;
Israel ;;5,089;;5,000;e;4,818;;4,759;;5,139;3;;
Italy;;47,814;;47,542;;43,030;;36,317;;36,300;;
Jamaica;;761;;592;;725;;736;r;723;3;;
Japan;;69,942;;67,685;;62,810;;54,800;;51,526;3;;
Jordan;;3,967;;4,138;r;4,284;r;3,799;r;4,000;;
Kazakhstan ;;4,880;;5,699;;5,837;r;5,694;r;6,686;3;;
Kenya;;2,174;;2,546;;2,829;;3,320;;3,730;;
Korea, Northe;;6,160;;6,130;;6,415;3;6,400;;6,400;;
Korea, Republic of;;53,971;;52,182;;51,653;;50,127;;47,236;3;;
Kosovo6;;450;e;470;;590;;600;e;600;;
Kuwaite;;2,200;3;2,200;;2,600;r;2,000;;2,000;;
Kyrgyzstan;;1,060;;1,230;;1,218;;579;r;600;;
Laose;;400;;400;;400;;400;;400;;
Latviae;;280;;300;;310;;650;r;1,100;;
Lebanon ;;3,348;r;3,945;r;4,250;r;4,900;r;5,227;3;;
Liberia;;155;;157;;94;;71;r;67;3;;
Libya;;5,300;e;5,206;;5,509;;6,500;;6,000;;
Lithuania;;1,065;;1,105;r;1,076;r;583;r;834;3;;
Luxembourg;;901;r;1,081;r;1,091;r;1,000;r;1,078;3;;
Macedonia ;;924;;945;;916;;909;;910;;
Madagascare  ;;150;;270;3;270;;240;;270;;
Malawi;;188;;185;;240;e;240;e;240;;
Malaysia;;18,400;e;19,480;;19,629;r;19,457;r;19,500;;
Martiniquee;;220;;220;;220;;220;;220;;
Mauritania;;374;;410;;322;r;340;r;350;;
Mexico;;40,362;;38,757;r;37,139;r;35,160;;34,502;3;;
Moldovae;;837;3;800;;750;;700;;700;;
Mongolia;;141;;180;;269;;235;r;322;3;;
Morocco;;11,352;r;12,792;r;14,047;r;14,519;r;14,000;;
Mozambique7;;605;r;665;r;744;r;777;r;884;3;;
Nepale, 4;;295;;300;;295;;295;r;295;;
Netherlandse;;2,790;3;2,700;;2,700;;2,700;;2,700;;
New Caledonia ;;119;r;122;r;137;r;138;r;160;3;;
See footnotes at end of table.;;;;;;;;;;;;
;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY 1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2006;;2007;;2008;;2009;;2010e;;
New Zealande;;1,120;3;1,100;;1,100;;1,100;;1,200;;
Nicaraguae;;530;;530;;530;;530;;530;;
Nigere ;;62;r;42;r;40;r;40;;40;;
Nigeria;;3,300;;4,700;;5,000;;5,000;r;5,400;;
Norwaye;;1,695;3;1,700;;1,700;;1,650;;1,650;;
Oman;;3,611;;3,880;;3,991;;4,000;e;4,200;;
Pakistan;;20,652;;25,745;r;26,000;r, e;28,000;r, e;30,000;;
Panama;;1,050;e;1,050;e;1,843;r;1,679;r;1,700;;
Paraguaye;;600;;600;;600;;600;;600;;
Peru;;5,782;;6,231;;6,922;;6,862;;6,865;p, 3;;
Philippines8;;12,033;;13,048;;13,369;;14,865;;15,900;3;;
Poland;;14,688;;17,120;;17,207;;15,537;;15,521;3;;
Portugal;;8,340;;12,631;;12,650;;12,700;;12,750;3;;
Qatar;;1,568;;2,400;r, e;3,800;r, e;4,095;r;3,780;3;;
Réunione;;400;;400;;400;;375;;375;;
Romania;;8,253;;10,060;r;10,660;r;7,902;r;7,008;3;;
Russia ;;54,731;r;59,939;r;53,548;r;44,266;r;50,400;;
Rwanda  ;;103;;103;;103;;92;r;100;;
Saudi Arabia;;27,056;;30,369;;31,823;;36,500;r;42,300;3;;
Senegal;;2,884;;3,152;;3,084;;3,327;r;3,000;;
Serbia9;;2,565;;2,677;;2,843;;2,232;;2,300;;
Sierra Leone;;234;;236;;254;;236;r;230;;
Slovakia  ;;3,593;;3,718;;4,157;;3,011;;2,888;3;;
Sloveniae;;1,269;3;1,300;;1,300;;1,000;;1,000;;
South Africa, sales;;12,658;;13,651;;13,473;r;11,784;r;13,000;;
Spain, including Canary Islands;;54,033;;54,720;;42,088;;29,505;;23,473;3;;
Sri Lankae;;1,600;;1,700;;1,800;;1,900;;2,000;;
Sudan ;;202;;326;;246;r;622;r;962;3;;
Surinamee;;65;;65;;65;;65;;65;;
Sweden;;2,952;;2,950;;2,900;e;2,950;e;2,900;;
Switzerlande;;4,040;3;4,000;;4,000;;4,000;;4,000;;
Syria;;4,804;;5,104;;5,336;;5,605;;6,000;3;;
Taiwan;;19,294;;18,957;;17,330;;15,918;;16,301;3;;
Tajikistan;;282;;313;;190;;195;r;288;3;;
Tanzania ;;1,370;;1,630;;1,756;;1,941;r;2,000;;
Thailand ;;39,408;;35,668;;31,651;;33,562;r;36,496;3;;
Togoe  ;;800; ;800;;800;;800;;800;;
Trinidad and Tobago;;883;;902;r;958;;870;r;800;;
Tunisia;;6,932;;7,052;;7,559;;7,511;r;7,500;;
Turkey;;47,499;;49,553;;54,027;;53,973;;62,737;3;;
Turkmenistan;;921;r;941;r;1,026;r;1,100;r;1,100;;
Ugandae;;630;;650;;650;;650;;650;;
Ukraine ;;13,732;;15,000;;14,918;;9,496;;9,456;3;;
United Arab Emirates;;13,000;r, e;16,000;r, e;21,885;;18,997;;18,000;;
United Kingdom;;11,471;r;11,887;;10,071;;7,623;r;7,600;;
United States, including Puerto Rico10;;99,712;;96,850;;87,610;;64,843;r;67,176;3;;
Uruguaye;;620;;620;;620;;620;;620;;
Uzbekistane;;5,700;;6,500;3;6,600;;6,850;r;6,872;3;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 22—Continued;;;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY 1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country;;2006;;2007;;2008;;2009;;2010e;;
Venezuelae;;11,000;r;11,000;r;11,000;r;11,000;r;11,000;;
Vietnam ;;32,690;;37,102;;40,009;;47,900;;50,000;;
Yemen;;1,470;;1,728;;2,111;r;2,118;r;3,000;;
Zambiae;;550;r;540;r;560;r;880;r;1,000;;
Zimbabwee;;700; ;400;;400;;700;r;700;;
Totale;;2,620,000;r;2,810,000;;2,850,000;;3,030,000;r;3,310,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even where presented ;;;;;;;;;;;;
unrounded, reported data are thought to be accurate to no more than three significant digits. Data are from a variety of sources, including the ;;;;;;;;;;;;
European Cement Association.;;;;;;;;;;;;
2Table includes data available through July 23, 2011. Data may include clinker exports for some countries.;;;;;;;;;;;;
3Reported figure.;;;;;;;;;;;;
4Data are for fiscal year ending March 31 of the following year.;;;;;;;;;;;;
5Data for 2006–08 are for gray cement only; white cement output was likely to have been an additional 50,000 to 100,000 tons per year.;;;;;;;;;;;;
6Not included in Serbia data.;;;;;;;;;;;;
7Cement sales from Cimentos de Moçambique SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;;;
8Philippines reports cement production, in bags: 2006—300,822,821; 2007—334,228,355; 2008—378,214,634; 2009—371,628,730; ;;;;;;;;;;;;
 and 2010—375,000,000 (estimated).;;;;;;;;;;;;
9Excludes Kosovo data.;;;;;;;;;;;;
10Portland and masonry cements only. Includes a small (less than 0.3% per year) component of double-counting where portland cement ;;;;;;;;;;;;
(not clinker) is consumed to make masonary cement; the precise amount of double-counting can not be determined because of the ;;;;;;;;;;;;
involvement of portland cement stockpiles.;;;;;;;;;;;;
