TABLE 22;;;;;;;;;;
HYDRAULIC CEMENT: WORLD PRODUCTION, BY COUNTRY1, 2;;;;;;;;;;
;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;
;;;;;;;;;;
Country;;2011;;2012;;2013;;2014;2015;
1World totals and estimated data are rounded to no more than three significant digits; may not add to totals shown. Even ;;;;;;;;;;
where presented unrounded, reported data are thought to be accurate to no more than three significant digits. Data are from ;;;;;;;;;;
a variety of sources, including the European Cement Association.;;;;;;;;;;
2Includes data available through February 8, 2018. May include clinker exports for some countries.;;;;;;;;;;
3Data are for fiscal year starting July 1 of year shown.;;;;;;;;;;
4Data are for fiscal year starting April 1 of year shown.;;;;;;;;;;
5Reported figure.;;;;;;;;;;
6Data are for fiscal year ending July 7 of year shown.;;;;;;;;;;
7Breakout, based on capacities, between Guadaloupe and Martinique.;;;;;;;;;;
8Cement sales from Cimentos de Moçambique SARL (Sociedade Anónima de Responsabilidade Limitada) only.;;;;;;;;;;
9Data for New Caledonia are for sales of domestically produced cement as a proxy for production.;;;;;;;;;;
10Calculated based on reported production of clinker and imports and exports of cement and clinker.;;;;;;;;;;
11Portland and masonry cements only. Includes a small (less than 0.3% per year) component of double-counting where ;;;;;;;;;;
portland cement (not clinker) is consumed to make masonry cement; the precise amount of double-counting cannot be ;;;;;;;;;;
determined because of the involvement of portland cement stockpiles.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
