Year;Sex;Category;Name;Birthdate;Age;BirthPlace;County;BirthPlaceNow;Coords
1974;M;literature;Eyvind Johnson;[1900];1974;Svartbjörnsbyn;Sweden;Svartbjörnsbyn, Sweden;NOK[ZERO_RESULTS]
1974;M;literature;Harry Martinson;[1904];1974;Jämshög;Sweden;Jämshög, Sweden;56.2403103,14.5308835
1974;M;medicine;Albert Claude;[1898];1974;Longlier;Belgium;Longlier, Belgium;49.85544,5.45288
1974;M;medicine;Christian de Duve;[1917];1974;Thames Ditton;United Kingdom;Thames Ditton, United Kingdom;51.389686,-0.339189
1974;M;medicine;George E. Palade;[1912];1974;Iasi;Romania;Iasi, Romania;47.1584549,27.6014418
1974;M;peace;Eisaku Sato;[1901];1974;Tabuse;Japan;Tabuse, Japan;33.9547026,132.0413731
1974;M;peace;Seán MacBride;[1904];1974;Paris;France;Paris, France;33.9547026,132.0413731
1974;M;physics;Antony Hewish;[1924];1974;Fowey;United Kingdom;Fowey, United Kingdom;50.33499,-4.636525
1974;M;physics;Sir Martin Ryle;[1918];1974;Brighton;United Kingdom;Brighton, United Kingdom;50.82253,-0.137163
1975;M;chemistry;John Warcup Cornforth;[1917];1975;Sydney;Australia;Sydney, Australia;-33.8688197,151.2092955
1975;M;chemistry;Vladimir Prelog;[1906];1975;Sarajevo;Austria-Hungary;Sarajevo, Bosnia and Herzegovina;43.8562586,18.4130763
1975;M;economics;Leonid Vitaliyevich Kantorovich;[1912];1975;St. Petersburg;Russian Empire;St. Petersburg, Russian Empire;59.9358282,30.3206509
1975;M;economics;Tjalling C. Koopmans;[1910];1975;s Graveland;the Netherlands;s Graveland, the Netherlands;52.2446819,5.1314775
1975;M;literature;Eugenio Montale;[1896];1975;Genoa;Italy;Genoa, Italy;44.4056499,8.946256
1975;M;medicine;David Baltimore;[1938];1975;New York NY;USA;New York NY, USA;44.4056499,8.946256
1975;M;medicine;Howard Martin Temin;[1934];1975;Philadelphia PA;USA;Philadelphia PA, USA;39.9525839,-75.1652215
1975;M;medicine;Renato Dulbecco;[1914];1975;Catanzaro;Italy;Catanzaro, Italy;38.9097919,16.5876516
1975;M;peace;Andrei Dmitrievich Sakharov;[1921];1975;Moscow;Russia;Moscow, Russia;38.9097919,16.5876516
1975;M;physics;Aage Niels Bohr;[1922];1975;Copenhagen;Denmark;Copenhagen, Denmark;38.9097919,16.5876516
1975;M;physics;Ben Roy Mottelson;[1926];1975;Chicago IL;USA;Chicago IL, USA;38.9097919,16.5876516
1975;M;physics;Leo James Rainwater;[1917];1975;Council ID;USA;Council ID, USA;44.7298876,-116.4381985
1976;M;chemistry;William N. Lipscomb;[1919];1976;Cleveland OH;USA;Cleveland OH, USA;44.7298876,-116.4381985
1976;M;economics;Milton Friedman;[1912];1976;Brooklyn NY;USA;Brooklyn NY, USA;44.7298876,-116.4381985
1976;M;literature;Saul Bellow;[1915];1976;Montreal;Canada;Montreal, Canada;45.5016889,-73.567256
1976;M;medicine;Baruch S. Blumberg;[1925];1976;New York NY;USA;New York NY, USA;45.5016889,-73.567256
1976;M;medicine;D. Carleton Gajdusek;[1923];1976;Yonkers NY;USA;Yonkers NY, USA;45.5016889,-73.567256
1976;F;peace;Betty Williams;[1943];1976;Belfast;Northern Ireland;Belfast, Northern Ireland;54.597285,-5.93012
1976;F;peace;Mairead Corrigan;[1944];1976;Belfast;Northern Ireland;Belfast, Northern Ireland;54.597285,-5.93012
1976;M;physics;Burton Richter;[1931];1976;Brooklyn NY;USA;Brooklyn NY, USA;54.597285,-5.93012
1976;M;physics;Samuel Chao Chung Ting;[1936];1976;Ann Arbor MI;USA;Ann Arbor MI, USA;54.597285,-5.93012
1977;M;chemistry;Ilya Prigogine;[1917];1977;Moscow;Russia;Moscow, Russia;54.597285,-5.93012
1977;M;economics;Bertil Ohlin;[1899];1977;Klippan;Sweden;Klippan, Sweden;56.1348998,13.1290409
1977;M;economics;James E. Meade;[1907];1977;Swanage;United Kingdom;Swanage, United Kingdom;50.608277,-1.960769
1977;M;literature;Vicente Aleixandre;[1898];1977;Sevilla;Spain;Sevilla, Spain;37.3890924,-5.9844589
1977;M;medicine;Andrew V. Schally;[1926];1977;Wilno;Poland;Vilnius, Lithuania;54.6871555,25.2796514
1977;M;medicine;Roger Guillemin;[1924];1977;Dijon;France;Dijon, France;47.322047,5.04148
1977;F;medicine;Rosalyn Yalow;[1921];1977;New York NY;USA;New York NY, USA;47.322047,5.04148
1977;NA;peace;Amnesty International;[1961];1977;;United Kingdom;, United Kingdom;47.322047,5.04148
1977;M;physics;John Hasbrouck van Vleck;[1899];1977;Middletown CT;USA;Middletown CT, USA;41.5623209,-72.6506488
1977;M;physics;Philip Warren Anderson;[1923];1977;Indianapolis IN;USA;Indianapolis IN, USA;39.768403,-86.158068
1977;M;physics;Sir Nevill Francis Mott;[1905];1977;Leeds;United Kingdom;Leeds, United Kingdom;53.8007554,-1.5490774
1978;M;chemistry;Peter D. Mitchell;[1920];1978;Mitcham;United Kingdom;Mitcham, United Kingdom;51.402869,-0.166709
1978;M;economics;Herbert A. Simon;[1916];1978;Milwaukee WI;USA;Milwaukee WI, USA;43.0389025,-87.9064736
1978;M;literature;Isaac Bashevis Singer;[1904];1978;Leoncin;Russian Empire;Leoncin, Poland;52.3937748,20.5341061
1978;M;medicine;Daniel Nathans;[1928];1978;Wilmington DE;USA;Wilmington DE, USA;39.7390721,-75.5397878
1978;M;medicine;Hamilton O. Smith;[1931];1978;New York NY;USA;New York NY, USA;39.7390721,-75.5397878
1978;M;medicine;Werner Arber;[1929];1978;Gränichen;Switzerland;Gränichen, Switzerland;47.3621015,8.0980292
1978;M;peace;Menachem Begin;[1913];1978;Brest Litovsk;Russian Empire;Brest Litovsk, Belarus;52.0976214,23.7340503
1978;M;peace;Mohamed Anwar al-Sadat;[1918];1978;Mit Abu al-Kawm;Egypt;Mit Abu al-Kawm, Egypt;30.6362958,30.91351
1978;M;physics;Arno Allan Penzias;[1933];1978;Munich;Germany;Munich, Germany;30.6362958,30.91351
1978;M;physics;Pyotr Leonidovich Kapitsa;[1894];1978;Kronshtadt;Russian Empire;Kronshtadt, Russian Empire;NOK[ZERO_RESULTS]
1978;M;physics;Robert Woodrow Wilson;[1936];1978;Houston TX;USA;Houston TX, USA;29.7604267,-95.3698028
1979;M;chemistry;Georg Wittig;[1897];1979;Berlin;Germany;Berlin, Germany;29.7604267,-95.3698028
1979;M;chemistry;Herbert C. Brown;[1912];1979;London;United Kingdom;London, United Kingdom;29.7604267,-95.3698028
1979;M;economics;Sir Arthur Lewis;[1915];1979;Castries;British West Indies;Castries, Saint Lucia;14.0101094,-60.9874687
1979;M;economics;Theodore W. Schultz;[1902];1979;Arlington SD;USA;Arlington SD, USA;44.3644133,-97.1331212
1979;M;literature;Odysseus Elytis;[1911];1979;Iráklion;Crete;Iráklion, Greece;35.3387352,25.1442126
1979;M;medicine;Allan M. Cormack;[1924];1979;Johannesburg;South Africa;Johannesburg, South Africa;-26.2041028,28.0473051
1979;M;medicine;Godfrey N. Hounsfield;[1919];1979;Newark;United Kingdom;Newark, United Kingdom;53.0700391,-0.80657
1979;F;peace;Mother Teresa;[1910];1979;Uskup;Ottoman Empire;Skopje, Republic of Macedonia;41.9973462,21.4279956
1979;M;physics;Abdus Salam;[1926];1979;Jhang ;India;Jhang, Pakistan;31.2780683,72.3316761
1979;M;physics;Sheldon Lee Glashow;[1932];1979;New York NY;USA;New York NY, USA;31.2780683,72.3316761
1979;M;physics;Steven Weinberg;[1933];1979;New York NY;USA;New York NY, USA;31.2780683,72.3316761
1980;M;chemistry;Frederick Sanger;[1918];1980;Rendcombe;United Kingdom;Rendcombe, United Kingdom;31.2780683,72.3316761
1980;M;chemistry;Paul Berg;[1926];1980;New York NY;USA;New York NY, USA;31.2780683,72.3316761
1980;M;chemistry;Walter Gilbert;[1932];1980;Boston MA;USA;Boston MA, USA;31.2780683,72.3316761
1980;M;economics;Lawrence R. Klein;[1920];1980;Omaha NE;USA;Omaha NE, USA;41.2565369,-95.9345034
1980;M;literature;Czeslaw Milosz;[1911];1980;Šateiniai;Russian Empire;Šateiniai, Lithuania;55.3950409,24.034183
1980;M;medicine;Baruj Benacerraf;[1920];1980;Caracas;Venezuela;Caracas, Venezuela;10.4805937,-66.9036063
1980;M;medicine;George D. Snell;[1903];1980;Bradford MA;USA;Bradford MA, USA;42.7695348,-71.0758905
1980;M;medicine;Jean Dausset;[1916];1980;Toulouse;France;Toulouse, France;43.604652,1.444209
1980;M;peace;Adolfo Pérez Esquivel;[1931];1980;Buenos Aires;Argentina;Buenos Aires, Argentina;43.604652,1.444209
1980;M;physics;James Watson Cronin;[1931];1980;Chicago IL;USA;Chicago IL, USA;43.604652,1.444209
1980;M;physics;Val Logsdon Fitch;[2023];1980;Merriman NE;USA;Merriman NE, USA;42.9197225,-101.7007033
1981;M;chemistry;Kenichi Fukui;[1918];1981;Nara;Japan;Nara, Japan;34.6850869,135.8050002
1981;M;chemistry;Roald Hoffmann;[1937];1981;Zloczov;Poland;Zloczov, Poland;51.4171963,18.6035594
1981;M;economics;James Tobin;[1918];1981;Champaign IL;USA;Champaign IL, USA;40.1164204,-88.2433829
1981;M;literature;Elias Canetti;[1905];1981;Ruse;Bulgaria;Ruse, Bulgaria;43.8355713,25.9656554
1981;M;medicine;David H. Hubel;[1926];1981;Windsor ON;Canada;Windsor ON, Canada;42.3149367,-83.0363633
1981;M;medicine;Roger W. Sperry;[1913];1981;Hartford CT;USA;Hartford CT, USA;41.7658043,-72.6733723
1981;M;medicine;Torsten N. Wiesel;[1924];1981;Uppsala;Sweden;Uppsala, Sweden;59.8585638,17.6389267
1981;NA;peace;Office of the United Nations High Commissioner for Refugees (UNHCR);[1951];1981;;Switzerland;, Switzerland;59.8585638,17.6389267
1981;M;physics;Arthur Leonard Schawlow;[1921];1981;Mount Verno NY;USA;Mount Verno NY, USA;40.9125992,-73.8370786
1981;M;physics;Kai M. Siegbahn;[1918];1981;Lund;Sweden;Lund, Sweden;40.9125992,-73.8370786
1981;M;physics;Nicolaas Bloembergen;[2020];1981;Dordrecht;the Netherlands;Dordrecht, the Netherlands;51.8132979,4.6900929
1982;M;chemistry;Aaron Klug;[1926];1982;Zelvas;Lithuania;Zelvas, Lithuania;55.2186369,25.1004961
1982;M;economics;George J. Stigler;[1911];1982;Renton WA;USA;Renton WA, USA;47.4828776,-122.2170661
1982;M;literature;Gabriel García Márquez;[2028];1982;Aracataca;Colombia;Aracataca, Colombia;10.591925,-74.186103
1982;M;medicine;Bengt I. Samuelsson;[1934];1982;Halmstad;Sweden;Halmstad, Sweden;56.6743748,12.8577885
1982;M;medicine;John R. Vane;[2027];1982;Tardebigg;United Kingdom;Tardebigg, United Kingdom;52.3226928,-2.0068986
1982;M;medicine;Sune K. Bergström;[1916];1982;Stockholm;Sweden;Stockholm, Sweden;52.3226928,-2.0068986
1982;M;peace;Alfonso García Robles;[1911];1982;Zamora;Mexico;Zamora, Mexico;19.9901766,-102.2834075
1982;F;peace;Alva Myrdal;[1902];1982;Uppsala;Sweden;Uppsala, Sweden;19.9901766,-102.2834075
1982;M;physics;Kenneth G. Wilson;[1936];1982;Waltham MA;USA;Waltham MA, USA;42.3764852,-71.2356113
1983;M;chemistry;Henry Taube;[1915];1983;Neudorf;Canada;Neudorf, Canada;50.7131318,-103.0121315
1983;M;economics;Gerard Debreu;[1921];1983;Calais;France;Calais, France;50.95129,1.858686
1983;M;literature;William Golding;[1911];1983;St. Columb Minor;United Kingdom;St. Columb Minor, United Kingdom;50.417808,-5.045908
1983;F;medicine;Barbara McClintock;[1902];1983;Hartford CT;USA;Hartford CT, USA;50.417808,-5.045908
1983;M;peace;Lech Walesa;[1943];1983;Popowo;Poland;Popowo, Poland;52.6870511,19.4243781
1983;M;physics;Subramanyan Chandrasekhar;[1910];1983;Lahore;India;Lahore, Pakistan;31.5203696,74.3587473
1983;M;physics;William Alfred Fowler;[1911];1983;Pittsburgh PA;USA;Pittsburgh PA, USA;31.5203696,74.3587473
1984;M;chemistry;Robert Bruce Merrifield;[1921];1984;Fort Worth TX;USA;Fort Worth TX, USA;32.7554883,-97.3307658
1984;M;economics;Richard Stone;[1913];1984;London;United Kingdom;London, United Kingdom;32.7554883,-97.3307658
1984;M;literature;Jaroslav Seifert;[1901];1984;Prague;Austria-Hungary;Prague, Czech Republic;32.7554883,-97.3307658
1984;M;medicine;César Milstein;[1927];1984;Bahia Blanca;Argentina;Bahia Blanca, Argentina;-38.7183177,-62.2663478
1984;M;medicine;Georges J.F. Köhler;[1946];1984;Munich;Germany;Munich, Germany;-38.7183177,-62.2663478
1984;M;medicine;Niels K. Jerne;[1911];1984;London;United Kingdom;London, United Kingdom;-38.7183177,-62.2663478
1984;M;peace;Desmond Mpilo Tutu;[1931];1984;Klerksdorp;South Africa;Klerksdorp, South Africa;-26.8598225,26.6317514
1984;M;physics;Carlo Rubbia;[1934];1984;Gorizia;Italy;Gorizia, Italy;45.9401812,13.6201754
1984;M;physics;Simon van der Meer;[1925];1984;the Hague;the Netherlands;the Hague, the Netherlands;45.9401812,13.6201754
1985;M;chemistry;Herbert A. Hauptman;[1917];1985;New York NY;USA;New York NY, USA;45.9401812,13.6201754
1985;M;chemistry;Jerome Karle;[1918];1985;New York NY;USA;New York NY, USA;45.9401812,13.6201754
1985;M;economics;Franco Modigliani;[1918];1985;Rome;Italy;Rome, Italy;45.9401812,13.6201754
1985;M;literature;Claude Simon;[1913];1985;Tananarive;Madagascar;Antananarivo, Madagascar;-18.8791902,47.5079055
1985;M;medicine;Joseph L. Goldstein;[1940];1985;Sumter SC;USA;Sumter SC, USA;33.9204354,-80.3414693
1985;M;medicine;Michael S. Brown;[1941];1985;New York NY;USA;New York NY, USA;33.9204354,-80.3414693
1985;NA;peace;International Physicians for the Prevention of Nuclear War;[1980];1985;MA;USA;MA, USA;42.4072107,-71.3824374
1985;M;physics;Klaus von Klitzing;[1943];1985;Schroda;German-occupied Poland;Schroda, German-occupied Poland;NOK[ZERO_RESULTS]
1986;M;chemistry;Dudley R. Herschbach;[1932];1986;San José CA;USA;San José CA, USA;37.3382082,-121.8863286
1986;M;chemistry;John C. Polanyi;[1929];1986;Berlin;Germany;Berlin, Germany;37.3382082,-121.8863286
1986;M;chemistry;Yuan T. Lee;[1936];1986;Hsinchu;Taiwan;Hsinchu, Taiwan;24.8138287,120.9674798
1986;M;economics;James M. Buchanan Jr.;[1919];1986;Murfreesboro TN;USA;Murfreesboro TN, USA;35.8456213,-86.39027
1986;M;literature;Wole Soyinka;[1934];1986;Abeokuta;Nigeria;Abeokuta, Nigeria;7.147502,3.3619356
1986;F;medicine;Rita Levi-Montalcini;[1909];1986;Turin;Italy;Turin, Italy;45.070312,7.6868565
1986;M;medicine;Stanley Cohen;[1922];1986;Brooklyn NY;USA;Brooklyn NY, USA;45.070312,7.6868565
1986;M;peace;Elie Wiesel;[1928];1986;Sighet;Romania;Sighet, Romania;47.927707,23.8976506
1986;M;physics;Ernst Ruska;[1906];1986;Heidelberg;Germany;Heidelberg, Germany;49.3987524,8.6724335
1986;M;physics;Gerd Binnig;[1947];1986;Frankfurt-on-the-Main;West Germany;Frankfurt-on-the-Main, West Germany;50.1109221,8.6821267
1986;M;physics;Heinrich Rohrer;[1933];1986;Buchs;Switzerland;Buchs, Switzerland;47.1655403,9.4708594
1987;M;chemistry;Charles J. Pedersen;[1904];1987;Pusan;Korea;Pusan, Korea;35.1795543,129.0756416
1987;M;chemistry;Donald J. Cram;[1919];1987;Chester VT;USA;Chester VT, USA;43.2628476,-72.5951082
1987;M;chemistry;Jean-Marie Lehn;[1939];1987;Rosheim;France;Rosheim, France;48.496665,7.470529
1987;M;economics;Robert M. Solow;[1924];1987;Brooklyn NY;USA;Brooklyn NY, USA;48.496665,7.470529
1987;M;literature;Joseph Brodsky;[1940];1987;Leningrad;USSR;Saint Petersburg, Russia;59.9342802,30.3350986
1987;M;medicine;Susumu Tonegawa;[1939];1987;Nagoya;Japan;Nagoya, Japan;35.1814464,136.906398
1987;M;peace;Oscar Arias Sánchez;[1941];1987;Heredia;Costa Rica;Heredia, Costa Rica;9.9981413,-84.1197643
1987;M;physics;J. Georg Bednorz;[1950];1987;Neuenkirchen;West Germany;Neuenkirchen, West Germany;52.2394623,7.3714554
1987;M;physics;K. Alexander Müller;[1927];1987;Basel;Switzerland;Basel, Switzerland;47.5595986,7.5885761
1988;M;chemistry;Hartmut Michel;[1948];1988;Ludwigsburg;West Germany;Ludwigsburg, West Germany;48.8940624,9.195464
1988;M;chemistry;Johann Deisenhofer;[1943];1988;Zusamaltheim;Germany;Zusamaltheim, Germany;48.5313776,10.6360613
1988;M;chemistry;Robert Huber;[1937];1988;Munich;Germany;Munich, Germany;48.5313776,10.6360613
1988;M;economics;Maurice Allais;[1911];1988;Paris;France;Paris, France;48.5313776,10.6360613
1988;M;literature;Naguib Mahfouz;[1911];1988;Cairo;Egypt;Cairo, Egypt;48.5313776,10.6360613
1988;M;medicine;George H. Hitchings;[1905];1988;Hoquiam WA;USA;Hoquiam WA, USA;46.9809247,-123.8893348
1988;F;medicine;Gertrude B. Elion;[1918];1988;New York NY;USA;New York NY, USA;46.9809247,-123.8893348
1988;M;medicine;Sir James W. Black;[1924];1988;Uddingston;Scotland;Uddingston, Scotland;55.815735,-4.0791271
1988;NA;peace;United Nations Peacekeeping Forces;[1948];1988;NY;USA;NY, USA;55.815735,-4.0791271
1988;M;physics;Jack Steinberger;[1921];1988;Bad Kissingen;Germany;Bad Kissingen, Germany;50.2007337,10.080392
1988;M;physics;Leon M. Lederman;[1922];1988;New York NY;USA;New York NY, USA;50.2007337,10.080392
1988;M;physics;Melvin Schwartz;[1932];1988;New York NY;USA;New York NY, USA;50.2007337,10.080392
1989;M;chemistry;Sidney Altman;[1939];1989;Montreal;Canada;Montreal, Canada;50.2007337,10.080392
1989;M;chemistry;Thomas R. Cech;[1947];1989;Chicago IL;USA;Chicago IL, USA;50.2007337,10.080392
1989;M;economics;Trygve Haavelmo;[1911];1989;Skedsmo;Norway;Skedsmo, Norway;59.9929184,11.0421988
1989;M;literature;Camilo José Cela;[1916];1989;Iria Flavia;Spain;Iria Flavia, Spain;42.7459331,-8.6555896
1989;M;medicine;Harold E. Varmus;[1939];1989;Oceanside NY;USA;Oceanside NY, USA;40.6387141,-73.6401296
1989;M;medicine;J. Michael Bishop;[1936];1989;York PA;USA;York PA, USA;39.9625984,-76.727745
1989;M;peace;The 14th Dalai Lama (Tenzin Gyatso);[1935];1989;Taktser;Tibet;Taktser, Tibet;36.377869,101.8655392
1989;M;physics;Hans G. Dehmelt;[1922];1989;Görlitz;Germany;Görlitz, Germany;51.1506269,14.968707
1989;M;physics;Norman F. Ramsey;[1915];1989;Washington DC;USA;Washington DC, USA;38.9071923,-77.0368707
1989;M;physics;Wolfgang Paul;[1913];1989;Lorenzkirch;Germany;Lorenzkirch, Germany;51.3560031,13.243844
1990;M;chemistry;Elias James Corey;[1928];1990;Methuen MA;USA;Methuen MA, USA;42.7262016,-71.1908924
1990;M;economics;Harry M. Markowitz;[1927];1990;Chicago IL;USA;Chicago IL, USA;42.7262016,-71.1908924
1990;M;economics;Merton H. Miller;[1923];1990;Boston MA;USA;Boston MA, USA;42.7262016,-71.1908924
1990;M;economics;William F. Sharpe;[1934];1990;Boston MA;USA;Boston MA, USA;42.7262016,-71.1908924
1990;M;literature;Octavio Paz;[1914];1990;Mexico City;Mexico;Mexico City, Mexico;19.4326077,-99.133208
1990;M;medicine;E. Donnall Thomas;[2020];1990;Mart TX;USA;Mart TX, USA;31.5423911,-96.8336015
1990;M;medicine;Joseph E. Murray;[1919];1990;Milford MA;USA;Milford MA, USA;42.1398577,-71.5163049
1990;M;peace;Mikhail Sergeyevich Gorbachev;[1931];1990;Privolnoye;USSR;Privolnoye, USSR;NOK[ZERO_RESULTS]
1990;M;physics;Henry W. Kendall;[1926];1990;Boston MA;USA;Boston MA, USA;NOK[ZERO_RESULTS]
1990;M;physics;Jerome I. Friedman;[1930];1990;Chicago IL;USA;Chicago IL, USA;NOK[ZERO_RESULTS]
1990;M;physics;Richard E. Taylor;[1929];1990;Medicine Hat Alberta;Canada;Medicine Hat Alberta, Canada;50.0405486,-110.6764257
1991;M;chemistry;Richard R. Ernst;[1933];1991;Winterthur;Switzerland;Winterthur, Switzerland;47.4988196,8.7236889
1991;M;economics;Ronald H. Coase;[1910];1991;Willesden;United Kingdom;Willesden, United Kingdom;51.548961,-0.239096
1991;F;literature;Nadine Gordimer;[1923];1991;Springs;South Africa;Springs, South Africa;-26.2607243,28.4630376
1991;M;medicine;Bert Sakmann;[1942];1991;Stuttgart;Germany;Stuttgart, Germany;-26.2607243,28.4630376
1991;M;medicine;Erwin Neher;[1944];1991;Landsberg;Germany;Landsberg, Germany;48.050783,10.8703515
1991;F;peace;Aung San Suu Kyi;[1945];1991;Rangoon;Burma;Yangon, Myanmar;16.8660694,96.195132
1991;M;physics;Pierre-Gilles de Gennes;[1932];1991;Paris;France;Paris, France;16.8660694,96.195132
1992;M;chemistry;Rudolph A. Marcus;[1923];1992;Montreal;Canada;Montreal, Canada;16.8660694,96.195132
1992;M;economics;Gary S. Becker;[1930];1992;Pottsville PA;USA;Pottsville PA, USA;40.6856456,-76.195499
1992;M;literature;Derek Walcott;[1930];1992;Castries;Saint Lucia;Castries, Saint Lucia;40.6856456,-76.195499
1992;M;medicine;Edmond H. Fischer;[1920];1992;Shanghai;China;Shanghai, China;40.6856456,-76.195499
1992;M;medicine;Edwin G. Krebs;[1918];1992;Lansing IA;USA;Lansing IA, USA;43.3609053,-91.218768
1992;F;peace;Rigoberta Menchú Tum;[1959];1992;Aldea Chimel;Guatemala;Aldea Chimel, Guatemala;NOK[ZERO_RESULTS]
1992;M;physics;Georges Charpak;[1924];1992;Dabrovica;Poland;Dabrovica, Poland;50.4874693,21.6168029
1993;M;chemistry;Kary B. Mullis;[1944];1993;Lenoir NC;USA;Lenoir NC, USA;35.9140196,-81.5389849
1993;M;chemistry;Michael Smith;[1932];1993;Blackpool;United Kingdom;Blackpool, United Kingdom;53.8175053,-3.0356748
1993;M;economics;Douglass C. North;[1920];1993;Cambridge MA;USA;Cambridge MA, USA;53.8175053,-3.0356748
1993;M;economics;Robert W. Fogel;[1927];1993;New York NY;USA;New York NY, USA;53.8175053,-3.0356748
1993;M;literature;Toni Morrison;[1931];1993;Lorain OH;USA;Lorain OH, USA;41.452819,-82.1823746
1993;M;medicine;Phillip A. Sharp;[1944];1993;Falmouth KY;USA;Falmouth KY, USA;38.6767372,-84.3302142
1993;M;medicine;Richard J. Roberts;[1943];1993;Derby;United Kingdom;Derby, United Kingdom;52.9225301,-1.4746186
1993;M;peace;Frederik Willem de Klerk;[1936];1993;Johannesburg;South Africa;Johannesburg, South Africa;52.9225301,-1.4746186
1993;M;peace;Nelson Mandela;[1918];1993;Qunu;South Africa;Qunu, South Africa;-31.7881448,28.6235619
1993;M;physics;Joseph H. Taylor Jr.;[1941];1993;Philadelphia PA;USA;Philadelphia PA, USA;-31.7881448,28.6235619
1993;M;physics;Russell A. Hulse;[1950];1993;New York NY;USA;New York NY, USA;-31.7881448,28.6235619
1994;M;chemistry;George A. Olah;[1927];1994;Budapest;Hungary;Budapest, Hungary;-31.7881448,28.6235619
1994;M;economics;John C. Harsanyi;[1920];1994;Budapest;Hungary;Budapest, Hungary;-31.7881448,28.6235619
1994;M;economics;John F. Nash Jr.;[1928];1994;Bluefield WV;USA;Bluefield WV, USA;37.2698395,-81.2223195
1994;M;economics;Reinhard Selten;[1930];1994;Breslau;Germany;Wroclaw, Poland;37.2698395,-81.2223195
1994;M;literature;Kenzaburo Oe;[1935];1994;Uchiko;Japan;Uchiko, Japan;33.532902,132.6580066
1994;M;medicine;Alfred G. Gilman;[1941];1994;New Haven CT;USA;New Haven CT, USA;41.308274,-72.9278835
1994;M;medicine;Martin Rodbell;[1925];1994;Baltimore MD;USA;Baltimore MD, USA;41.308274,-72.9278835
1994;M;peace;Shimon Peres;[1923];1994;Vishneva;Poland;Vishneva, Belarus;54.1440921,26.2103909
1994;M;peace;Yasser Arafat;[1929];1994;Cairo;Egypt;Cairo, Egypt;54.1440921,26.2103909
1994;M;peace;Yitzhak Rabin;[2022];1994;Jerusalem;British Mandate of Palestine;Jerusalem, Israel;31.768319,35.21371
1994;M;physics;Bertram N. Brockhouse;[1918];1994;Lethbridge Alberta;Canada;Lethbridge Alberta, Canada;49.69349,-112.84184
1994;M;physics;Clifford G. Shull;[1915];1994;Pittsburgh PA;USA;Pittsburgh PA, USA;49.69349,-112.84184
1995;F;chemistry;F. Sherwood Rowland;[1927];1995;Delaware OH;USA;Delaware OH, USA;40.2986724,-83.067965
1995;M;chemistry;Mario J. Molina;[1943];1995;Mexico City;Mexico;Mexico City, Mexico;40.2986724,-83.067965
1995;M;chemistry;Paul J. Crutzen;[1933];1995;Amsterdam;the Netherlands;Amsterdam, the Netherlands;40.2986724,-83.067965
1995;M;economics;Robert E. Lucas Jr.;[1937];1995;Yakima WA;USA;Yakima WA, USA;46.6020711,-120.5058987
1995;M;literature;Seamus Heaney;[1939];1995;Casteldŕwson;Northern Ireland;Casteldŕwson, Northern Ireland;NOK[ZERO_RESULTS]
1995;F;medicine;Christiane Nüsslein-Volhard;[1942];1995;Magdeburg;Germany;Magdeburg, Germany;52.1205333,11.6276237
1995;M;medicine;Edward B. Lewis;[1918];1995;Wilkes-Barre PA;USA;Wilkes-Barre PA, USA;41.2459149,-75.8813075
1995;M;medicine;Eric F. Wieschaus;[1947];1995;South Bend IN;USA;South Bend IN, USA;41.6763545,-86.2519898
1995;M;peace;Joseph Rotblat;[1908];1995;Warsaw;Russian Empire;Warsaw, Poland;41.6763545,-86.2519898
1995;NA;peace;Pugwash Conferences on Science and World Affairs;[1957];1995;;Canada;, Canada;56.130366,-106.346771
1995;M;physics;Frederick Reines;[1918];1995;Paterson NJ;USA;Paterson NJ, USA;40.9167654,-74.171811
1995;M;physics;Martin L. Perl;[1927];1995;New York NY;USA;New York NY, USA;40.9167654,-74.171811
1996;M;chemistry;Richard E. Smalley;[1943];1996;Akron OH;USA;Akron OH, USA;41.0814447,-81.5190053
1996;M;chemistry;Robert F. Curl Jr.;[1933];1996;Alice TX;USA;Alice TX, USA;27.7522487,-98.0697249
1996;M;chemistry;Sir Harold W. Kroto;[1939];1996;Wisbech;United Kingdom;Wisbech, United Kingdom;52.666317,0.158797
1996;M;economics;James A. Mirrlees;[1936];1996;Minnigaff;Scotland;Minnigaff, Scotland;54.967523,-4.483444
1996;M;economics;William Vickrey;[1914];1996;Victoria BC;Canada;Victoria BC, Canada;48.4284207,-123.3656444
1996;F;literature;Wislawa Szymborska;[1923];1996;Bnin;Poland;Kórnik, Poland;52.2467738,17.0901297
1996;M;medicine;Peter C. Doherty;[1940];1996;Brisbane;Australia;Brisbane, Australia;-27.4697707,153.0251235
1996;M;medicine;Rolf M. Zinkernagel;[1944];1996;Basel;Switzerland;Basel, Switzerland;-27.4697707,153.0251235
1996;M;peace;Carlos Filipe Ximenes Belo;[1948];1996;Wailacama;East Timor;Wailacama, East Timor;NOK[ZERO_RESULTS]
1996;M;peace;José Ramos-Horta;[1949];1996;Dili;East Timor;Dili, East Timor;-8.5568557,125.5603143
1996;M;physics;David M. Lee;[1931];1996;Rye NY;USA;Rye NY, USA;40.9806535,-73.6837399
1996;M;physics;Douglas D. Osheroff;[1945];1996;Aberdeen WA;USA;Aberdeen WA, USA;46.9753708,-123.8157218
1996;M;physics;Robert C. Richardson;[1937];1996;Washington DC;USA;Washington DC, USA;46.9753708,-123.8157218
