# źródło: https://pl.wikisource.org/wiki/Polskie_powiaty_wed%C5%82ug_kodu_TERYT
sieradzki;1014
sierpecki;1427
skarżyski;2610
skierniewicki;1015
sławieński;3213
słubicki;0805
słupecki;3023
słupski;2212
sochaczewski;1428
sokołowski;1429
sokólski;2011
stalowowolski;1818
starachowicki;2611
stargardzki;3214
starogardzki;2213
staszowski;2612
strzelecki;1611
strzelecko-drezdenecki;0806
strzeliński;0217
strzyżowski;1819
sulęciński;0807
suski;1215
suwalski;2012
szamotulski;3024
szczecinecki;3215
szczycieński;2817
sztumski;2216
szydłowiecki;1430
średzki;0218;(śląski)
średzki;3025;(wielkopolski)
śremski;3026
świdnicki;0617;(lubelski)
świdnicki;0219;(śląski)
świdwiński;3216
świebodziński;0808
świecki;0414
tarnobrzeski;1820
tarnogórski;2413
tarnowski;1216
tatrzański;1217
tczewski;2214
tomaszowski;0618;(lubelski)
tomaszowski;1016;(mazowiecki)
toruński;0415
trzebnicki;0220
tucholski;0416
turecki;3027
tyski;2414
wadowicki;1218
wałbrzyski;0221
wałecki;3217
warszawski zachodni;1432
wąbrzeski;0417
wągrowiecki;3028
wejherowski;2215
węgorzewski;2819
węgrowski;1433
wielicki;1219
wieluński;1017
wieruszowski;1018
włocławski;0418
włodawski;0619
włoszczowski;2613
wodzisławski;2415
wolsztyński;3029
wołomiński;1434
wołowski;0222
wrocławski;0223
wrzesiński;3030
wschowski;0812
wysokomazowiecki;2013
wyszkowski;1435
zambrowski;2014
zamojski;0620
zawierciański;2416
ząbkowicki;0224
zduńskowolski;1019
zgierski;1020
zgorzelecki;0225
zielonogórski;0809
złotoryjski;0226
złotowski;3031
zwoleński;1436
żagański;0810
żarski;0811
żniński;0419
żuromiński;1437
żyrardowski;1438
żywiecki;2417
m.Biała Podlaska;0661
m.Białystok;2061
m.Bielsko-Biała;2461
m.Bydgoszcz;0461
m.Bytom;2462
m.Chełm;0662
m.Chorzów;2463
m.Częstochowa;2464
m.Dąbrowa Górnicza;2465
m.Elbląg;2861
m.Gdańsk;2261
m.Gdynia;2262
m.Gliwice;2466
m.Gorzów Wielkopolski;0861
m.Grudziądz;0462
m.Jastrzębie-Zdrój;2467
m.Jaworzno;2468
m.Jelenia Góra;0261
m.Kalisz;3061
m.Katowice;2469
m.Kielce;2661
m.Konin;3062
m.Koszalin;3261
m.Kraków;1261
m.Krosno;1861
m.Legnica;0262
m.Leszno;3063
m.Lublin;0663
m.Łomża;2062
m.Łódź;1061
m.Mysłowice;2470
m.Nowy Sącz;1262
m.Olsztyn;2862
m.Opole;1661
m.Ostrołęka;1461
m.Piekary Śląskie;2471
m.Piotrków Trybunalski;1062
m.Płock;1462
m.Poznań;3064
m.Przemyśl;1862
m.Radom;1463
m.Ruda Śląska;2472
m.Rybnik;2473
m.Rzeszów;1863
m.Siedlce;1464
m.Siemianowice Śląskie;2474
m.Skierniewice;1063
m.Słupsk;2263
m.Sopot;2264
m.Sosnowiec;2475
m.Suwałki;2063
m.Szczecin;3262
m.Świętochłowice;2476
m.Świnoujście;3263
m.Tarnobrzeg;1864
m.Tarnów;1263
m.Toruń;0463
m.Tychy;2477
m.Wałbrzych;0265
m.Warszawa;1465
m.Włocławek;0464
m.Wrocław;0264
m.Zabrze;2478
m.Zamość;0664
m.Zielona Góra;0862
m.Żory;2479
