teryt;nazwa;powiat;pow_ha;pow_km;ludnosc;gestosc;prank;lrank
301105 4;Śmigiel;Kościański;530;5;5631;1062;688;560
302604 4;Śrem;Śremski;1237;12;30036;2428;462;152
302504 4;Środa Wielkopolska;Średzki;1798;18;22661;1260;318;194
300207 4;Trzcianka;Czarnkowsko-trzcianecki;1830;18;17323;947;312;256
300309 4;Trzemeszno;Gnieźnieński;546;5;7848;1437;681;462
302707 4;Tuliszków;Turecki;700;7;3379;483;635;699
302701 1;Turek;Turecki;1617;16;27926;1727;359;163
301907 4;Ujście;Pilski;578;6;3802;658;673;664
302801 1;Wągrowiec;Wągrowiecki;1783;18;25266;1417;323;175
300208 4;Wieleń;Czarnkowsko-trzcianecki;433;4;5995;1385;726;532
300505 4;Wielichowo;Grodziski;124;1;1757;1417;800;867
300310 4;Witkowo;Gnieźnieński;831;8;7974;960;588;459
302903 4;Wolsztyn;Wolsztyński;478;5;13552;2835;706;329
302408 4;Wronki;Szamotulski;581;6;11473;1975;671;367
303005 4;Września;Wrzesiński;1273;13;29735;2336;448;154
301908 4;Wyrzysk;Pilski;412;4;5179;1257;732;574
301909 4;Wysoka;Pilski;482;5;2707;562;703;769
302308 4;Zagórów;Słupecki;344;4;3076;894;752;725
301506 4;Zbąszyń;Nowotomyski;542;5;7235;1335;682;477
301206 4;Zduny;Krotoszyński;620;6;4579;739;658;604
303101 1;Złotów;Złotowski;1158;12;18492;1597;482;239
300604 4;Żerków;Jarociński;216;2;2149;995;785;832
321001 4;Barlinek;Myśliborski;1755;17;14180;808;328;318
321502 4;Barwice;Szczecinecki;752;8;3800;505;616;665
320101 1;Białogard;Białogardzki;2573;26;24571;955;214;176
321503 4;Biały Bór;Szczecinecki;1282;13;2210;172;444;823
320903 4;Bobolice;Koszaliński;477;5;4204;881;707;634
321504 4;Borne Sulinowo;Szczecinecki;1815;18;4903;270;314;589
320602 4;Cedynia;Gryfiński;167;2;1631;977;794;874
321402 4;Chociwel;Stargardzki;367;4;3237;882;744;710
320603 4;Chojna;Gryfiński;1258;12;7382;587;451;473
320202 4;Choszczno;Choszczeński;958;10;15575;1626;551;296
320301 4;Czaplinek;Drawski;1362;14;7201;529;421;478
321702 4;Człopa;Wałecki;627;7;2345;374;656;810
321301 1;Darłowo;Sławieński;2021;20;14059;696;283;321
321003 4;Dębno;Myśliborski;1951;20;14039;720;295;322
321801 4;Dobra;Łobeski;237;2;2338;986;775;814
321403 4;Dobrzany;Stargardzki;534;5;2352;440;685;808
320203 4;Drawno;Choszczeński;503;5;2340;465;695;812
320302 4;Drawsko Pomorskie;Drawski;2233;22;11828;530;248;358
320701 4;Dziwnów;Kamieński;497;6;2724;548;699;765
320702 4;Golczewo;Kamieński;742;7;2725;367;621;764
320402 4;Goleniów;Goleniowski;1178;12;22747;1931;478;193
320803 4;Gościno;Kołobrzeski;570;6;2424;425;675;800
320502 4;Gryfice;Gryficki;1240;12;16853;1359;459;270
320604 4;Gryfino;Gryfiński;958;10;21565;2251;551;207
321405 4;Ińsko;Stargardzki;748;7;2031;272;619;841
320303 4;Kalisz Pomorski;Drawski;1196;12;4356;364;473;619
320703 4;Kamień Pomorski;Kamieński;1074;11;9020;840;508;437
320103 4;Karlino;Białogardzki;940;9;5989;637;555;534
320801 1;Kołobrzeg;Kołobrzeski;2567;26;46720;1820;215;96
326101 1;Koszalin;Koszalin;9834;98;108605;1104;30;37
321203 4;Lipiany;Pyrzycki;554;5;4045;730;678;645
321802 4;Łobez;Łobeski;1284;13;10409;811;443;390
320403 4;Maszewo;Goleniowski;554;6;3374;609;678;701
320605 4;Mieszkowice;Gryfiński;473;5;3594;760;709;684
320704 4;Międzyzdroje;Kamieński;450;4;5475;1217;718;564
321703 4;Mirosławiec;Wałecki;217;2;3040;1401;784;730
320606 4;Moryń;Gryfiński;554;6;1608;290;678;876
321004 4;Myślibórz;Myśliborski;1504;15;11512;765;386;366
321103 4;Nowe Warpno;Policki;2451;25;1226;50;227;892
320404 4;Nowogard;Goleniowski;1244;12;16821;1352;456;272
320205 4;Pełczyce;Choszczeński;1307;13;2635;202;440;777
320504 4;Płoty;Gryficki;412;4;4048;983;732;643
320906 4;Polanów;Koszaliński;737;7;3005;408;622;735
321104 4;Police;Policki;3731;37;33404;895;123;136
321603 4;Połczyn-Zdrój;Świdwiński;721;8;8418;1168;628;451
321205 4;Pyrzyce;Pyrzycki;3879;39;12769;329;112;341
320206 4;Recz;Choszczeński;1240;12;2955;238;459;741
321804 4;Resko;Łobeski;449;4;4325;963;719;624
320907 4;Sianów;Koszaliński;1588;16;6676;420;365;498
321302 1;Sławno;Sławieński;1583;16;12825;810;367;339
321401 1;Stargard Szczeciński;Stargardzki;4808;48;68922;1433;88;57
320407 4;Stepnica;Goleniowski;340;3;2446;719;755;796
321411 4;Suchań;Stargardzki;357;4;1459;409;748;881
326201 1;Szczecin;Szczecin;30055;301;407180;1355;3;7
321501 1;Szczecinek;Szczecinecki;4848;48;40535;836;87;107
321601 1;Świdwin;Świdwiński;2238;22;15588;697;247;294
326301 1;Świnoujście;Świnoujście;19723;197;41276;209;9;105
320608 4;Trzcińsko-Zdrój;Gryfiński;233;2;2418;1038;777;801
320508 4;Trzebiatów;Gryficki;1025;10;10153;991;524;400
321704 4;Tuczno;Wałecki;921;9;1956;212;560;850
320104 4;Tychowo;Białogardzki;396;4;2555;645;736;783
321701 1;Wałcz;Wałecki;3817;38;26033;682;117;173
321805 4;Węgorzyno;Łobeski;685;7;2902;424;640;747
320706 4;Wolin;Kamieński;1447;14;4919;340;401;587
320306 4;Złocieniec;Drawski;3228;32;13190;409;159;332
