TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2000;;2001;;2002;;2003;;2004e;;
Mexico;;15,631;r;13,300;r;14,010;r;15,159;r;16,730;5;
Moldova;;909;;966;;514;;500;e;500;;
Moroccoe;;5;;5;;5;;5;;5;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 11—Continued;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2000;;2001;;2002;;2003;;2004e;;
Netherlands;;5,667;;6,037;;6,144;;6,571;r;6,848;5;
New Zealande;;765;5;770;;750;;750;;800;;
Norway;;620;;635;;694;e;698;e;695;;
Pakistane;;500;;500;;500;;500;;500;;
Paraguay;;77;;71;;80;;91;;95;;
Perue;;749;5;750;;750;;750;;750;;
Philippinese;;530;;530;;530;;340;;360;;
Poland;;10,498;;8,809;;8,369;;9,100;r, e;10,600;;
Portugal;;1,060;;728;;800;e;722;r;720;5;
Qatar;;744;;908;;1,027;;1,054;;1,046;5;
Romania;;4,770;;4,930;;5,491;;6,000;r, e;6,000;;
Russia;;59,098;;59,030;;59,777;;62,710;;64,300;;
Saudi Arabia;;2,973;;3,413;;3,570;e;3,944;;3,902;5;
Serbia and Montenegro;;682;;598;;596;;700;e;700;;
Singaporee;;500;;400;;400;;400;;400;;
Slovakia;;3,447;;3,676;;4,275;;4,600;r, e;4,500;;
Slovenia;;519;;462;;481;e;500;e;500;;
South Africa;;8,481;;8,821;;9,095;;9,481;r;9,504;5;
Spain;;15,920;;16,500;;16,358;;16,287;r;17,684;5;
Sri Lankae;;30;;30;;30;;30;;30;;
Sweden;;5,227;;5,518;;5,754;;5,707;;5,949;5;
Switzerland;;1,140;;1,000;;1,000;e;1,000;e;1,000;;
Syriae;;70;;70;;70;;70;;70;;
Taiwan;;17,302;;17,336;;18,255;;18,832;r;19,604;5;
Thailand;;2,100;;2,127;;2,538;;3,572;r;3,600;;
Trinidad and Tobago;;753;;696;;839;;923;r, e;900;;
Tunisia;;237;;239;;200;e;86;e;63;5;
Turkey;;14,325;;14,382;;16,046;;18,298;;20,478;5;
Ugandae;;7;;7;;7;;7;;7;;
Ukraine;;31,780;;33,110;;34,538;;36,900;e;38,740;5;
United Arab Emiratese;;70;;70;;70;;50;;50;;
United Kingdom;;15,022;;13,610;;11,718;;13,128;r;13,766;5;
United States;;102,000;;90,100;r;91,600;;93,700;;99,700;5, 10;
Uruguay;;38;;31;;34;;40;;45;;
Uzbekistan;;420;;460;;450;e;472;e;602;5;
Venezuela;;3,835;;3,813;;4,164;;3,930;;4,575;5;
Vietnam;;306;;319;;409;;544;r;658;5;
Zimbabwee;;258;;149;;105;;152;;150;;
    Total;;850,000;;853,000;r;906,000;;972,000;r;1,050,000;10;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as "liquid;;;;;;;;;;;;
steel," presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through July 28, 2005.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate to make;;;;;;;;;;;;
reliable estimates of output levels.;;;;;;;;;;;;
5Reported figure.;;;;;;;;;;;;
6Data for year ending June 30 of that stated.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by the State Statistical Bureau, which the Government of China considers to be official statistical data.;;;;;;;;;;;;
9Less than ½ unit.;;;;;;;;;;;;
10Corrections posted February 1, 2006, and February 17, 2006.;;;;;;;;;;;;
