TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;1998;;1999;;2000;;2001;;2002e;;
Macedonia;;49;;49;;50;;50;;50;;
Malaysia;;1,903;r;2,770;r;3,650;r;4,100;r;4,200;;
Mexico;;14,182;;15,243;;15,586;;13,292;;14,050;5;
Moldova;;718;;796;;909;;966;;900;;
Moroccoe;;5;;5;;5;;5;;5;;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 11--Continued;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;1998;;1999;;2000;;2001;;2002e;;
Netherlands;;6,379;;6,075;;5,667;;6,037;r;6,144;5;
New Zealand;;756;;744;;765;;770;e;750;;
Nigeriae;;2;;--;;--;;--;;--;;
Norway;;644;;611;;620;;635;r;694;;
Pakistane;;494;5;500;;500;;500;;500;;
Paraguay;;56;;56;;77;;71;r;80;5;
Peru;;631;;559;;749;;750;e;750;;
Philippines;;880;;530;;530;e;530;e;530;;
Poland;;9,915;;8,853;;10,498;;8,809;r;8,369;5;
Portugal;;854;;1,044;;1,060;;728;r;800;;
Qatar;;646;;629;;744;r;908;r;1,000;;
Romania;;6,335;;4,392;;4,770;;4,930;r;5,000;;
Russia;;43,822;;51,524;;59,098;;59,030;r;59,777;5;
Saudi Arabia;;2,356;;2,610;;2,973;;3,413;r;3,800;;
Serbia and Montenegro;;949;;226;;682;;598;;596;;
Singaporee;;500;;500;;500;;400;;400;;
Slovakia;;3,428;;3,569;;3,447;r;3,676;r;3,700;;
Slovenia;;405;;405;;519;;462;r;480;;
South Africa;;7,506;;6,830;;8,481;;8,821;;9,000;;
Spain;;14,827;;14,886;;15,920;;16,500;r;16,358;5;
Sri Lankae;;30;;30;;30;;30;;30;;
Sweden;;5,062;;5,075;;5,227;;5,518;r;5,754;5;
Switzerland;;1,018;;1,037;;1,140;;1,000;;1,000;;
Syriae;;70;;70;;70;;70;;70;;
Taiwan;;17,192;;16,027;;17,302;;17,336;;18,255;5;
Thailand;;1,814;;1,532;r;2,100;;2,127;r;2,200;;
Trinidad and Tobago;;809;r;762;r;753;r;696;r;696;;
Tunisia;;171;;229;;237;;239;r;220;;
Turkey;;13,351;;14,309;;14,325;;14,900;;16,000;;
Ugandae;;7;;8;;7;;7;;7;;
Ukraine;;23,461;;27,390;;31,780;;33,110;;34,538;5;
United Kingdom;;17,066;;16,634;;15,022;;13,610;r;11,718;5;
United States;;98,600;;97,400;r;102,000;;90,100;;91,600;5;
Uruguay;;52;;45;;38;;31;;34;5;
Uzbekistan;;344;;343;e;420;;460;;450;;
Venezuela;;3,553;;3,261;;3,835;;3,813;r;4,164;5;
Vietnam;;306;;308;;306;;319;r;320;;
Zimbabwee;;220;;255;;258;;156;;150;;
    Total;;770,000;r;784,000;r;845,000;r;847,000;r;898,000;;
eEstimated.  pPreliminary.  rRevised.  NA Not available.  -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as "liquid steel,";;;;;;;;;;;;
presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through August 1, 2003.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate to make;;;;;;;;;;;;
reliable estimates of output levels.;;;;;;;;;;;;
5Reported figure.;;;;;;;;;;;;
6Data for year ending June 30 of that stated.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by State Statistical Bureau that Chinese Government considers as official statistical data.;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
