TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;1999;;2000;;2001;;2002;;2003e;;
Switzerland;;1,037;;1,140;;1,000;;1,000;e;1,000;;
Syriae;;70;;70;;70;;70;;70;;
Taiwan;;16,027;;17,302;;17,336;;18,255;;18,563;5;
Thailand;;1,532;;2,100;;2,127;;2,538;r;2,500;;
Trinidad and Tobago;;762;;753;;696;;839;r;900;;
Tunisia;;229;;237;;239;;200;r, e;86;;
Turkey;;14,309;;14,325;;14,382;r;16,046;r;18,298;5;
Ugandae;;8;;7;;7;;7;;7;;
Ukraine;;27,390;;31,780;;33,110;;34,538;;36,900;;
United Kingdom;;16,634;;15,022;;13,610;;11,718;;12,000;;
United States;;97,400;;102,000;;90,000;r;91,600;;93,700;5;
Uruguay;;45;;38;;31;;34;;40;5;
Uzbekistan;;343;e;420;;460;;450;e;472;;
Venezuela;;3,261;;3,835;;3,813;;4,164;;3,930;5;
Vietnam;;308;;306;;319;;409;r;450;;
Zimbabwee;;255;;258;;149;r;105;r;152;;
Total;;790,000;r;850,000;r;852,000;r;906,000;r;962,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as "liquid steel,";;;;;;;;;;;;
presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through August 2, 2004.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate to make;;;;;;;;;;;;
reliable estimates of output levels.;;;;;;;;;;;;
5Reported figure.;;;;;;;;;;;;
6Data for year ending June 30 of that stated.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by State Statistical Bureau that Chinese Government considers as official statistical data.;;;;;;;;;;;;
9Less than 1/2 unit.;;;;;;;;;;;;
