TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION BY COUNTRY OR LOCALITY1, 2;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country or locality3;;2012;;2013;;2014;;2015;;2016;;
Ugandae;;30;;30;;30;;30;;30;;
Ukraine;;33,511;r;32,771;;27,373;r;22,935;r;24,128;;
United Arab Emirates;;2,408;;2,878;;2,390;;3,006;;3,149;;
United Kingdom;;9,579;;11,858;;12,120;;10,907;;7,635;;
United States;;88,700;;86,900;;88,200;;78,800;;78,500;;
Uruguay;;78;;91;;94;;97;;61;;
Uzbekistan;;736;;746;;751;r;643;;654;;
Venezuela;;2,359;;2,139;;1,485;;1,345;;553;;
Vietnam;;2,965;r;3,484;r;3,954;r;4,122;r;7,811;;
Zambia;;76;;91;;91;;91;;--;;
Total;;1,560,000;r;1,610,000;r;1,670,000;;1,620,000;;1,630,000;;
eEstimated.  rRevised.  -- Zero.;;;;;;;;;;;;
1Table includes data available through November 23, 2017. All data are reported unless otherwise noted. Totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as “liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3In addition to the countries and (or) localities listed, Hong Kong, Mozambique, and Sri Lanka were known to have steelmaking plants, but available information was inadequate to make reliable estimates of output levels.;;;;;;;;;;;;
4Does not include castings.;;;;;;;;;;;;
5Data reported by the State Statistical Bureau and are considered by the Government of China to be official statistics.;;;;;;;;;;;;
