TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY 1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2006;;2007;;2008;;2009;;2010;;
Trinidad and Tobago;;674;;682;;489;r;417;r;572;;
Tunisia;;68;;61;;82;;155;;180;;
Turkey;;23,308;;25,750;;26,809;r;25,000;e;30,000;e;
Ugandae;;30;;30;;30;;25;;28;;
Ukraine;;40,899;;42,830;;37,107;;29,757;;33,559;;
United Arab Emiratese;;70;;90;;90;;90;;90;;
United Kingdom;;13,931;;14,300;;13,538;;10,080;;9,709;;
United States;;98,200;;98,100;;91,900;;59,400;;80,500;;
Uruguay;;57;;71;;70;;70;e;70;e;
Uzbekistan;;730;e;740;e;686;;716;;745;e;
Venezuela;;4,864;;5,005;;4,240;;5,000;e;5,000;;
Vietnam;;1,869;;2,024;;2,250;;2,700;r;2,700;;
Zimbabwee;;24;6;23;6;10;;10;;--;;
    Total;;1,250,000;;1,350,000;;1,330,000;;1,240,000;r;1,420,000;;
eEstimated. rRevised. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as ;;;;;;;;;;;;
“liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through September 8, 2011.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate to ;;;;;;;;;;;;
make reliable estimates of output levels.;;;;;;;;;;;;
5Data for year ending June 30 of that stated.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY 1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
6Reported figure.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
;;;;;;;;;;;;
