TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2008;;2009;;2010;;2011;;2012;;
Kenyae;;240;;260;;260;;290;;290;;
Korea, Northe;;1,279;7;1,300;;1,300;;1,300;;1,300;;
Korea, Republic of;;53,322;;48,752;;58,914;;68,519;;70,000;e;
Latviae;;635;r;692;r;655;r;515;r;800;;
Libya;;1,137;;914;;825;;100;;300;;
Luxembourg;;2,582;;2,215;;2,563;;2,521;r;2,232;;
Macedonia;;252;;276;;291;;386;;217;;
Malaysia;;6,423;;5,354;;5,693;;5,941;r;6,000;e;
Mauritaniae;;2;7;2;;2;;2;;2;;
Mexico;;17,209;;14,172;;17,041;;18,100;;18,178;;
Moldova;;885;;426;;242;;321;;317;;
Montenegro;;202;r;90;;95;e;42;r;100;e;
Morocco;;478;;479;r;455;r;460;r;475;;
Netherlands;;6,853;;5,194;;6,651;;6,900;;6,867;;
New Zealand;;853;;765;;853;;844;;912;;
Norway;;560;r;579;r;514;r;620;r;590;;
Pakistane;;1,100;7;1,100;;1,100;;1,200;;1,200;;
Paraguaye;;130;7;130;;59;r;30;r;44;7;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2008;;2009;;2010;;2011;;2012;;
Perue;;750;r;750;r;750;r;750;r;750;;
Philippines;;711;;824;;1,050;r;1,200;r;1,200;;
Poland;;9,727;;7,128;r;7,996;;8,777;r;8,366;;
Portugal;;1,630;r;1,587;r;1,351;r;1,400;e;1,400;e;
Qatar;;1,146;r;1,566;r;1,705;r;1,821;r;2,100;;
Romania;;5,035;;2,761;;3,896;;3,811;r;3,417;;
Russia;;68,700;;59,800;r;66,800;r;68,100;r;68,500;e;
Saudi Arabia;;4,670;;4,700;;5,000;;5,300;e;5,200;e;
Serbia;;1,662;;1,097;;1,254;;1,324;;345;8;
Singaporee;;750;r;620;;728;r;650;;700;;
Slovakia;;4,478;r;3,747;;4,580;r;4,236;r;4,250;;
Slovenia;;692;r;463;r;566;r;706;r;600;;
South Africa;;8,246;;7,484;;7,617;;7,546;r;7,100;e;
Spain;;18,600;r;14,400;r;16,343;r;15,591;r;15,600;e;
Sri Lanka;;NA;r;NA;r;NA;r;NA;r;NA;;
Sweden;;5,196;r;2,805;r;4,844;r;4,866;r;4,326;;
Switzerland;;1,257;r;984;r;1,330;r;1,400;r;1,250;;
Syria;;63;r;61;r;63;r;63;r, e;70;;
Taiwan;;19,222;;15,566;;20,498;;22,879;;21,083;;
Thailand;;5,211;;3,645;;4,145;;4,000;r;4,000;e;
Trinidad and Tobago;;489;;417;;572;;610;;568;;
Tunisia;;82;;155;;115;r;119;r;180;;
Turkey;;26,809;;25,304;r;29,030;r;34,000;;36,000;e;
Ugandae;;7;r;7;r;7;r;7;r;7;;
Ukraine;;37,279;;29,855;;33,559;;35,332;;32,912;;
United Arab Emiratese;;100;r;100;r;500;r;2,000;r;2,800;;
United Kingdom;;13,538;;10,079;r;9,709;;9,478;r;9,819;;
United States;;91,900;;59,400;;80,500;;86,400;;88,700;;
Uruguay;;86;r;57;r;65;r;80;r;44;;
Uzbekistan;;686;;716;;731;r;746;r;750;e;
Venezuela;;4,225;r;3,808;r;2,207;r;2,200;r, e;2,555;;
Vietname;;2,250;;2,700;7;4,314;7;4,500;r;4,500;;
Zimbabwee;;10;7;14;r;14;r;15;r;--;;
Total;;1,330,000;r;1,230,000;r;1,430,000;r;1,520,000;r;1,550,000;;
eEstimated. pPreliminary. rRevised. NA Not available. -- Zero.;;;;;;;;;;;;
1World total, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as;;;;;;;;;;;;
“liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Includes data available through July 17, 2014.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique and Sri Lanka are known to have steelmaking plants, but available information is;;;;;;;;;;;;
inadequate to make reliable estimates of output levels.;;;;;;;;;;;;
5Excludes castings.;;;;;;;;;;;;
6Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
7Reported figure.;;;;;;;;;;;;
8Smederevo plant closed July 31, 2012.;;;;;;;;;;;;
