TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2004;;2005;;2006;;2007;;2008;;
Ukraine;;38,740;;38,636;;40,899;;42,830;;37,107;;
United Arab Emiratese;;70;;70;;70;;90;;90;;
United Kingdom;;13,766;;13,210;;13,931;;14,300;;13,538;;
United States;;99,700;;94,900;;98,200;;98,100;;91,900;;
Uruguay;;58;;64;;57;;71;;85;e;
Uzbekistane;;602;6;607;6;730;;740;;680;;
Venezuela;;4,561;r;4,907;;4,864;r;5,005;r;4,240;e;
Vietnam;;689;;890;;1,860;r;2,024;r;2,020;e;
Zimbabwe;;135;;107;;24;;23;;10;e;
    Total;;1,060,000;r;1,140,000;r;1,250,000;r;1,350,000;r;1,330,000;;
eEstimated. pPreliminary. rRevised. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.  ;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported  ;;;;;;;;;;;;
as “liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through August 25, 2009.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate  ;;;;;;;;;;;;
to make reliable estimates of output levels.;;;;;;;;;;;;
5Data for year ending June 30 of that stated.;;;;;;;;;;;;
6Reported figure.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
9Montenegro and Serbia formally declared independence from each other in June 2006 and dissolved their union.;;;;;;;;;;;;
10Production is reported individually now.;;;;;;;;;;;;
