TABLE 11;;;;;;;;;;;;
RAW STEEL:  WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2001;;2002;;2003;;2004;;2005e;;
Sweden;;5,518;;5,754;;5,707;;5,949;;6,000;;
Switzerlande;;1,000;5;1,000;;1,000;;1,000;;1,000;;
Syriae;;70;;70;;70;;70;;70;;
Taiwan;;17,336;;18,255;;18,832;;19,604;;18,567;5;
Thailand;;2,127;;2,538;;3,572;;4,533;r;5,300;;
Trinidad and Tobago;;696;;839;;923;;783;r;800;;
Tunisia;;239;;200;e;86;e;63;;60;;
Turkey;;14,382;;16,046;;18,298;;20,478;;20,960;5;
Ugandae;;7;;7;;7;;7;;7;;
Ukraine;;33,110;;34,538;;36,900;e;38,740;;38,636;5;
United Arab Emiratese;;70;;70;;50;;70;r;70;;
United Kingdom;;13,610;;11,718;;13,128;;13,766;;13,210;5;
United States;;90,100;;91,600;;93,700;;99,700;;93,300;5;
Uruguay;;31;;35;r;41;;55;r;55;;
Uzbekistane;;460;5;450;;472;;602;;607;5;
Venezuela;;3,813;;4,164;;3,930;;4,575;;5,000;;
Vietnam;;319;;409;;544;;658;;780;;
Zimbabwee;;149;;105;;152;;150;;150;;
    Total;;853,000;;906,000;;972,000;;1,060,000;r;1,120,000;;
eEstimated. rRevised. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as "liquid steel,”;;;;;;;;;;;;
presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Table includes data available through July 28, 2006.;;;;;;;;;;;;
4In addition to the countries listed, Mozambique is known to have steelmaking plants, but available information is inadequate to make;;;;;;;;;;;;
reliable estimates of output levels.;;;;;;;;;;;;
TABLE 11—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
5Reported figure.;;;;;;;;;;;;
6Data for year ending June 30 of that stated.;;;;;;;;;;;;
7Excludes castings.;;;;;;;;;;;;
8Figures reported by the State Statistical Bureau that Chinese Government considers as official statistical data.;;;;;;;;;;;;
