TABLE 10;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2009;;2010;;2011;;2012;;2013;;
Korea, Northe;;1,300;;1,300;;1,300;;1,300;;1,300;;
Korea, Republic of;;48,752;;58,914;;68,519;;39,321;r;81,213;;
Latviae;;692;;655;;515;;800;;NA;;
Libya;;914;;825;;100;;300;;715;;
Luxembourg;;2,215;;2,563;;2,521;;2,232;;2,075;;
Macedonia;;276;;291;;386;;225;r;146;;
Malaysia;;5,354;;5,693;;5,941;;5,612;r;5,700;e;
Mauritaniae;;5;r;5;r;5;r;5;r;5;;
Mexico;;14,172;;17,041;;18,100;;18,178;;18,420;;
Moldova;;426;;242;;321;;317;;190;;
Montenegro;;90;;48;r;61;r;28;r;20;e;
Morocco;;479;;455;;460;;475;;558;;
Netherlands;;5,194;;6,651;;6,900;;6,867;;6,713;;
New Zealand;;765;;853;;844;;912;;900;e;
Norway;;579;;514;;620;;590;;605;;
Pakistane;;1,100;;1,100;;1,200;;1,200;;1,359;7;
See footnotes at end of table.;;;;;;;;;;;;
TABLE 10—Continued;;;;;;;;;;;;
RAW STEEL: WORLD PRODUCTION, BY COUNTRY1, 2, 3;;;;;;;;;;;;
;;;;;;;;;;;;
(Thousand metric tons);;;;;;;;;;;;
;;;;;;;;;;;;
Country4;;2009;;2010;;2011;;2012;;2013;;
Paraguaye;;130;;59;;30;;44;7;45;;
Peru;;718;r;880;r;877;r;981;r;1,090;;
Philippines;;824;;1,050;;1,200;;1,200;e;1,200;e;
Poland;;7,128;;7,996;;8,777;;8,543;r;8,198;;
Portugale;;1,587;7;1,351;7;1,400;;1,400;;1,400;;
Qatar;;1,566;;1,705;;1,821;;2,100;;2,236;;
Romania;;2,761;;3,896;;3,811;;3,417;;3,071;;
Russia;;59,800;;66,800;;68,100;;68,500;e;69,400;;
Saudi Arabiae;;4,700;;5,000;;5,300;;5,200;;5,400;;
Serbia;;1,097;;1,254;;1,324;;346;r, 8;396;;
Singaporee;;620;;728;;650;;700;;700;;
Slovakia;;3,747;;4,580;;4,236;;4,250;;4,000;e;
Slovenia;;463;;566;;706;;600;;600;e;
South Africa;;7,484;;7,617;;7,546;;6,938;r;7,200;e;
Spain;;14,400;;16,343;;15,591;;15,600;e;15,600;e;
Sweden;;2,805;;4,844;;4,866;;4,326;;4,404;;
Switzerland;;934;r;1,320;r;1,400;;1,500;r, e;1,500;e;
Syria;;61;;63;;63;e;10;r;10;e;
Taiwan;;14,086;r;18,975;r;21,927;r;19,927;r;21,466;;
Thailand;;3,645;;4,145;;4,000;;4,000;e;4,000;e;
Trinidad and Tobago;;417;;572;;604;r;624;r;616;;
Tunisia;;155;;115;;119;;180;;180;e;
Turkey;;25,304;;29,030;;34,103;r;35,885;r;34,650;;
Ugandae;;54;r;59;r;65;r;60;r;60;;
Ukraine;;29,855;;33,559;;35,332;;32,912;;33,160;;
United Arab Emiratese;;100;;500;;2,000;;2,800;;2,878;7;
United Kingdom;;10,079;;9,709;;9,478;;9,819;;11,855;;
United States;;59,400;;80,500;;86,400;;88,700;;86,900;;
Uruguay;;57;;65;;81;r;78;r;90;;
Uzbekistan;;716;;731;;733;r;736;r;740;e;
Venezuela;;3,808;;2,207;;2,300;r;2,360;r;2,250;;
Vietname;;2,700;7;4,314;7;4,500;;4,500;;4,500;;
Zimbabwee;;14;;14;;15;;15;r;15;;
Total;;1,230,000;;1,430,000;;1,520,000;;1,520,000;r;1,620,000;;
eEstimated. rRevised. -- Zero.;;;;;;;;;;;;
1World totals, U.S. data, and estimated data are rounded to no more than three significant digits; may not add to totals shown.;;;;;;;;;;;;
2Steel formed in solid state after melting, suitable for further processing or sale; for some countries, includes material reported as ;;;;;;;;;;;;
“liquid steel,” presumably measured in the molten state prior to cooling in any specific form.;;;;;;;;;;;;
3Includes data available through October 28, 2014.;;;;;;;;;;;;
4Mozambique and Sri Lanka are known to have steelmaking plants, but available information is inadequate to make reliable estimates ;;;;;;;;;;;;
of output levels.;;;;;;;;;;;;
5Does not include castings.;;;;;;;;;;;;
6Figures reported by the State Statistical Bureau that the Government of China considers as official statistical data.;;;;;;;;;;;;
7Reported figure.;;;;;;;;;;;;
8Smederevo plant closed July 31, 2012.;;;;;;;;;;;;
