code;country;year;value
HRV;Croatia;2011;100
CUB;Cuba;2011;290
CZE;Czechia;2011;5583
ECU;Ecuador;2011;525
EGY;Egypt;2011;6486
SLV;El Salvador;2011;100
ETH;Ethiopia;2011;130
FIN;Finland;2011;3989
FRA;France;2011;15800
DEU;Germany;2011;44284
GRC;Greece;2011;2000
GTM;Guatemala;2011;445
HKG;Hong Kong;2011;200
HUN;Hungary;2011;1746
IND;India;2011;73500
IDN;Indonesia;2011;3600
IRN;Iran;2011;13000
ISR;Israel;2011;430
ITA;Italy;2011;28700
JPN;Japan;2011;107601
JOR;Jordan;2011;150
KAZ;Kazakhstan;2011;3699
KEN;Kenya;2011;290
PRK;Korea, North;2011;1300
KOR;Korea, Republic of;2011;68519
LVA;Latvia;2011;515
LBY;Libya;2011;100
LUX;Luxembourg;2011;2521
;Macedonia;2011;386
MYS;Malaysia;2011;5941
MRT;Mauritania;2011;2
MEX;Mexico;2011;18100
MDA;Moldova;2011;321
MNE;Montenegro;2011;42
MAR;Morocco;2011;460
NLD;Netherlands;2011;6900
NZL;New Zealand;2011;844
NOR;Norway;2011;620
PAK;Pakistan;2011;1200
PRY;Paraguay;2011;30
PER;Peru;2011;750
PHL;Philippines;2011;1200
POL;Poland;2011;8777
PRT;Portugal;2011;1400
QAT;Qatar;2011;1821
ROU;Romania;2011;3811
RUS;Russia;2011;68100
SAU;Saudi Arabia;2011;5300
SRB;Serbia;2011;1324
SGP;Singapore;2011;650
SVK;Slovakia;2011;4236
SVN;Slovenia;2011;706
ZAF;South Africa;2011;7546
ESP;Spain;2011;15591
LKA;Sri Lanka;2011;NA
SWE;Sweden;2011;4866
CHE;Switzerland;2011;1400
SYR;Syria;2011;63
TWN;Taiwan;2011;22879
THA;Thailand;2011;4000
TTO;Trinidad and Tobago;2011;610
TUN;Tunisia;2011;119
TUR;Turkey;2011;34000
UGA;Uganda;2011;7
UKR;Ukraine;2011;35332
ARE;United Arab Emirates;2011;2000
GBR;United Kingdom;2011;9478
USA;United States;2011;86400
URY;Uruguay;2011;80
UZB;Uzbekistan;2011;746
VEN;Venezuela;2011;2200
VNM;Vietnam;2011;4500
ZWE;Zimbabwe;2011;15
WLD;Total;2011;1520000
ALB;Albania;2012;382
DZA;Algeria;2012;500
ARG;Argentina;2012;4995
AUS;Australia;2012;4904
AUT;Austria;2012;7421
AZE;Azerbaijan;2012;268
BLR;Belarus;2012;2869
BEL;Belgium;2012;7386
;Bosnia and Herzegovina, ingot production;2012;700
BRA;Brazil;2012;34682
BGR;Bulgaria;2012;633
MMR;Burma;2012;25
CAN;Canada;2012;13507
CHL;Chile;2012;1683
CHN;China;2012;716540
COL;Colombia;2012;1324
HRV;Croatia;2012;1
CUB;Cuba;2012;317
CZE;Czechia;2012;5072
ECU;Ecuador;2012;479
EGY;Egypt;2012;6600
SLV;El Salvador;2012;72
ETH;Ethiopia;2012;130
FIN;Finland;2012;3759
FRA;France;2012;15607
DEU;Germany;2012;42661
GRC;Greece;2012;2000
GTM;Guatemala;2012;334
HKG;Hong Kong;2012;NA
HUN;Hungary;2012;1543
IND;India;2012;77561
IDN;Indonesia;2012;2300
IRN;Iran;2012;14500
ISR;Israel;2012;430
ITA;Italy;2012;27227
JPN;Japan;2012;107232
JOR;Jordan;2012;100
KAZ;Kazakhstan;2012;2606
KEN;Kenya;2012;290
PRK;Korea, North;2012;1300
KOR;Korea, Republic of;2012;39321
LVA;Latvia;2012;800
LBY;Libya;2012;300
LUX;Luxembourg;2012;2232
;Macedonia;2012;225
MYS;Malaysia;2012;5612
MRT;Mauritania;2012;5
MEX;Mexico;2012;18178
MDA;Moldova;2012;317
MNE;Montenegro;2012;28
MAR;Morocco;2012;475
NLD;Netherlands;2012;6867
NZL;New Zealand;2012;912
NOR;Norway;2012;590
PAK;Pakistan;2012;1200
PRY;Paraguay;2012;44
PER;Peru;2012;981
PHL;Philippines;2012;1200
POL;Poland;2012;8543
PRT;Portugal;2012;1400
QAT;Qatar;2012;2100
ROU;Romania;2012;3417
RUS;Russia;2012;68500
SAU;Saudi Arabia;2012;5200
SRB;Serbia;2012;346
SGP;Singapore;2012;700
SVK;Slovakia;2012;4250
SVN;Slovenia;2012;600
ZAF;South Africa;2012;6938
ESP;Spain;2012;15600
SWE;Sweden;2012;4326
CHE;Switzerland;2012;1500
SYR;Syria;2012;10
TWN;Taiwan;2012;19927
THA;Thailand;2012;4000
TTO;Trinidad and Tobago;2012;624
TUN;Tunisia;2012;180
TUR;Turkey;2012;35885
UGA;Uganda;2012;60
UKR;Ukraine;2012;32912
ARE;United Arab Emirates;2012;2800
GBR;United Kingdom;2012;9819
USA;United States;2012;88700
URY;Uruguay;2012;78
UZB;Uzbekistan;2012;736
VEN;Venezuela;2012;2360
VNM;Vietnam;2012;4500
ZWE;Zimbabwe;2012;15
WLD;Total;2012;1520000
ALB;Albania;2013;401
DZA;Algeria;2013;440
ARG;Argentina;2013;5188
AUS;Australia;2013;4640
AUT;Austria;2013;7400
AZE;Azerbaijan;2013;223
BLR;Belarus;2013;2395
BEL;Belgium;2013;7093
;Bosnia and Herzegovina, ingot production;2013;722
BRA;Brazil;2013;34163
BGR;Bulgaria;2013;522
MMR;Burma;2013;25
CAN;Canada;2013;12400
CHL;Chile;2013;1321
CHN;China;2013;779040
COL;Colombia;2013;1297
HRV;Croatia;2013;135
CUB;Cuba;2013;267
CZE;Czechia;2013;5171
ECU;Ecuador;2013;562
EGY;Egypt;2013;6754
SLV;El Salvador;2013;72
ETH;Ethiopia;2013;130
FIN;Finland;2013;3517
FRA;France;2013;15685
DEU;Germany;2013;42641
GRC;Greece;2013;2000
GTM;Guatemala;2013;385
HUN;Hungary;2013;883
IND;India;2013;81213
IDN;Indonesia;2013;2644
IRN;Iran;2013;15400
ISR;Israel;2013;430
ITA;Italy;2013;24058
JPN;Japan;2013;110571
JOR;Jordan;2013;100
KAZ;Kazakhstan;2013;2800
KEN;Kenya;2013;290
PRK;Korea, North;2013;1300
KOR;Korea, Republic of;2013;81213
LVA;Latvia;2013;NA
LBY;Libya;2013;715
LUX;Luxembourg;2013;2090
;Macedonia;2013;146
MYS;Malaysia;2013;5700
MEX;Mexico;2013;18420
MDA;Moldova;2013;190
MNE;Montenegro;2013;20
MAR;Morocco;2013;558
NLD;Netherlands;2013;6713
NZL;New Zealand;2013;900
NOR;Norway;2013;605
PAK;Pakistan;2013;165
PRY;Paraguay;2013;45
PER;Peru;2013;1090
PHL;Philippines;2013;1308
POL;Poland;2013;8198
PRT;Portugal;2013;2050
QAT;Qatar;2013;2236
ROU;Romania;2013;3071
RUS;Russia;2013;69400
SAU;Saudi Arabia;2013;5400
SRB;Serbia;2013;396
SGP;Singapore;2013;700
SVK;Slovakia;2013;4000
SVN;Slovenia;2013;600
ZAF;South Africa;2013;7200
ESP;Spain;2013;15600
SWE;Sweden;2013;4404
CHE;Switzerland;2013;1500
SYR;Syria;2013;10
TWN;Taiwan;2013;21466
THA;Thailand;2013;3579
TTO;Trinidad and Tobago;2013;616
TUN;Tunisia;2013;180
TUR;Turkey;2013;34650
UGA;Uganda;2013;60
UKR;Ukraine;2013;33160
ARE;United Arab Emirates;2013;2878
GBR;United Kingdom;2013;11855
USA;United States;2013;86900
URY;Uruguay;2013;90
UZB;Uzbekistan;2013;740
VEN;Venezuela;2013;2250
VNM;Vietnam;2013;5774
ZWE;Zimbabwe;2013;15
WLD;Total;2013;1620000
ALB;Albania;2014;560
DZA;Algeria;2014;415
ARG;Argentina;2014;5488
AUS;Australia;2014;4607
AUT;Austria;2014;7876
AZE;Azerbaijan;2014;180
BLR;Belarus;2014;2513
BEL;Belgium;2014;7331
;Bosnia and Herzegovina, ingot production;2014;793
BRA;Brazil;2014;33397
BGR;Bulgaria;2014;612
CAN;Canada;2014;12730
CHL;Chile;2014;1079
CHN;China;2014;822750
COL;Colombia;2014;1208
HRV;Croatia;2014;167
CUB;Cuba;2014;256
CZE;Czechia;2014;5360
ECU;Ecuador;2014;667
EGY;Egypt;2014;6485
SLV;El Salvador;2014;121
FIN;Finland;2014;3807
FRA;France;2014;16143
DEU;Germany;2014;42943
GRC;Greece;2014;1022
GTM;Guatemala;2014;395
HUN;Hungary;2014;1152
IND;India;2014;87292
IDN;Indonesia;2014;4428
IRN;Iran;2014;16331
ISR;Israel;2014;300
ITA;Italy;2014;23714
JPN;Japan;2014;110666
JOR;Jordan;2014;150
KAZ;Kazakhstan;2014;3681
KEN;Kenya;2014;20
PRK;Korea, North;2014;1250
KOR;Korea, Republic of;2014;71543
LVA;Latvia;2014;NA
LBY;Libya;2014;712
LUX;Luxembourg;2014;2193
;Macedonia;2014;188
MYS;Malaysia;2014;4316
MEX;Mexico;2014;18930
MDA;Moldova;2014;351
MNE;Montenegro;2014;140
MAR;Morocco;2014;501
NLD;Netherlands;2014;6964
NZL;New Zealand;2014;859
NOR;Norway;2014;600
OMN;Oman;2014;1500
PAK;Pakistan;2014;2423
PRY;Paraguay;2014;47
PER;Peru;2014;1078
PHL;Philippines;2014;1196
POL;Poland;2014;8558
PRT;Portugal;2014;2070
QAT;Qatar;2014;3019
ROU;Romania;2014;3158
RUS;Russia;2014;71461
SAU;Saudi Arabia;2014;6291
SRB;Serbia;2014;583
SGP;Singapore;2014;540
SVK;Slovakia;2014;4705
SVN;Slovenia;2014;615
ZAF;South Africa;2014;6412
ESP;Spain;2014;14249
SWE;Sweden;2014;4539
CHE;Switzerland;2014;1475
SYR;Syria;2014;5
TWN;Taiwan;2014;23121
THA;Thailand;2014;4095
TTO;Trinidad and Tobago;2014;487
TUN;Tunisia;2014;150
TUR;Turkey;2014;34035
UGA;Uganda;2014;30
UKR;Ukraine;2014;27170
ARE;United Arab Emirates;2014;2390
GBR;United Kingdom;2014;12120
USA;United States;2014;88200
URY;Uruguay;2014;94
UZB;Uzbekistan;2014;723
VEN;Venezuela;2014;1485
VNM;Vietnam;2014;5847
WLD;Total;2014;1670000
AFG;Afghanistan;2015;NA
ALB;Albania;2015;NA
DZA;Algeria;2015;650
ARG;Argentina;2015;5028
AUS;Australia;2015;4935
AUT;Austria;2015;7687
AZE;Azerbaijan;2015;NA
BHR;Bahrain;2015;970
BLR;Belarus;2015;2579
BEL;Belgium;2015;7257
;Bosnia and Herzegovina, ingot production;2015;796
BRA;Brazil;2015;33300
BGR;Bulgaria;2015;543
CAN;Canada;2015;12473
CHL;Chile;2015;1112
CHN;China;2015;803820
COL;Colombia;2015;1211
HRV;Croatia;2015;122
CUB;Cuba;2015;222
CZE;Czechia;2015;5262
ECU;Ecuador;2015;720
EGY;Egypt;2015;5506
SLV;El Salvador;2015;124
ETH;Ethiopia;2015;NA
FIN;Finland;2015;3988
FRA;France;2015;14984
DEU;Germany;2015;42676
GRC;Greece;2015;910
GTM;Guatemala;2015;403
HUN;Hungary;2015;1675
IND;India;2015;89026
IDN;Indonesia;2015;4854
IRN;Iran;2015;16146
IRQ;Iraq;2015;NA
ISR;Israel;2015;300
ITA;Italy;2015;22018
JPN;Japan;2015;105134
JOR;Jordan;2015;150
KAZ;Kazakhstan;2015;2948
KEN;Kenya;2015;20
PRK;Korea, North;2015;NA
KOR;Korea, Republic of;2015;69670
KWT;Kuwait;2015;1150
LVA;Latvia;2015;NA
LBY;Libya;2015;352
LUX;Luxembourg;2015;2127
;Macedonia;2015;165
MYS;Malaysia;2015;3784
MRT;Mauritania;2015;NA
MEX;Mexico;2015;18228
MDA;Moldova;2015;430
MNG;Mongolia;2015;45
MNE;Montenegro;2015;NA
MAR;Morocco;2015;516
NLD;Netherlands;2015;6995
NZL;New Zealand;2015;793
NGA;Nigeria;2015;NA
NOR;Norway;2015;590
OMN;Oman;2015;NA
PAK;Pakistan;2015;2892
PRY;Paraguay;2015;48
PER;Peru;2015;1082
PHL;Philippines;2015;968
POL;Poland;2015;9337
PRT;Portugal;2015;2030
QAT;Qatar;2015;2593
ROU;Romania;2015;3346
RUS;Russia;2015;69421
RWA;Rwanda;2015;15
SAU;Saudi Arabia;2015;5229
SRB;Serbia;2015;955
SGP;Singapore;2015;501
SVK;Slovakia;2015;4562
SVN;Slovenia;2015;604
ZAF;South Africa;2015;6417
ESP;Spain;2015;14845
SWE;Sweden;2015;4374
CHE;Switzerland;2015;NA
SYR;Syria;2015;5
TWN;Taiwan;2015;21392
TZA;Tanzania;2015;NA
THA;Thailand;2015;3718
TTO;Trinidad and Tobago;2015;267
TUN;Tunisia;2015;NA
TUR;Turkey;2015;31517
UGA;Uganda;2015;30
UKR;Ukraine;2015;22935
ARE;United Arab Emirates;2015;3006
GBR;United Kingdom;2015;10907
USA;United States;2015;78800
URY;Uruguay;2015;97
UZB;Uzbekistan;2015;643
VEN;Venezuela;2015;1345
VNM;Vietnam;2015;4122
ZMB;Zambia;2015;91
WLD;Total;2015;1620000
AFG;Afghanistan;2016;24
ALB;Albania;2016;100
DZA;Algeria;2016;650
ARG;Argentina;2016;4126
AUS;Australia;2016;5259
AUT;Austria;2016;7440
AZE;Azerbaijan;2016;180
BHR;Bahrain;2016;960
BLR;Belarus;2016;2188
BEL;Belgium;2016;7687
BIH;Bosnia and Herzegovina;2016;806
BRA;Brazil;2016;31275
BGR;Bulgaria;2016;527
CAN;Canada;2016;12646
CHL;Chile;2016;1153
CHN;China;2016;808366
COL;Colombia;2016;1272
HRV;Croatia;2016;NA
CUB;Cuba;2016;244
CZE;Czechia;2016;5305
ECU;Ecuador;2016;576
EGY;Egypt;2016;5036
SLV;El Salvador;2016;100
ETH;Ethiopia;2016;690
FIN;Finland;2016;4101
FRA;France;2016;14413
DEU;Germany;2016;42080
GRC;Greece;2016;1158
GTM;Guatemala;2016;314
HUN;Hungary;2016;1274
IND;India;2016;95477
IDN;Indonesia;2016;4746
IRN;Iran;2016;17895
ISR;Israel;2016;300
ITA;Italy;2016;23373
JPN;Japan;2016;104775
KAZ;Kazakhstan;2016;4236
KEN;Kenya;2016;410
PRK;Korea, North;2016;1250
KOR;Korea, Republic of;2016;68576
LVA;Latvia;2016;NA
LBY;Libya;2016;492
LUX;Luxembourg;2016;2175
;Macedonia;2016;239
MYS;Malaysia;2016;2764
MRT;Mauritania;2016;5
MEX;Mexico;2016;18809
MDA;Moldova;2016;128
MNG;Mongolia;2016;50
MNE;Montenegro;2016;120
MAR;Morocco;2016;520
NLD;Netherlands;2016;6917
NZL;New Zealand;2016;577
NGA;Nigeria;2016;100
NOR;Norway;2016;620
OMN;Oman;2016;2000
PAK;Pakistan;2016;3553
PRY;Paraguay;2016;35
PER;Peru;2016;1168
PHL;Philippines;2016;1075
POL;Poland;2016;9001
PRT;Portugal;2016;2010
QAT;Qatar;2016;2521
ROU;Romania;2016;3276
RUS;Russia;2016;70808
RWA;Rwanda;2016;19
SAU;Saudi Arabia;2016;5461
SRB;Serbia;2016;1173
SGP;Singapore;2016;520
SVK;Slovakia;2016;4808
SVN;Slovenia;2016;613
ZAF;South Africa;2016;6141
ESP;Spain;2016;13616
SWE;Sweden;2016;4617
CHE;Switzerland;2016;1500
SYR;Syria;2016;5
TWN;Taiwan;2016;21751
TZA;Tanzania;2016;210
THA;Thailand;2016;3825
TTO;Trinidad and Tobago;2016;36
TUN;Tunisia;2016;50
TUR;Turkey;2016;33163
UGA;Uganda;2016;30
UKR;Ukraine;2016;24128
ARE;United Arab Emirates;2016;3149
GBR;United Kingdom;2016;7635
USA;United States;2016;78500
URY;Uruguay;2016;61
UZB;Uzbekistan;2016;654
VEN;Venezuela;2016;553
VNM;Vietnam;2016;7811
ZMB;Zambia;2016;45
WLD;Total;2016;1630000
AFG;Afghanistan;2017;33
ALB;Albania;2017;NA
DZA;Algeria;2017;415
ARG;Argentina;2017;4624
AUS;Australia;2017;5335
AUT;Austria;2017;8134
AZE;Azerbaijan;2017;387
BHR;Bahrain;2017;960
BLR;Belarus;2017;2433
BEL;Belgium;2017;7842
BIH;Bosnia and Herzegovina;2017;735
BRA;Brazil;2017;34350
BGR;Bulgaria;2017;652
CAN;Canada;2017;13614
CHL;Chile;2017;1158
CHN;China;2017;831700
COL;Colombia;2017;1253
HRV;Croatia;2017;NA
CUB;Cuba;2017;210
CZE;Czechia;2017;4600
ECU;Ecuador;2017;561
EGY;Egypt;2017;6870
SLV;El Salvador;2017;96
FIN;Finland;2017;4004
FRA;France;2017;15505
DEU;Germany;2017;43910
GRC;Greece;2017;1359
GTM;Guatemala;2017;294
HUN;Hungary;2017;1901
IND;India;2017;101455
IDN;Indonesia;2017;6060
IRN;Iran;2017;21236
ISR;Israel;2017;300
ITA;Italy;2017;24068
JPN;Japan;2017;104661
KAZ;Kazakhstan;2017;3412
KEN;Kenya;2017;430
PRK;Korea, North;2017;1100
KOR;Korea, Republic of;2017;71030
LBY;Libya;2017;485
LUX;Luxembourg;2017;2172
;Macedonia;2017;238
MYS;Malaysia;2017;3215
MRT;Mauritania;2017;5
MEX;Mexico;2017;19924
MDA;Moldova;2017;469
MNG;Mongolia;2017;21
MNE;Montenegro;2017;200
MAR;Morocco;2017;550
NLD;Netherlands;2017;6781
NZL;New Zealand;2017;657
NGA;Nigeria;2017;620
NOR;Norway;2017;603
OMN;Oman;2017;2000
PAK;Pakistan;2017;4966
PRY;Paraguay;2017;24
PER;Peru;2017;1207
PHL;Philippines;2017;1378
POL;Poland;2017;10540
PRT;Portugal;2017;2076
QAT;Qatar;2017;2700
ROU;Romania;2017;3443
RUS;Russia;2017;71300
RWA;Rwanda;2017;23
SAU;Saudi Arabia;2017;4831
SRB;Serbia;2017;1477
SGP;Singapore;2017;596
SVK;Slovakia;2017;4974
SVN;Slovenia;2017;648
ZAF;South Africa;2017;6301
ESP;Spain;2017;14444
SWE;Sweden;2017;4926
CHE;Switzerland;2017;1500
SYR;Syria;2017;5
TWN;Taiwan;2017;22438
TZA;Tanzania;2017;250
THA;Thailand;2017;4471
TTO;Trinidad and Tobago;2017;NA
TUN;Tunisia;2017;50
TUR;Turkey;2017;37524
UGA;Uganda;2017;71
UKR;Ukraine;2017;21334
ARE;United Arab Emirates;2017;3309
GBR;United Kingdom;2017;7491
USA;United States;2017;81600
URY;Uruguay;2017;58
UZB;Uzbekistan;2017;657
VEN;Venezuela;2017;444
VNM;Vietnam;2017;11473
ZMB;Zambia;2017;75
WLD;Total;2017;1690000
AFG;Afghanistan;2018;33
ALB;Albania;2018;NA
DZA;Algeria;2018;2000
ARG;Argentina;2018;5162
AUS;Australia;2018;6035
AUT;Austria;2018;6885
AZE;Azerbaijan;2018;382
BLR;Belarus;2018;2573
BEL;Belgium;2018;7980
BIH;Bosnia and Herzegovina;2018;695
BRA;Brazil;2018;35407
BGR;Bulgaria;2018;666
CAN;Canada;2018;13443
CHL;Chile;2018;1145
CHN;China;2018;920027
COL;Colombia;2018;1219
HRV;Croatia;2018;NA
CUB;Cuba;2018;222
CZE;Czechia;2018;4938
ECU;Ecuador;2018;583
EGY;Egypt;2018;7807
SLV;El Salvador;2018;99
FIN;Finland;2018;4146
FRA;France;2018;15391
DEU;Germany;2018;42435
GRC;Greece;2018;1464
GTM;Guatemala;2018;300
HUN;Hungary;2018;1988
IND;India;2018;109272
IDN;Indonesia;2018;6183
IRN;Iran;2018;24520
ITA;Italy;2018;24532
JPN;Japan;2018;104319
KAZ;Kazakhstan;2018;3964
KEN;Kenya;2018;440
PRK;Korea, North;2018;810
KOR;Korea, Republic of;2018;72463
LBY;Libya;2018;396
LUX;Luxembourg;2018;2228
;Macedonia;2018;265
MYS;Malaysia;2018;4110
MRT;Mauritania;2018;5
MEX;Mexico;2018;20204
MDA;Moldova;2018;503
MNG;Mongolia;2018;29
MNE;Montenegro;2018;120
MAR;Morocco;2018;600
NLD;Netherlands;2018;6813
NZL;New Zealand;2018;652
NGA;Nigeria;2018;640
NOR;Norway;2018;575
OMN;Oman;2018;2000
PAK;Pakistan;2018;4719
PRY;Paraguay;2018;25
PER;Peru;2018;1217
PHL;Philippines;2018;1475
POL;Poland;2018;10336
PRT;Portugal;2018;2215
QAT;Qatar;2018;2575
ROU;Romania;2018;3529
RUS;Russia;2018;71682
RWA;Rwanda;2018;23
SAU;Saudi Arabia;2018;5240
SRB;Serbia;2018;1973
SGP;Singapore;2018;618
SVK;Slovakia;2018;5225
SVN;Slovenia;2018;654
ZAF;South Africa;2018;6327
ESP;Spain;2018;14320
SWE;Sweden;2018;4654
CHE;Switzerland;2018;1500
SYR;Syria;2018;5
TWN;Taiwan;2018;23240
TZA;Tanzania;2018;300
THA;Thailand;2018;6403
TTO;Trinidad and Tobago;2018;NA
TUN;Tunisia;2018;84
TUR;Turkey;2018;37312
UGA;Uganda;2018;170
UKR;Ukraine;2018;21060
ARE;United Arab Emirates;2018;3247
GBR;United Kingdom;2018;7268
USA;United States;2018;86600
URY;Uruguay;2018;60
UZB;Uzbekistan;2018;646
VEN;Venezuela;2018;129
VNM;Vietnam;2018;17723
ZMB;Zambia;2018;75
WLD;Total;2018;1810000
AFG;Afghanistan;2019;33
ALB;Albania;2019;390
DZA;Algeria;2019;4000
ARG;Argentina;2019;4645
AUS;Australia;2019;6052
AUT;Austria;2019;7423
AZE;Azerbaijan;2019;326
BLR;Belarus;2019;2718
BEL;Belgium;2019;7905
BIH;Bosnia and Herzegovina;2019;801
BRA;Brazil;2019;32236
BGR;Bulgaria;2019;595
MMR;Burma;2019;350
CAN;Canada;2019;12790
CHL;Chile;2019;1095
CHN;China;2019;996342
COL;Colombia;2019;1200
HRV;Croatia;2019;100
CUB;Cuba;2019;235
CZE;Czechia;2019;4437
ECU;Ecuador;2019;605
EGY;Egypt;2019;7257
SLV;El Salvador;2019;105
FIN;Finland;2019;3511
FRA;France;2019;14451
DEU;Germany;2019;39675
GRC;Greece;2019;1367
GTM;Guatemala;2019;310
HUN;Hungary;2019;1769
IND;India;2019;111246
IDN;Indonesia;2019;7783
IRN;Iran;2019;25609
ITA;Italy;2019;23245
JPN;Japan;2019;99284
JOR;Jordan;2019;350
KAZ;Kazakhstan;2019;4085
KEN;Kenya;2019;480
PRK;Korea, North;2019;1250
KOR;Korea, Republic of;2019;71411
LBY;Libya;2019;606
LUX;Luxembourg;2019;2119
;Macedonia;2019;239
MYS;Malaysia;2019;7100
MRT;Mauritania;2019;5
MEX;Mexico;2019;18595
MDA;Moldova;2019;360
MNG;Mongolia;2019;26
MNE;Montenegro;2019;75
MAR;Morocco;2019;480
NLD;Netherlands;2019;6657
NZL;New Zealand;2019;667
NGA;Nigeria;2019;100
NOR;Norway;2019;621
OMN;Oman;2019;2000
PAK;Pakistan;2019;3313
PRY;Paraguay;2019;26
PER;Peru;2019;1230
PHL;Philippines;2019;1915
POL;Poland;2019;9123
PRT;Portugal;2019;2000
QAT;Qatar;2019;2558
ROU;Romania;2019;3432
RUS;Russia;2019;71570
RWA;Rwanda;2019;23
SAU;Saudi Arabia;2019;8191
SRB;Serbia;2019;1929
SGP;Singapore;2019;766
SVK;Slovakia;2019;3420
SVN;Slovenia;2019;645
ZAF;South Africa;2019;6152
ESP;Spain;2019;13588
LKA;Sri Lanka;2019;30
SWE;Sweden;2019;4721
CHE;Switzerland;2019;1175
SYR;Syria;2019;40
TWN;Taiwan;2019;21954
TZA;Tanzania;2019;300
THA;Thailand;2019;7300
TUN;Tunisia;2019;77
TUR;Turkey;2019;33743
UGA;Uganda;2019;100
UKR;Ukraine;2019;20848
ARE;United Arab Emirates;2019;3327
GBR;United Kingdom;2019;7225
USA;United States;2019;87800
URY;Uruguay;2019;62
UZB;Uzbekistan;2019;625
VEN;Venezuela;2019;50
VNM;Vietnam;2019;20066
ZMB;Zambia;2019;50
WLD;Total;2019;1880000
AFG;Afghanistan;2020;33
ALB;Albania;2020;400
DZA;Algeria;2020;4000
ARG;Argentina;2020;3651
AUS;Australia;2020;5489
AUT;Austria;2020;6765
AZE;Azerbaijan;2020;249
BGD;Bangladesh;2020;5500
BLR;Belarus;2020;2390
BEL;Belgium;2020;6119
BIH;Bosnia and Herzegovina;2020;759
BRA;Brazil;2020;31415
BGR;Bulgaria;2020;484
MMR;Burma;2020;350
CAN;Canada;2020;10986
CHL;Chile;2020;1157
CHN;China;2020;1064767
COL;Colombia;2020;1149
HRV;Croatia;2020;45
CUB;Cuba;2020;185
CZE;Czechia;2020;4465
ECU;Ecuador;2020;482
EGY;Egypt;2020;8229
SLV;El Salvador;2020;82
FIN;Finland;2020;3482
FRA;France;2020;11596
DEU;Germany;2020;35658
GRC;Greece;2020;1408
GTM;Guatemala;2020;243
HUN;Hungary;2020;1090
IND;India;2020;100256
IDN;Indonesia;2020;12871
IRN;Iran;2020;28460
ITA;Italy;2020;20379
JPN;Japan;2020;83186
JOR;Jordan;2020;350
KAZ;Kazakhstan;2020;4380
KEN;Kenya;2020;480
PRK;Korea, North;2020;700
KOR;Korea, Republic of;2020;67098
LBY;Libya;2020;495
LUX;Luxembourg;2020;1886
;Macedonia;2020;180
MYS;Malaysia;2020;6500
MRT;Mauritania;2020;5
MEX;Mexico;2020;16803
MDA;Moldova;2020;610
MNG;Mongolia;2020;21
MNE;Montenegro;2020;20
MAR;Morocco;2020;500
NLD;Netherlands;2020;6054
NZL;New Zealand;2020;586
NGA;Nigeria;2020;590
NOR;Norway;2020;624
OMN;Oman;2020;2100
PAK;Pakistan;2020;3803
PRY;Paraguay;2020;23
PER;Peru;2020;731
PHL;Philippines;2020;900
POL;Poland;2020;7958
PRT;Portugal;2020;2203
QAT;Qatar;2020;1218
ROU;Romania;2020;2819
RUS;Russia;2020;71621
RWA;Rwanda;2020;20
SAU;Saudi Arabia;2020;7775
SRB;Serbia;2020;1456
SGP;Singapore;2020;406
SVK;Slovakia;2020;3444
SVN;Slovenia;2020;585
ZAF;South Africa;2020;3877
ESP;Spain;2020;10998
LKA;Sri Lanka;2020;30
SWE;Sweden;2020;4409
CHE;Switzerland;2020;1200
SYR;Syria;2020;50
TWN;Taiwan;2020;20959
TZA;Tanzania;2020;230
THA;Thailand;2020;4467
TUN;Tunisia;2020;84
TUR;Turkey;2020;35810
UGA;Uganda;2020;210
UKR;Ukraine;2020;20616
ARE;United Arab Emirates;2020;2722
GBR;United Kingdom;2020;7086
USA;United States;2020;72700
URY;Uruguay;2020;49
UZB;Uzbekistan;2020;885
VEN;Venezuela;2020;29
VNM;Vietnam;2020;19900
ZMB;Zambia;2020;50
WLD;Total;2020;1880000
